ts,in_queue(size), in_queue(number)
1530220399.129622859,0,0
1530220399.142348122,0,0
1530220399.154927920,0,0
1530220399.167630460,0,0
1530220399.179996439,0,0
1530220399.192388753,0,0
1530220399.204724556,0,0
1530220399.217051450,0,0
1530220399.229492328,0,0
1530220399.241867823,0,0
1530220399.254314198,0,0
1530220399.266630689,0,0
1530220399.279127174,0,0
1530220399.291653714,0,0
1530220399.304096813,0,0
1530220399.316681423,0,0
1530220399.329013625,0,0
1530220399.341524138,0,0
1530220399.353953704,0,0
1530220399.366384286,0,0
1530220399.378779526,0,0
1530220399.391160836,0,0
1530220399.403709740,0,0
1530220399.416223865,0,0
1530220399.428510530,0,0
1530220399.440810835,0,0
1530220399.453159473,0,0
1530220399.465474991,0,0
1530220399.478020010,0,0
1530220399.490564710,0,0
1530220399.502932232,0,0
1530220399.515550892,0,0
1530220399.527803322,0,0
1530220399.540123150,0,0
1530220399.552585065,0,0
1530220399.565062521,0,0
1530220399.577427025,0,0
1530220399.589899025,0,0
1530220399.602311995,0,0
1530220399.614911037,0,0
1530220399.627321284,0,0
1530220399.639752873,0,0
1530220399.652372284,0,0
1530220399.664736304,0,0
1530220399.677075081,0,0
1530220399.689384226,0,0
1530220399.701952983,0,0
1530220399.714571942,0,0
1530220399.727154168,0,0
1530220399.739796419,0,0
1530220399.752264004,0,0
1530220399.764758867,0,0
1530220399.777191598,0,0
1530220399.789544927,0,0
1530220399.802049703,0,0
1530220399.814597246,0,0
1530220399.826969079,0,0
1530220399.839465651,0,0
1530220399.851840402,0,0
1530220399.864249153,0,0
1530220399.876847748,0,0
1530220399.889283174,0,0
1530220399.901597592,0,0
1530220399.914128252,0,0
1530220399.926509025,0,0
1530220399.939070003,0,0
1530220399.951674745,0,0
1530220399.964060567,0,0
1530220399.976469562,0,0
1530220399.988919265,0,0
1530220400.001262553,0,0
1530220400.013610318,0,0
1530220400.026207532,74,1
1530220400.038653806,0,0
1530220400.051155111,0,0
1530220400.063709644,0,0
1530220400.076129433,0,0
1530220400.088553319,66,1
1530220400.100996649,133,2
1530220400.113479722,0,0
1530220400.125877489,0,0
1530220400.138469631,0,0
1530220400.150895675,0,0
1530220400.163293452,0,0
1530220400.175708301,132,2
1530220400.188179128,330,5
1530220400.200709943,396,6
1530220400.213239091,264,4
1530220400.225835230,198,3
1530220400.238372712,198,3
1530220400.250862122,264,4
1530220400.263521008,264,4
1530220400.276043432,198,3
1530220400.288695894,264,4
1530220400.301183704,264,4
1530220400.313879515,264,4
1530220400.326351813,330,5
1530220400.339068806,264,4
1530220400.351639302,198,3
1530220400.364130743,198,3
1530220400.376671389,396,6
1530220400.389260517,264,4
1530220400.401882926,330,5
1530220400.414631421,330,5
1530220400.427275536,330,5
1530220400.439775369,330,5
1530220400.452419279,264,4
1530220400.464955157,330,5
1530220400.477724097,330,5
1530220400.490477458,264,4
1530220400.503323430,330,5
1530220400.515916712,330,5
1530220400.528776527,264,4
1530220400.541413334,330,5
1530220400.554217001,330,5
1530220400.566764185,330,5
1530220400.579473865,330,5
1530220400.591937262,330,5
1530220400.604559968,330,5
1530220400.617121632,264,4
1530220400.629719030,264,4
1530220400.642513280,330,5
1530220400.655285308,264,4
1530220400.667863629,264,4
1530220400.680504502,330,5
1530220400.693021585,330,5
1530220400.705740453,330,5
1530220400.718448019,330,5
1530220400.731034189,330,5
1530220400.743706354,264,4
1530220400.756334022,264,4
1530220400.768931996,330,5
1530220400.781488777,330,5
1530220400.794108657,330,5
1530220400.806871643,330,5
1530220400.819590998,330,5
1530220400.832324199,396,6
1530220400.844913149,264,4
1530220400.857381778,330,5
1530220400.869952956,330,5
1530220400.882639360,330,5
1530220400.895286798,264,4
1530220400.908017588,330,5
1530220400.920774877,330,5
1530220400.933343378,264,4
1530220400.946006115,330,5
1530220400.958648331,330,5
1530220400.971288044,330,5
1530220400.983826816,330,5
1530220400.996608873,330,5
1530220401.009167815,330,5
1530220401.021815726,264,4
1530220401.034433902,264,4
1530220401.047159954,330,5
1530220401.059832161,264,4
1530220401.072380656,264,4
1530220401.085191520,330,5
1530220401.097789785,264,4
1530220401.110396492,264,4
1530220401.123192576,330,5
1530220401.135891924,264,4
1530220401.148450846,330,5
1530220401.161126781,264,4
1530220401.173714382,330,5
1530220401.186375958,330,5
1530220401.199204392,330,5
1530220401.211854105,330,5
1530220401.224510136,396,6
1530220401.237184840,264,4
1530220401.249834068,330,5
1530220401.262418574,396,6
1530220401.275157148,330,5
1530220401.287903754,330,5
1530220401.300708239,330,5
1530220401.313305026,264,4
1530220401.326124565,330,5
1530220401.338807829,330,5
1530220401.351484666,264,4
1530220401.364150638,330,5
1530220401.376700976,330,5
1530220401.389474523,330,5
1530220401.402140937,264,4
1530220401.414796774,264,4
1530220401.427438276,264,4
1530220401.439972313,330,5
1530220401.452474526,330,5
1530220401.464978993,264,4
1530220401.477555267,330,5
1530220401.490166088,264,4
1530220401.502719623,330,5
1530220401.515397007,330,5
1530220401.527981429,198,3
1530220401.540666301,330,5
1530220401.553424730,264,4
1530220401.566094805,330,5
1530220401.578899648,330,5
1530220401.591683252,330,5
1530220401.604223697,330,5
1530220401.616778441,330,5
1530220401.629267681,330,5
1530220401.641949133,330,5
1530220401.654574186,264,4
1530220401.667165741,330,5
1530220401.679697824,264,4
1530220401.692321148,330,5
1530220401.705047006,330,5
1530220401.717739690,330,5
1530220401.730378679,330,5
1530220401.742975032,264,4
1530220401.755856236,330,5
1530220401.768394951,330,5
1530220401.780973993,264,4
1530220401.793625632,330,5
1530220401.806286613,264,4
1530220401.819020814,264,4
1530220401.831646207,330,5
1530220401.844217754,330,5
1530220401.856870328,330,5
1530220401.869545810,330,5
1530220401.882119890,330,5
1530220401.894820805,330,5
1530220401.907633669,264,4
1530220401.920377696,330,5
1530220401.933140655,330,5
1530220401.945883421,264,4
1530220401.958567682,330,5
1530220401.971493800,396,6
1530220401.983986606,264,4
1530220401.996681770,396,6
1530220402.009448395,330,5
1530220402.022199835,264,4
1530220402.034892853,330,5
1530220402.047667610,330,5
1530220402.060233045,264,4
1530220402.072777062,330,5
1530220402.085314356,330,5
1530220402.097829622,330,5
1530220402.110488693,264,4
1530220402.123177630,396,6
1530220402.135676594,330,5
1530220402.148264511,396,6
1530220402.160878589,330,5
1530220402.173408471,264,4
1530220402.186176269,330,5
1530220402.198668864,396,6
1530220402.211241377,330,5
1530220402.223813774,396,6
1530220402.236488138,264,4
1530220402.249140899,330,5
1530220402.261868059,462,7
1530220402.274533409,264,4
1530220402.287185483,330,5
1530220402.299723761,330,5
1530220402.312273120,264,4
1530220402.324969507,330,5
1530220402.337529471,330,5
1530220402.350338451,264,4
1530220402.363064694,264,4
1530220402.375700550,330,5
1530220402.388291236,264,4
1530220402.400800153,264,4
1530220402.413358284,264,4
1530220402.426170197,330,5
1530220402.438757316,330,5
1530220402.451444183,264,4
1530220402.463923533,330,5
1530220402.476726898,264,4
1530220402.489444487,330,5
1530220402.502067369,330,5
1530220402.514802760,264,4
1530220402.527549535,264,4
1530220402.540278464,330,5
1530220402.552811163,330,5
1530220402.565405044,330,5
1530220402.578165227,264,4
1530220402.590942228,330,5
1530220402.603622099,330,5
1530220402.616263722,330,5
1530220402.628902948,330,5
1530220402.641503343,330,5
1530220402.654071313,264,4
1530220402.666739410,330,5
1530220402.679543343,396,6
1530220402.692196946,396,6
1530220402.704784877,264,4
1530220402.717296414,330,5
1530220402.729864962,396,6
1530220402.742489090,330,5
1530220402.755154518,264,4
1530220402.767809911,330,5
1530220402.780561593,330,5
1530220402.793367188,264,4
1530220402.806083431,330,5
1530220402.818602449,330,5
1530220402.831313314,264,4
1530220402.843858192,264,4
1530220402.856693264,330,5
1530220402.869394153,264,4
1530220402.882027354,264,4
1530220402.894755254,330,5
1530220402.907494858,330,5
1530220402.920114518,264,4
1530220402.932912550,330,5
1530220402.945571438,264,4
1530220402.958272784,330,5
1530220402.971138838,330,5
1530220402.983823905,264,4
1530220402.996557391,264,4
1530220403.009230936,330,5
1530220403.021768611,264,4
1530220403.034519614,330,5
1530220403.047189294,330,5
1530220403.059736131,330,5
1530220403.072215467,330,5
1530220403.084822499,264,4
1530220403.097588269,330,5
1530220403.110379436,330,5
1530220403.138238006,264,4
1530220403.150921288,330,5
1530220403.163517146,264,4
1530220403.176202341,264,4
1530220403.188926401,330,5
1530220403.201652719,264,4
1530220403.214374162,264,4
1530220403.227080845,330,5
1530220403.239759342,264,4
1530220403.252320566,330,5
1530220403.264927479,264,4
1530220403.277540019,330,5
1530220403.290110279,330,5
1530220403.302885773,264,4
1530220403.315590703,330,5
1530220403.328343936,330,5
1530220403.340902254,264,4
1530220403.353680882,330,5
1530220403.366370654,330,5
1530220403.379040220,264,4
1530220403.391669265,330,5
1530220403.404243582,264,4
1530220403.416979355,330,5
1530220403.429580647,264,4
1530220403.442241939,330,5
1530220403.454847604,330,5
1530220403.467660667,264,4
1530220403.480250672,264,4
1530220403.492750132,396,6
1530220403.505324516,330,5
1530220403.518031698,264,4
1530220403.530741441,264,4
1530220403.543559805,396,6
1530220403.556227159,330,5
1530220403.568792389,264,4
1530220403.581407977,396,6
1530220403.594272563,264,4
1530220403.607193854,330,5
1530220403.619833123,396,6
1530220403.632369952,264,4
1530220403.644996642,264,4
1530220403.657800254,330,5
1530220403.670596573,264,4
1530220403.683351450,264,4
1530220403.695875009,330,5
1530220403.708579169,264,4
1530220403.721289912,264,4
1530220403.734000363,330,5
1530220403.746593872,264,4
1530220403.759224140,330,5
1530220403.771738163,264,4
1530220403.784246498,330,5
1530220403.796807622,330,5
1530220403.809520038,330,5
1530220403.822111121,264,4
1530220403.834759132,264,4
1530220403.847473230,330,5
1530220403.859960817,330,5
1530220403.872603223,264,4
1530220403.885081085,264,4
1530220403.897647000,330,5
1530220403.910311231,264,4
1530220403.923121851,330,5
1530220403.935842860,330,5
1530220403.948600273,264,4
1530220403.961338338,264,4
1530220403.973924673,330,5
1530220403.986592426,264,4
1530220403.999428941,264,4
1530220404.012205060,330,5
1530220404.024735242,264,4
1530220404.037279023,330,5
1530220404.050021995,396,6
1530220404.062895596,330,5
1530220404.075492493,264,4
1530220404.087984600,264,4
1530220404.100709313,330,5
1530220404.113190120,330,5
1530220404.125941416,264,4
1530220404.138637293,330,5
1530220404.151306146,330,5
1530220404.163886647,330,5
1530220404.176618572,396,6
1530220404.189223700,330,5
1530220404.201900004,330,5
1530220404.214475895,264,4
1530220404.227152500,264,4
1530220404.239730656,330,5
1530220404.252398605,264,4
1530220404.265060931,264,4
1530220404.277819378,396,6
1530220404.290670291,264,4
1530220404.303473443,330,5
1530220404.316125321,330,5
1530220404.328691849,264,4
1530220404.341410418,264,4
1530220404.354045317,330,5
1530220404.366881229,264,4
1530220404.379613976,264,4
1530220404.392148241,396,6
1530220404.404680551,330,5
1530220404.417202166,264,4
1530220404.429711263,330,5
1530220404.442413372,330,5
1530220404.455009038,330,5
1530220404.467667458,330,5
1530220404.480181043,264,4
1530220404.492815902,396,6
1530220404.505356287,330,5
1530220404.517908709,330,5
1530220404.530572713,264,4
1530220404.543191135,264,4
1530220404.555794383,330,5
1530220404.568456250,264,4
1530220404.581047738,330,5
1530220404.593845208,330,5
1530220404.606541625,330,5
1530220404.619329005,330,5
1530220404.631944391,330,5
1530220404.644545334,330,5
1530220404.657063294,264,4
1530220404.669723679,264,4
1530220404.682339381,330,5
1530220404.694992342,264,4
1530220404.707610688,330,5
1530220404.720145401,264,4
1530220404.732771827,330,5
1530220404.745349324,330,5
1530220404.758138383,264,4
1530220404.770916256,330,5
1530220404.783595018,396,6
1530220404.796322440,264,4
1530220404.808956075,330,5
1530220404.821590267,330,5
1530220404.834283273,264,4
1530220404.846907881,330,5
1530220404.859551714,396,6
1530220404.872278031,396,6
1530220404.884889703,264,4
1530220404.897636655,264,4
1530220404.910210731,330,5
1530220404.922773459,264,4
1530220404.935484765,264,4
1530220404.948022075,330,5
1530220404.960771215,330,5
1530220404.973281070,264,4
1530220404.986016200,330,5
1530220404.998621754,330,5
1530220405.011240683,264,4
1530220405.023781819,264,4
1530220405.036488981,372,6
1530220405.048999085,396,6
1530220405.061645464,330,5
1530220405.074370810,264,4
1530220405.086923601,330,5
1530220405.099583356,330,5
1530220405.112398889,264,4
1530220405.125010433,330,5
1530220405.137571511,330,5
1530220405.150380399,264,4
1530220405.163263635,330,5
1530220405.176033238,330,5
1530220405.188656061,264,4
1530220405.201422948,330,5
1530220405.213944285,330,5
1530220405.226510571,330,5
1530220405.239194839,264,4
1530220405.251799245,264,4
1530220405.264512822,330,5
1530220405.277216020,264,4
1530220405.289927624,264,4
1530220405.302632571,330,5
1530220405.315304879,264,4
1530220405.328041953,264,4
1530220405.340881413,330,5
1530220405.353456957,264,4
1530220405.366016890,264,4
1530220405.378660653,330,5
1530220405.391448261,264,4
1530220405.404202669,264,4
1530220405.416687637,330,5
1530220405.429438777,396,6
1530220405.441938790,264,4
1530220405.454655497,264,4
1530220405.467294042,330,5
1530220405.479794184,330,5
1530220405.492357673,330,5
1530220405.505005999,264,4
1530220405.517640262,330,5
1530220405.530267776,330,5
1530220405.542890770,264,4
1530220405.555467490,330,5
1530220405.568012754,330,5
1530220405.580632402,330,5
1530220405.593513191,264,4
1530220405.606257328,330,5
1530220405.618902621,330,5
1530220405.631503841,264,4
1530220405.644130918,264,4
1530220405.656646904,330,5
1530220405.669153927,396,6
1530220405.681794915,264,4
1530220405.694569647,330,5
1530220405.707439139,396,6
1530220405.720151835,396,6
1530220405.732698126,264,4
1530220405.745319822,330,5
1530220405.757894198,264,4
1530220405.770529201,330,5
1530220405.783594303,330,5
1530220405.796126818,264,4
1530220405.808796115,264,4
1530220405.821482649,396,6
1530220405.834259908,264,4
1530220405.846945964,264,4
1530220405.859766625,330,5
1530220405.872548756,264,4
1530220405.885085996,330,5
1530220405.897601992,330,5
1530220405.910200322,330,5
1530220405.922952283,330,5
1530220405.935666981,264,4
1530220405.948418904,330,5
1530220405.960966759,330,5
1530220405.973720923,264,4
1530220405.986384358,330,5
1530220405.999184618,330,5
1530220406.011731950,264,4
1530220406.024394867,330,5
1530220406.036910321,330,5
1530220406.049632695,330,5
1530220406.062437820,330,5
1530220406.075223168,330,5
1530220406.087748029,330,5
1530220406.100485271,264,4
1530220406.113197323,330,5
1530220406.125799674,330,5
1530220406.138487314,264,4
1530220406.151416235,396,6
1530220406.163900548,396,6
1530220406.176377341,330,5
1530220406.189119473,264,4
1530220406.201797434,330,5
1530220406.214366280,264,4
1530220406.226949234,330,5
1530220406.239587692,330,5
1530220406.252258770,330,5
1530220406.265122561,330,5
1530220406.277797444,264,4
1530220406.290404293,330,5
1530220406.303095715,264,4
1530220406.315831348,264,4
1530220406.328458116,330,5
1530220406.341212183,264,4
1530220406.353806273,264,4
1530220406.366696282,396,6
1530220406.379531090,330,5
1530220406.392245146,264,4
1530220406.404878811,330,5
1530220406.417477930,330,5
1530220406.430116548,264,4
1530220406.442939327,330,5
1530220406.455734281,264,4
1530220406.468249573,264,4
1530220406.480936090,330,5
1530220406.493565611,396,6
1530220406.506114000,396,6
1530220406.518665136,264,4
1530220406.531246156,396,6
1530220406.543896594,330,5
1530220406.556751013,264,4
1530220406.569318654,396,6
1530220406.581994897,330,5
1530220406.594728156,264,4
1530220406.607653411,330,5
1530220406.620226421,330,5
1530220406.632887133,330,5
1530220406.645422364,264,4
1530220406.658084486,330,5
1530220406.670804372,330,5
1530220406.683599728,330,5
1530220406.696240298,264,4
1530220406.708948869,396,6
1530220406.721478756,264,4
1530220406.734218179,264,4
1530220406.746987597,330,5
1530220406.759621788,264,4
1530220406.772268965,264,4
1530220406.785016479,330,5
1530220406.797645456,330,5
1530220406.810480396,264,4
1530220406.823441612,330,5
1530220406.836172272,264,4
1530220406.848873199,264,4
1530220406.861483394,330,5
1530220406.874242516,264,4
1530220406.887129435,330,5
1530220406.899816855,396,6
1530220406.912376730,264,4
1530220406.925123153,264,4
1530220406.937778676,396,6
1530220406.950452327,264,4
1530220406.963050044,264,4
1530220406.975678458,330,5
1530220406.988269519,330,5
1530220407.000995129,330,5
1530220407.013551537,264,4
1530220407.026327211,396,6
1530220407.038951802,330,5
1530220407.051681536,264,4
1530220407.064292137,330,5
1530220407.076866359,264,4
1530220407.089546624,264,4
