ts,rto,rtt,rttvar,s,pmtu,rcvs,advs,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530220400.099648828,212,10.255,3.848,1448,1500,536,1448,11,38,3,2,1,1.1e6,10.254,2.88672,2.88672,12.4e6,33.8e6,1.1e6,12
1530220400.111633283,212,10.255,3.848,1448,1500,536,1448,11,38,3,2,1,1.1e6,10.254,2.88672,2.88672,12.4e6,33.8e6,1.1e6,12
1530220400.123094680,212,10.255,3.848,1448,1500,536,1448,11,38,3,2,1,1.1e6,10.254,2.88672,2.88672,12.4e6,33.8e6,1.1e6,12
1530220400.133870487,212,10.255,3.848,1448,1500,536,1448,11,38,11,2,9,1.1e6,10.254,2.88672,2.88672,12.4e6,33.8e6,1.1e6,16
1530220400.144590317,212,10.264,0.923,1448,1500,536,1448,21,14518,23,7,21,8.8e6,10.254,2.88672,2.88672,23.7e6,33.8e6,8.8e6,24
1530220400.155728336,212,10.249,0.18,1448,1500,536,1448,33,31894,48,14,46,13.1e6,10.143,2.88672,2.88672,37.3e6,39.1e6,13.0e6,36
1530220400.166605758,212,10.211,0.032,1448,1500,536,1448,59,69542,109,26,107,27.6e6,10.143,2.88672,2.88672,66.9e6,82.7e6,27.6e6,48
1530220400.177349057,212,10.217,0.023,1448,1500,536,1448,117,153526,215,39,213,61.9e6,10.14,2.88672,2.88672,132.7e6,185.2e6,61.9e6,60
1530220400.188287597,212,10.554,0.481,1448,1500,536,1448,205,280950,323,50,321,98.7e6,10.14,2.88672,2.88672,225.0e6,295.0e6,98.7e6,68
1530220400.199540908,216,12.694,2.372,1448,1500,536,1448,309,431542,440,57,438,104.5e6,10.14,2.88672,2.88672,282.0e6,312.6e6,104.5e6,80
1530220400.210770173,220,16.132,2.375,1448,1500,536,1448,344,566206,530,68,528,104.5e6,10.14,2.88672,2.88672,247.0e6,312.6e6,98.9e6,92
1530220400.221694301,220,16.684,1.319,1448,1500,536,1448,344,697974,620,74,618,104.5e6,10.14,2.88672,2.88672,238.8e6,312.6e6,95.4e6,104
1530220400.232257765,220,16.885,0.915,1448,1500,536,1448,344,828294,710,81,708,104.5e6,10.14,2.88672,2.88672,236.0e6,312.6e6,96.6e6,112
1530220400.242915193,220,16.825,0.887,1448,1500,536,1448,212,958614,747,90,745,104.5e6,10.14,1,2,146.0e6,108.3e6,97.2e6,124
1530220400.253679928,220,16.128,1.62,1448,1500,536,1448,218,1064318,841,99,839,104.5e6,10.14,1.25,2,156.6e6,135.4e6,66.4e6,136
1530220400.264536401,216,13.316,1.436,1448,1500,536,1448,218,1197534,931,108,929,104.5e6,10.14,1.25,2,189.6e6,135.4e6,85.1e6,144
1530220400.275314468,216,12.511,0.673,1448,1500,536,1448,218,1327854,1021,116,1019,104.5e6,10.14,1.25,2,201.8e6,135.4e6,88.1e6,156
1530220400.285947386,216,12.157,0.39,1448,1500,536,1448,218,1458174,1111,125,1109,104.5e6,10.14,1.25,2,207.7e6,135.4e6,88.2e6,168
1530220400.296880160,216,12.101,0.391,1448,1500,536,1448,218,1588494,1201,135,1199,104.5e6,10.14,1.25,2,208.7e6,135.4e6,88.6e6,176
1530220400.307896638,216,12.049,0.403,1448,1500,536,1448,218,1718814,1291,145,1289,104.5e6,10.14,1.25,2,209.6e6,135.4e6,87.8e6,188
1530220400.318757485,216,12.003,0.386,1448,1500,536,1448,218,1849134,1381,154,1379,104.5e6,10.14,1.25,2,210.4e6,135.4e6,87.1e6,200
1530220400.329678304,212,11.945,0.416,1448,1500,536,1448,218,1979454,1471,164,1469,104.5e6,10.14,1.25,2,211.4e6,135.4e6,88.3e6,212
1530220400.340355178,216,12.035,0.432,1448,1500,536,1448,202,2109774,1550,173,1548,98.1e6,10.14,1.25,2,194.4e6,127.1e6,89.3e6,220
1530220400.351384514,212,11.944,0.411,1448,1500,536,1448,202,2240094,1649,183,1647,98.1e6,10.14,1.25,2,195.9e6,127.1e6,87.6e6,232
1530220400.361997147,216,12.123,0.433,1448,1500,536,1448,202,2368966,1739,194,1737,98.1e6,10.14,1.25,2,193.0e6,127.1e6,94.8e6,244
1530220400.372778108,216,12.532,0.217,1448,1500,536,1448,202,2484806,1829,204,1827,98.1e6,10.14,1.25,2,186.7e6,127.1e6,91.7e6,252
1530220400.383653096,216,12.641,0.093,1448,1500,536,1448,202,2615126,1919,215,1917,98.1e6,10.14,1.25,2,185.1e6,127.1e6,91.5e6,264
1530220400.394351422,216,12.656,0.136,1448,1500,536,1448,202,2745446,2009,225,2007,98.1e6,10.14,1.25,2,184.9e6,127.1e6,91.4e6,276
1530220400.405428604,216,12.672,0.105,1448,1500,536,1448,202,2875766,2099,235,2097,98.1e6,10.14,1.25,2,184.7e6,127.1e6,90.4e6,288
1530220400.416246714,216,12.658,0.115,1448,1500,536,1448,202,3006086,2189,246,2187,98.1e6,10.14,1.25,2,184.9e6,127.1e6,91.2e6,296
1530220400.427379071,216,12.636,0.114,1448,1500,536,1448,202,3150886,2279,257,2277,98.1e6,10.14,1.25,2,185.2e6,127.1e6,95.9e6,308
1530220400.438156853,216,12.652,0.122,1448,1500,536,1448,202,3281206,2369,267,2367,98.1e6,10.14,1.25,2,184.9e6,127.1e6,95.6e6,320
1530220400.448864332,216,12.652,0.113,1448,1500,536,1448,202,3397046,2459,277,2457,98.1e6,10.14,1.25,2,184.9e6,127.1e6,91.4e6,328
1530220400.460169604,216,12.637,0.128,1448,1500,536,1448,204,3541846,2549,288,2547,98.6e6,10.14,1.25,2,187.0e6,127.7e6,98.6e6,340
1530220400.470880760,216,12.643,0.132,1448,1500,536,1448,204,3657686,2639,297,2637,98.6e6,10.14,1.25,2,186.9e6,127.7e6,91.4e6,352
1530220400.481645124,216,12.765,0.37,1448,1500,536,1448,204,3788006,2729,308,2727,98.6e6,10.14,1.25,2,185.1e6,127.7e6,91.4e6,364
1530220400.492690340,216,12.674,0.173,1448,1500,536,1448,204,3918326,2819,318,2817,98.6e6,10.14,1.25,2,186.5e6,127.7e6,92.1e6,372
1530220400.503732281,216,12.642,0.112,1448,1500,536,1448,204,4063126,2909,330,2907,98.6e6,10.14,1.25,2,186.9e6,127.7e6,95.7e6,384
1530220400.514390780,216,12.636,0.145,1448,1500,536,1448,204,4178966,2999,339,2997,98.6e6,10.14,1.25,2,187.0e6,127.7e6,91.4e6,396
1530220400.525346799,216,12.642,0.09,1448,1500,536,1448,204,4323766,3089,351,3087,98.6e6,10.14,1.25,2,186.9e6,127.7e6,95.8e6,408
1530220400.536156614,216,12.631,0.153,1448,1500,536,1448,204,4439606,3179,360,3177,98.6e6,10.14,1.25,2,187.1e6,127.7e6,91.3e6,416
1530220400.547824181,216,12.632,0.111,1448,1500,536,1448,204,4584406,3269,372,3267,98.6e6,10.14,1.25,2,187.1e6,127.7e6,95.9e6,428
1530220400.558626188,216,12.643,0.123,1448,1500,536,1448,204,4714726,3359,382,3357,98.6e6,10.14,1.25,2,186.9e6,127.7e6,95.9e6,440
1530220400.569449467,216,12.633,0.122,1448,1500,536,1448,204,4845046,3449,393,3447,98.6e6,10.14,1.25,2,187.1e6,127.7e6,95.8e6,452
1530220400.580230941,216,12.636,0.118,1448,1500,536,1448,204,4975366,3539,403,3537,98.6e6,10.14,1.25,2,187.0e6,127.7e6,95.8e6,460
1530220400.590849664,216,12.635,0.118,1448,1500,536,1448,204,5105686,3629,413,3627,98.6e6,10.14,1.25,2,187.0e6,127.7e6,95.7e6,472
1530220400.601684026,216,12.643,0.097,1448,1500,536,1448,204,5236006,3719,424,3717,98.6e6,10.14,1.25,2,186.9e6,127.7e6,95.8e6,484
1530220400.612284427,216,12.624,0.153,1448,1500,536,1448,204,5351846,3809,433,3807,98.5e6,10.14,1.25,2,187.2e6,127.6e6,91.3e6,492
1530220400.623273911,216,12.635,0.154,1448,1500,536,1448,204,5482166,3899,444,3897,98.5e6,10.14,1.25,2,187.0e6,127.6e6,91.4e6,504
1530220400.633963748,216,12.654,0.146,1448,1500,536,1448,204,5612486,3989,454,3987,98.5e6,10.14,1.25,2,186.8e6,127.6e6,90.7e6,516
1530220400.644524101,216,12.747,0.287,1448,1500,536,1448,204,5735566,4079,463,4077,98.5e6,10.14,1.25,2,185.4e6,127.6e6,92.5e6,524
