ts,in_queue(size), in_queue(number)
1530224812.289076999,0,0
1530224812.301954901,0,0
1530224812.314658887,0,0
1530224812.327093653,0,0
1530224812.339605875,0,0
1530224812.352315589,0,0
1530224812.364924752,0,0
1530224812.377361104,0,0
1530224812.390050566,0,0
1530224812.402601736,0,0
1530224812.415300831,0,0
1530224812.427864339,0,0
1530224812.440438370,0,0
1530224812.452937839,0,0
1530224812.465525156,0,0
1530224812.477964818,0,0
1530224812.490414758,0,0
1530224812.502818835,0,0
1530224812.515257819,0,0
1530224812.527943551,0,0
1530224812.540410072,0,0
1530224812.553007514,0,0
1530224812.565579444,0,0
1530224812.578075907,0,0
1530224812.590688170,0,0
1530224812.603414107,0,0
1530224812.616019223,0,0
1530224812.628695795,0,0
1530224812.641182123,0,0
1530224812.653788459,0,0
1530224812.666339568,0,0
1530224812.678987779,0,0
1530224812.691565422,0,0
1530224812.703951791,0,0
1530224812.716510493,0,0
1530224812.729035089,0,0
1530224812.741561677,0,0
1530224812.754089299,0,0
1530224812.766604285,0,0
1530224812.779435247,0,0
1530224812.791919927,0,0
1530224812.804552869,0,0
1530224812.817043151,0,0
1530224812.829462766,0,0
1530224812.842162446,0,0
1530224812.854727787,0,0
1530224812.867399061,0,0
1530224812.879874964,0,0
1530224812.892395959,0,0
1530224812.904938969,0,0
1530224812.917368538,0,0
1530224812.929908020,0,0
1530224812.942563313,0,0
1530224812.955227449,0,0
1530224812.967743312,0,0
1530224812.980382652,0,0
1530224812.993114751,0,0
1530224813.005587642,0,0
1530224813.018154186,0,0
1530224813.030729660,0,0
1530224813.043288343,0,0
1530224813.055915051,0,0
1530224813.068432890,0,0
1530224813.080913888,0,0
1530224813.093465649,0,0
1530224813.105944776,0,0
1530224813.118347247,0,0
1530224813.130958158,0,0
1530224813.143586775,0,0
1530224813.155936087,0,0
1530224813.168441169,0,0
1530224813.180955007,0,0
1530224813.193493536,0,0
1530224813.206191924,0,0
1530224813.218787284,0,0
1530224813.231349296,0,0
1530224813.243848897,0,0
1530224813.256556223,0,0
1530224813.269167315,0,0
1530224813.281637677,0,0
1530224813.294376918,0,0
1530224813.307031740,0,0
1530224813.319696692,0,0
1530224813.332143462,0,0
1530224813.344830977,0,0
1530224813.357435591,0,0
1530224813.370159675,0,0
1530224813.382702811,0,0
1530224813.395227577,0,0
1530224813.407727828,0,0
1530224813.420161651,0,0
1530224813.432629408,0,0
1530224813.445321909,0,0
1530224813.457782113,0,0
1530224813.470279000,0,0
1530224813.482829705,0,0
1530224813.495478698,0,0
1530224813.507918732,0,0
1530224813.520281278,0,0
1530224813.532654268,0,0
1530224813.545235313,0,0
1530224813.557734185,0,0
1530224813.570212130,0,0
1530224813.582771033,0,0
1530224813.595368332,0,0
1530224813.607989186,0,0
1530224813.620431767,0,0
1530224813.632966271,0,0
1530224813.645528835,0,0
1530224813.658151773,0,0
1530224813.670797285,0,0
1530224813.683594336,0,0
1530224813.695989531,0,0
1530224813.708539636,0,0
1530224813.721073815,0,0
1530224813.733721463,0,0
1530224813.746364082,0,0
1530224813.758921308,133,2
1530224813.771516814,0,0
1530224813.783860067,0,0
1530224813.796258535,0,0
1530224813.808747670,0,0
1530224813.821284283,0,0
1530224813.833786977,74,1
1530224813.846347853,66,1
1530224813.858847947,0,0
1530224813.871475924,0,0
1530224813.883974173,0,0
1530224813.896548540,66,1
1530224813.909006204,264,4
1530224813.921531586,396,6
1530224813.933961305,396,6
1530224813.946666149,264,4
1530224813.959203739,132,2
1530224813.971817667,264,4
1530224813.984377328,132,2
1530224813.996910631,264,4
1530224814.009490642,264,4
1530224814.022126109,330,5
1530224814.034734551,264,4
1530224814.047229004,264,4
1530224814.059843575,198,3
1530224814.072359891,264,4
1530224814.085046329,330,5
1530224814.097556855,264,4
1530224814.110162544,198,3
1530224814.122715280,264,4
1530224814.135267326,396,6
1530224814.147731410,330,5
1530224814.160418434,264,4
1530224814.172917531,264,4
1530224814.185561806,330,5
1530224814.198129612,264,4
1530224814.210697747,330,5
1530224814.223203129,264,4
1530224814.235761217,330,5
1530224814.248253853,264,4
1530224814.260928341,396,6
1530224814.273470159,264,4
1530224814.285921271,462,7
1530224814.298550385,330,5
1530224814.311268506,330,5
1530224814.323742165,330,5
1530224814.336177539,330,5
1530224814.348682210,264,4
1530224814.361297678,330,5
1530224814.373980919,330,5
1530224814.386655658,264,4
1530224814.399202519,396,6
1530224814.411707737,264,4
1530224814.424201967,330,5
1530224814.436665162,330,5
1530224814.449158831,264,4
1530224814.461667208,264,4
1530224814.474248472,330,5
1530224814.486952659,264,4
1530224814.499638186,330,5
1530224814.512253728,264,4
1530224814.524909135,396,6
1530224814.537531414,330,5
1530224814.550049017,264,4
1530224814.562613173,330,5
1530224814.575113752,264,4
1530224814.587663511,330,5
1530224814.600062908,330,5
1530224814.612561047,264,4
