ts,rto,rtt,rttvar,s,pmtu,rcvs,advs,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530224813.821746743,212,10.301,3.866,1448,1500,536,1448,11,38,3,2,1,1.1e6,10.291,2.88672,2.88672,12.4e6,33.6e6,1.1e6,12
1530224813.832711034,212,10.301,3.866,1448,1500,536,1448,11,38,3,2,1,1.1e6,10.291,2.88672,2.88672,12.4e6,33.6e6,1.1e6,12
1530224813.843588392,212,10.301,3.866,1448,1500,536,1448,11,38,3,2,1,1.1e6,10.291,2.88672,2.88672,12.4e6,33.6e6,1.1e6,12
1530224813.854564467,212,10.301,3.866,1448,1500,536,1448,11,38,11,2,9,1.1e6,10.291,2.88672,2.88672,12.4e6,33.6e6,1.1e6,16
1530224813.865430521,212,10.28,1.252,1448,1500,536,1448,19,11622,23,6,21,7.5e6,10.23,2.88672,2.88672,21.4e6,33.6e6,7.5e6,24
1530224813.876365960,212,10.271,0.179,1448,1500,536,1448,33,31894,48,14,46,13.1e6,10.216,2.88672,2.88672,37.2e6,39.1e6,13.0e6,36
1530224813.887248352,212,10.234,0.044,1448,1500,536,1448,59,69542,103,26,101,28.0e6,10.134,2.88672,2.88672,66.8e6,83.7e6,28.0e6,48
1530224813.897961459,212,10.232,0.033,1448,1500,536,1448,118,154974,215,39,213,63.3e6,10.134,2.88672,2.88672,133.6e6,189.2e6,63.3e6,60
1530224813.909092393,212,10.794,0.702,1448,1500,536,1448,205,280950,323,51,321,95.5e6,10.134,2.88672,2.88672,220.0e6,285.7e6,95.5e6,68
1530224813.920080159,216,13.073,2.264,1448,1500,536,1448,309,431542,440,59,438,103.9e6,10.134,2.88672,2.88672,273.8e6,310.8e6,102.7e6,80
1530224813.931238403,216,15.696,1.852,1448,1500,536,1448,352,567654,530,71,528,106.9e6,10.134,2.88672,2.88672,259.8e6,319.6e6,97.9e6,92
1530224813.941989352,220,16.688,1.189,1448,1500,536,1448,352,696526,620,79,618,106.9e6,10.134,2.88672,2.88672,244.3e6,319.6e6,95.4e6,104
1530224813.953046466,220,17.421,1.028,1448,1500,536,1448,352,828294,710,87,708,106.9e6,10.134,2.88672,2.88672,234.1e6,319.6e6,96.2e6,112
1530224813.964085871,220,17.18,0.535,1448,1500,536,1448,214,957166,747,94,745,106.9e6,10.134,1,2,144.3e6,110.7e6,97.3e6,124
1530224813.974940063,216,15.927,1.151,1448,1500,536,1448,214,1064318,846,100,844,106.9e6,10.134,1,2,155.6e6,110.7e6,66.3e6,136
1530224813.986791114,216,13.07,1.03,1448,1500,536,1448,220,1207670,942,111,940,106.9e6,10.134,1.25,2,195.0e6,138.4e6,88.8e6,148
1530224813.998251437,216,12.604,0.305,1448,1500,536,1448,220,1343782,1043,121,1041,106.9e6,10.134,1.25,2,202.2e6,138.4e6,94.6e6,160
1530224814.009401587,216,12.332,0.306,1448,1500,536,1448,220,1474102,1133,129,1131,106.9e6,10.134,1.25,2,206.7e6,138.4e6,95.1e6,168
1530224814.020779683,216,12.272,0.264,1448,1500,536,1448,220,1620350,1223,138,1221,106.9e6,10.134,1.25,2,207.7e6,138.4e6,95.5e6,180
1530224814.032551578,216,12.331,0.346,1448,1500,536,1448,220,1766598,1313,147,1311,106.9e6,10.134,1.25,2,206.7e6,138.4e6,96.1e6,192
1530224814.043746400,216,12.19,0.369,1448,1500,536,1448,220,1896918,1403,156,1401,106.9e6,10.134,1.25,2,209.1e6,138.4e6,95.8e6,204
1530224814.054872957,216,12.189,0.432,1448,1500,536,1448,220,2027238,1493,165,1491,106.9e6,10.134,1.25,2,209.1e6,138.4e6,95.4e6,216
1530224814.065966783,216,12.166,0.423,1448,1500,536,1448,220,2157558,1595,174,1593,106.9e6,10.134,1.25,2,209.5e6,138.4e6,95.8e6,228
1530224814.077091137,216,12.273,0.421,1448,1500,536,1448,202,2287878,1684,182,1682,97.9e6,10.134,1.25,2,190.7e6,126.7e6,95.4e6,236
1530224814.088525760,216,12.028,0.477,1448,1500,536,1448,202,2434126,1784,193,1782,97.9e6,10.134,1.25,2,194.5e6,126.7e6,85.8e6,248
1530224814.100093308,216,12.408,0.345,1448,1500,536,1448,202,2564446,1874,203,1872,97.9e6,10.134,1.25,2,188.6e6,126.7e6,95.8e6,260
1530224814.111398261,216,12.662,0.178,1448,1500,536,1448,202,2702006,1974,214,1972,97.9e6,10.134,1.25,2,184.8e6,126.7e6,91.7e6,272
1530224814.122704028,216,12.703,0.15,1448,1500,536,1448,202,2839566,2064,225,2062,97.9e6,10.134,1.25,2,184.2e6,126.7e6,96.1e6,284
1530224814.134035589,216,12.716,0.152,1448,1500,536,1448,200,2969886,2164,236,2162,96.6e6,10.134,1.25,2,182.2e6,125.0e6,95.9e6,296
1530224814.145252296,216,12.72,0.146,1448,1500,536,1448,200,3098758,2254,246,2252,96.7e6,10.134,1.25,2,182.1e6,125.2e6,95.1e6,304
1530224814.156458602,216,12.837,0.309,1448,1500,536,1448,200,3245006,2344,257,2342,96.7e6,10.134,1.25,2,180.5e6,125.2e6,94.6e6,316
1530224814.167755221,216,12.735,0.185,1448,1500,536,1448,200,3375326,2434,267,2432,96.7e6,10.134,1.25,2,181.9e6,125.2e6,94.7e6,328
