ts,backlog_in_bytes,backlog_in_packets
1529943845.991152772,264,4
1529943846.003846721,330,5
1529943846.016393378,330,5
1529943846.029071939,330,5
1529943846.041664197,264,4
1529943846.054065514,330,5
1529943846.066701953,264,4
1529943846.079153850,330,5
1529943846.091697094,330,5
1529943846.104146152,264,4
1529943846.116582070,264,4
1529943846.129163553,330,5
1529943846.141574142,330,5
1529943846.154298428,330,5
1529943846.166760786,264,4
1529943846.179221293,264,4
1529943846.191706639,264,4
1529943846.204193635,330,5
1529943846.216711657,330,5
1529943846.229236210,330,5
1529943846.241684442,330,5
1529943846.254264921,264,4
1529943846.266923459,330,5
1529943846.279725150,396,6
1529943846.292201974,264,4
1529943846.304745039,330,5
1529943846.317430271,330,5
1529943846.330093027,330,5
1529943846.342781485,330,5
1529943846.355542926,330,5
1529943846.368100265,330,5
1529943846.380648676,264,4
1529943846.393375007,264,4
1529943846.406172934,396,6
1529943846.418744558,264,4
1529943846.431285000,330,5
1529943846.444066699,330,5
1529943846.456491874,330,5
1529943846.469088318,264,4
1529943846.481499503,396,6
1529943846.494025762,264,4
1529943846.506583675,330,5
1529943846.519088891,330,5
1529943846.531617869,396,6
1529943846.544186292,264,4
1529943846.556809241,264,4
1529943846.569407525,396,6
1529943846.581942006,330,5
1529943846.594438156,264,4
1529943846.607016495,264,4
1529943846.619565000,330,5
1529943846.632059839,396,6
1529943846.644402118,264,4
1529943846.656788635,330,5
1529943846.669155953,396,6
1529943846.681807022,264,4
1529943846.694396566,264,4
1529943846.707031563,330,5
1529943846.719705525,264,4
1529943846.732071476,330,5
1529943846.744581379,264,4
1529943846.757070502,264,4
1529943846.769647778,264,4
1529943846.782172125,330,5
1529943846.794740418,330,5
1529943846.807463897,330,5
1529943846.820023634,330,5
1529943846.832383744,330,5
1529943846.844813425,330,5
1529943846.857388177,330,5
1529943846.869756045,330,5
1529943846.882382929,330,5
1529943846.895091464,330,5
1529943846.907627217,396,6
1529943846.920314082,264,4
1529943846.932753286,264,4
1529943846.945299088,264,4
1529943846.957759978,330,5
1529943846.970291483,330,5
1529943846.982913142,330,5
1529943846.995470656,264,4
1529943847.007914044,330,5
