ts,backlog in bytes, backlog in packets
1529798301.553294962,594b,9p
1529798301.566067762,660b,10p
1529798301.578584511,594b,9p
1529798301.591343016,594b,9p
1529798301.603952881,594b,9p
1529798301.616382821,594b,9p
1529798301.628836583,726b,11p
1529798301.641420653,660b,10p
1529798301.653882607,594b,9p
1529798301.666476725,594b,9p
1529798301.679160098,660b,10p
1529798301.691721307,594b,9p
1529798301.704118498,594b,9p
1529798301.716730501,594b,9p
1529798301.729209456,660b,10p
1529798301.741771642,660b,10p
1529798301.754192272,594b,9p
1529798301.766969416,594b,9p
1529798301.779534526,594b,9p
1529798301.792196373,594b,9p
1529798301.804873852,594b,9p
1529798301.817482014,594b,9p
1529798301.829949971,660b,10p
1529798301.842583767,660b,10p
1529798301.855219118,594b,9p
1529798301.867730058,594b,9p
1529798301.880271049,594b,9p
1529798301.892944744,660b,10p
1529798301.905590132,594b,9p
1529798301.918121687,594b,9p
1529798301.930632189,660b,10p
1529798301.943322570,660b,10p
1529798301.955874238,660b,10p
1529798301.968252452,726b,11p
1529798301.980767013,594b,9p
1529798301.993394604,594b,9p
1529798302.005871878,594b,9p
1529798302.018440849,660b,10p
1529798302.031021389,660b,10p
1529798302.043666864,594b,9p
1529798302.056089331,594b,9p
1529798302.068719786,660b,10p
1529798302.081247847,594b,9p
1529798302.093872818,594b,9p
1529798302.106431758,594b,9p
1529798302.118937756,594b,9p
1529798302.131463524,594b,9p
1529798302.143873619,660b,10p
1529798302.156328562,594b,9p
1529798302.168963899,594b,9p
1529798302.181673703,594b,9p
1529798302.194279981,660b,10p
1529798302.206854192,594b,9p
1529798302.219527594,594b,9p
1529798302.232112403,660b,10p
1529798302.244517323,594b,9p
1529798302.257171042,594b,9p
1529798302.269865384,660b,10p
1529798302.282387591,594b,9p
1529798302.294905939,594b,9p
1529798302.307628695,660b,10p
1529798302.320209327,660b,10p
1529798302.332777532,594b,9p
1529798302.345223550,594b,9p
1529798302.357645555,660b,10p
1529798302.370311060,660b,10p
1529798302.382891766,594b,9p
1529798302.395680577,660b,10p
1529798302.408139847,594b,9p
1529798302.420652451,660b,10p
1529798302.433221710,660b,10p
1529798302.445683829,528b,8p
1529798302.458097516,594b,9p
1529798302.470840238,660b,10p
1529798302.483529366,594b,9p
1529798302.496056161,594b,9p
1529798302.508666246,594b,9p
1529798302.521216776,594b,9p
1529798302.533633161,660b,10p
1529798302.546194416,594b,9p
1529798302.558743574,594b,9p
1529798302.571332136,594b,9p
1529798302.583905313,726b,11p
1529798302.596297735,660b,10p
1529798302.608860084,594b,9p
1529798302.621275418,594b,9p
1529798302.633865575,594b,9p
1529798302.646542968,594b,9p
1529798302.659216264,660b,10p
1529798302.671718235,594b,9p
1529798302.684083847,594b,9p
1529798302.696737130,660b,10p
1529798302.709314227,660b,10p
1529798302.721752926,594b,9p
1529798302.734207054,594b,9p
1529798302.746751925,594b,9p
1529798302.759212854,594b,9p
1529798302.771761182,660b,10p
1529798302.784231292,594b,9p
1529798302.796822894,594b,9p
1529798302.809260970,594b,9p
1529798302.821790046,528b,8p
1529798302.834376097,594b,9p
1529798302.847000649,726b,11p
1529798302.859494601,594b,9p
1529798302.871959687,594b,9p
1529798302.884589880,594b,9p
1529798302.897041799,660b,10p
1529798302.909466651,594b,9p
1529798302.922024964,660b,10p
1529798302.934565043,660b,10p
1529798302.947131369,528b,8p
1529798302.959825772,660b,10p
1529798302.972358529,660b,10p
1529798302.984735953,594b,9p
1529798302.997317568,594b,9p
1529798303.009736998,594b,9p
1529798303.022429478,660b,10p
1529798303.034951773,594b,9p
1529798303.047827983,594b,9p
1529798303.060192591,594b,9p
1529798303.072615388,594b,9p
1529798303.085228192,594b,9p
1529798303.097811451,594b,9p
1529798303.110335585,594b,9p
1529798303.123105180,594b,9p
1529798303.135828165,660b,10p
1529798303.148236463,594b,9p
1529798303.160799801,594b,9p
1529798303.173208900,594b,9p
1529798303.185734221,660b,10p
1529798303.198334999,594b,9p
1529798303.210947503,660b,10p
1529798303.223502021,660b,10p
1529798303.236044563,528b,8p
1529798303.248520645,660b,10p
1529798303.261232886,660b,10p
1529798303.273818806,594b,9p
1529798303.286480225,594b,9p
1529798303.299141155,660b,10p
1529798303.311760874,594b,9p
1529798303.324333689,594b,9p
1529798303.336997220,594b,9p
1529798303.349437216,660b,10p
1529798303.361863172,594b,9p
1529798303.374589883,660b,10p
1529798303.387245873,594b,9p
1529798303.399908878,726b,11p
1529798303.412310801,594b,9p
1529798303.424862530,594b,9p
1529798303.437476164,594b,9p
1529798303.449931842,594b,9p
1529798303.462577088,660b,10p
1529798303.475093381,594b,9p
1529798303.487854641,594b,9p
1529798303.500241476,594b,9p
1529798303.512828896,660b,10p
1529798303.525437413,594b,9p
1529798303.538027328,660b,10p
1529798303.550615908,660b,10p
1529798303.563220274,594b,9p
1529798303.575752246,594b,9p
1529798303.588320639,660b,10p
1529798303.600697219,594b,9p
1529798303.613044636,660b,10p
1529798303.625498651,594b,9p
1529798303.638027811,594b,9p
1529798303.650618438,594b,9p
1529798303.663195580,726b,11p
1529798303.675833732,660b,10p
1529798303.688236856,594b,9p
1529798303.700697175,594b,9p
1529798303.713311795,594b,9p
1529798303.725889394,594b,9p
1529798303.738470222,660b,10p
1529798303.751014203,594b,9p
1529798303.763651043,660b,10p
1529798303.776068097,594b,9p
1529798303.788688695,660b,10p
1529798303.801190511,594b,9p
1529798303.813776497,528b,8p
1529798303.826249720,594b,9p
1529798303.838845406,660b,10p
1529798303.851506283,594b,9p
1529798303.864068674,594b,9p
1529798303.876679859,594b,9p
1529798303.889222256,594b,9p
1529798303.901838133,660b,10p
1529798303.914372706,594b,9p
1529798303.927086271,660b,10p
1529798303.939620628,594b,9p
1529798303.952046462,726b,11p
1529798303.964411478,660b,10p
1529798303.976784561,594b,9p
1529798303.989292160,594b,9p
1529798304.001871902,594b,9p
1529798304.014326858,660b,10p
1529798304.026962426,594b,9p
1529798304.039668941,594b,9p
1529798304.052124602,594b,9p
1529798304.064709912,660b,10p
1529798304.077256160,594b,9p
1529798304.089823571,594b,9p
1529798304.102328773,594b,9p
1529798304.114928392,594b,9p
1529798304.127672170,660b,10p
