ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate
1529689741.551295015,224,20.272,7.605,1448,1500,536,1448,11,38,3,2,1,571.0e3,20.265,2.88672,2.88672,6.3e6,17.1e6,571.6e3,20ms
1529689741.562643995,224,20.272,7.605,1448,1500,536,1448,11,38,5,2,3,571.0e3,20.265,2.88672,2.88672,6.3e6,17.1e6,571.6e3,20ms
1529689741.573984740,224,20.272,7.605,1448,1500,536,1448,11,38,14,2,12,571.0e3,20.265,2.88672,2.88672,6.3e6,17.1e6,571.6e3,32ms
1529689741.585280167,224,20.296,3.249,1448,1500,536,1448,17,8726,21,5,19,3.0e6,20.265,2.88672,2.88672,9.7e6,17.1e6,3.0e6,44ms
1529689741.596656626,224,20.311,1.39,1448,1500,536,1448,22,15966,35,8,33,4.7e6,20.265,2.88672,2.88672,12.5e6,17.1e6,4.7e6,52ms
1529689741.607848247,224,20.298,0.37,1448,1500,536,1448,31,28998,45,13,43,6.6e6,20.218,2.88672,2.88672,17.7e6,19.8e6,6.6e6,64ms
1529689741.619164672,224,20.305,0.095,1448,1500,536,1448,43,46374,67,19,65,9.2e6,20.218,2.88672,2.88672,24.5e6,27.4e6,9.2e6,76ms
1529689741.630270116,224,20.283,0.046,1448,1500,536,1448,57,66646,100,26,98,13.0e6,20.21,2.88672,2.88672,32.6e6,38.8e6,13.0e6,88ms
1529689741.641509313,224,20.269,0.039,1448,1500,536,1448,81,101398,141,38,139,16.9e6,20.145,2.88672,2.88672,46.3e6,50.7e6,16.9e6,100ms
1529689741.652693894,224,20.225,0.044,1448,1500,536,1448,114,149182,211,50,209,30.5e6,20.105,2.88672,2.88672,65.3e6,91.2e6,30.5e6,108ms
1529689741.664165416,224,20.196,0.035,1448,1500,536,1448,160,215790,310,64,308,41.8e6,20.105,2.88672,2.88672,91.8e6,125.1e6,41.8e6,120ms
1529689741.675548555,224,20.238,0.046,1448,1500,536,1448,246,340318,445,78,443,68.1e6,20.105,2.88672,2.88672,140.8e6,203.6e6,68.1e6,132ms
1529689741.686927628,224,20.471,0.406,1448,1500,536,1448,332,464846,548,92,546,90.3e6,20.105,2.88672,2.88672,187.9e6,269.9e6,87.4e6,144ms
1529689741.698201385,224,22.095,1.664,1448,1500,536,1448,437,616886,663,101,661,98.9e6,20.105,2.88672,2.88672,229.1e6,295.9e6,98.9e6,156ms
1529689741.709345653,224,23.698,2.007,1448,1500,536,1448,534,757342,754,107,752,99.8e6,20.105,2.88672,2.88672,261.0e6,298.5e6,99.8e6,168ms
1529689741.720742550,228,25.283,2.242,1448,1500,536,1448,602,890558,844,113,842,101.0e6,20.105,2.88672,2.88672,275.8e6,302.1e6,100.6e6,176ms
1529689741.732072819,228,26.25,1.52,1448,1500,536,1448,602,1020878,934,119,932,102.4e6,20.105,2.88672,2.88672,265.7e6,306.2e6,98.6e6,188ms
1529689741.743395103,228,27.098,1.308,1448,1500,536,1448,602,1151198,1024,125,1022,102.4e6,20.105,2.88672,2.88672,257.3e6,306.2e6,95.8e6,200ms
1529689741.754627578,228,27.743,1.03,1448,1500,536,1448,602,1281518,1114,131,1112,102.4e6,20.105,2.88672,2.88672,251.4e6,306.2e6,96.1e6,212ms
1529689741.765826266,228,27.543,0.607,1448,1500,536,1448,602,1411838,1204,138,1202,102.4e6,20.105,2.88672,2.88672,253.2e6,306.2e6,96.4e6,224ms
1529689741.776857497,228,27.892,0.834,1448,1500,536,1448,380,1543606,1256,145,1254,102.4e6,20.105,1,2,157.8e6,106.1e6,96.6e6,232ms
1529689741.788257018,232,28.104,1.257,1448,1500,536,1448,380,1702886,1346,152,1344,102.4e6,20.105,1,2,156.6e6,106.1e6,95.6e6,244ms
1529689741.799425280,228,24.9,1.861,1448,1500,536,1448,380,1814382,1436,161,1434,102.4e6,20.105,1,2,176.8e6,106.1e6,72.9e6,256ms
1529689741.810586385,224,22.667,0.98,1448,1500,536,1448,390,1944702,1539,173,1537,102.4e6,20.105,1.25,2,199.3e6,132.6e6,73.2e6,268ms
1529689741.821878454,224,22.249,0.178,1448,1500,536,1448,390,2086606,1628,186,1626,102.4e6,20.105,1.25,2,203.1e6,132.6e6,95.4e6,280ms
1529689741.833020971,224,22.25,0.123,1448,1500,536,1448,390,2224166,1718,198,1716,102.4e6,20.105,1.25,2,203.0e6,132.6e6,96.5e6,288ms
1529689741.844344480,224,22.38,0.325,1448,1500,536,1448,390,2353038,1808,206,1806,102.4e6,20.105,1.25,2,201.9e6,132.6e6,97.1e6,300ms
1529689741.855916582,224,22.285,0.361,1448,1500,536,1448,390,2500734,1898,215,1896,102.4e6,20.105,1.25,2,202.7e6,132.6e6,90.4e6,312ms
1529689741.867140287,224,22.167,0.349,1448,1500,536,1448,390,2631054,2000,223,1998,102.4e6,20.105,1.25,2,203.8e6,132.6e6,95.2e6,324ms
1529689741.878118610,224,22.141,0.356,1448,1500,536,1448,390,2761374,2090,231,2088,102.4e6,20.105,1.25,2,204.0e6,132.6e6,95.8e6,336ms
1529689741.889188279,224,22.14,0.35,1448,1500,536,1448,390,2891694,2180,239,2178,102.4e6,20.105,1.25,2,204.1e6,132.6e6,95.3e6,348ms
1529689741.900600550,224,22.147,0.34,1448,1500,536,1448,390,3022014,2270,248,2268,102.4e6,20.105,1.25,2,204.0e6,132.6e6,95.3e6,356ms
1529689741.911752099,224,22.023,0.345,1448,1500,536,1448,390,3152334,2371,257,2369,102.4e6,20.105,1.25,2,205.1e6,132.6e6,94.8e6,368ms
1529689741.922935970,224,21.995,0.292,1448,1500,536,1448,390,3298582,2461,267,2459,102.4e6,20.105,1.25,2,205.4e6,132.6e6,95.3e6,380ms
1529689741.934161364,224,22.059,0.316,1448,1500,536,1448,390,3428902,2551,275,2549,102.4e6,20.105,1.25,2,204.8e6,132.6e6,95.3e6,392ms
1529689741.945386024,224,22.074,0.279,1448,1500,536,1448,390,3559222,2652,283,2650,102.4e6,20.105,1.25,2,204.7e6,132.6e6,95.4e6,404ms
1529689741.956637302,224,22.034,0.3,1448,1500,536,1448,390,3689542,2742,293,2740,102.4e6,20.105,1.25,2,205.0e6,132.6e6,95.4e6,412ms
1529689741.967842953,224,22.104,0.281,1448,1500,536,1448,390,3835790,2832,302,2830,102.4e6,20.105,1.25,2,204.4e6,132.6e6,95.5e6,424ms
1529689741.979008788,224,22.093,0.3,1448,1500,536,1448,372,3966110,2929,310,2927,98.2e6,20.105,1.25,2,195.1e6,127.2e6,95.4e6,436ms
1529689741.990192709,224,22.13,0.308,1448,1500,536,1448,372,4096430,3019,318,3017,98.2e6,20.105,1.25,2,194.7e6,127.2e6,95.7e6,448ms
1529689742.001266696,224,22.44,0.461,1448,1500,536,1448,372,4236886,3109,329,3107,98.2e6,20.105,1.25,2,192.0e6,127.2e6,95.2e6,460ms
1529689742.012505277,224,22.642,0.167,1448,1500,536,1448,372,4367206,3199,339,3197,98.2e6,20.105,1.25,2,190.3e6,127.2e6,94.8e6,468ms
1529689742.023683642,224,22.675,0.123,1448,1500,536,1448,372,4497526,3294,349,3292,98.3e6,20.105,1.25,2,190.0e6,127.2e6,95.4e6,480ms
1529689742.034929694,224,22.694,0.133,1448,1500,536,1448,372,4627846,3394,359,3392,98.3e6,20.105,1.25,2,189.9e6,127.2e6,95.7e6,492ms
1529689742.046108824,224,22.672,0.126,1448,1500,536,1448,372,4765406,3484,370,3482,98.3e6,20.105,1.25,2,190.1e6,127.2e6,93.1e6,504ms
1529689742.057281674,224,22.672,0.124,1448,1500,536,1448,372,4895726,3574,380,3572,98.3e6,20.105,1.25,2,190.1e6,127.2e6,93.1e6,516ms
1529689742.068828391,224,22.674,0.102,1448,1500,536,1448,372,5040526,3674,391,3672,98.3e6,20.105,1.25,2,190.1e6,127.2e6,96.0e6,524ms
1529689742.080118936,224,22.658,0.12,1448,1500,536,1448,372,5170846,3764,401,3762,98.3e6,20.105,1.25,2,190.2e6,127.2e6,95.9e6,536ms
1529689742.091363901,224,22.68,0.115,1448,1500,536,1448,372,5301166,3854,411,3852,98.3e6,20.105,1.25,2,190.0e6,127.2e6,95.6e6,548ms
1529689742.102578614,224,22.721,0.185,1448,1500,536,1448,372,5445966,3944,422,3942,98.3e6,20.105,1.25,2,189.7e6,127.2e6,95.5e6,560ms
1529689742.113693358,224,22.717,0.176,1448,1500,536,1448,372,5576286,4034,432,4032,98.3e6,20.105,1.25,2,189.7e6,127.2e6,98.0e6,572ms
1529689742.124689853,224,22.707,0.159,1448,1500,536,1448,372,5706606,4134,442,4132,98.3e6,20.105,1.25,2,189.8e6,127.2e6,95.8e6,580ms
1529689742.136024412,224,22.72,0.161,1448,1500,536,1448,372,5836926,4224,452,4222,98.3e6,20.105,1.25,2,189.7e6,127.2e6,98.0e6,592ms
1529689742.147483690,224,22.7,0.155,1448,1500,536,1448,372,5981726,4314,463,4312,98.3e6,20.105,1.25,2,189.8e6,127.2e6,94.0e6,604ms
1529689742.158904012,224,22.702,0.161,1448,1500,536,1448,372,6112046,4414,473,4412,98.3e6,20.105,1.25,2,189.8e6,127.2e6,93.9e6,616ms
1529689742.170137489,224,22.778,0.201,1448,1500,536,1448,372,6242366,4504,483,4502,98.3e6,20.105,1.25,2,189.2e6,127.2e6,93.9e6,628ms
1529689742.181343426,224,22.706,0.158,1448,1500,536,1448,372,6387166,4594,494,4592,98.3e6,20.105,1.25,2,189.8e6,127.2e6,95.6e6,640ms
1529689742.192645785,224,22.698,0.121,1448,1500,536,1448,372,6517486,4689,504,4687,98.3e6,20.105,1.25,2,189.9e6,127.2e6,95.6e6,648ms
1529689742.203729829,224,22.684,0.14,1448,1500,536,1448,372,6647806,4779,514,4777,98.3e6,20.105,1.25,2,190.0e6,127.2e6,95.6e6,660ms
1529689742.215204964,224,22.663,0.133,1448,1500,536,1448,372,6785366,4879,525,4877,98.3e6,20.105,1.25,2,190.1e6,127.2e6,93.1e6,672ms
1529689742.226549423,224,22.685,0.093,1448,1500,536,1448,372,6930166,4969,536,4967,98.3e6,20.105,1.25,2,190.0e6,127.2e6,95.8e6,684ms
1529689742.237695675,224,22.672,0.108,1448,1500,536,1448,372,7060486,5069,546,5067,98.3e6,20.105,1.25,2,190.1e6,127.2e6,95.8e6,696ms
1529689742.248642206,224,22.662,0.121,1448,1500,536,1448,372,7190806,5159,556,5157,98.3e6,20.105,1.25,2,190.2e6,127.2e6,95.9e6,704ms
1529689742.260330345,224,22.667,0.122,1448,1500,536,1448,372,7321126,5249,566,5247,98.3e6,20.105,1.25,2,190.1e6,127.2e6,95.7e6,716ms
1529689742.271736916,224,22.705,0.166,1448,1500,536,1448,372,7464478,5339,577,5337,98.2e6,20.105,1.25,2,189.8e6,127.2e6,97.6e6,728ms
1529689742.282918638,224,22.769,0.189,1448,1500,536,1448,372,7596246,5439,587,5437,98.2e6,20.105,1.25,2,189.3e6,127.2e6,98.1e6,740ms
1529689742.294008514,224,22.743,0.135,1448,1500,536,1448,372,7726566,5529,597,5527,98.2e6,20.105,1.25,2,189.5e6,127.2e6,97.9e6,752ms
1529689742.305194378,224,22.729,0.165,1448,1500,536,1448,372,7856886,5619,607,5617,98.2e6,20.105,1.25,2,189.6e6,127.2e6,95.7e6,764ms
1529689742.316394597,224,22.704,0.148,1448,1500,536,1448,372,8001686,5709,618,5707,98.2e6,20.105,1.25,2,189.8e6,127.2e6,93.8e6,772ms
1529689742.327701368,224,22.688,0.134,1448,1500,536,1448,372,8132006,5809,628,5807,98.2e6,20.105,1.25,2,189.9e6,127.2e6,93.9e6,784ms
1529689742.338844043,224,22.683,0.155,1448,1500,536,1448,372,8262326,5899,638,5897,98.2e6,20.105,1.25,2,190.0e6,127.2e6,94.0e6,796ms
1529689742.349918772,224,22.698,0.148,1448,1500,536,1448,372,8392646,5989,648,5987,98.2e6,20.105,1.25,2,189.9e6,127.2e6,93.9e6,808ms
1529689742.361203769,224,22.68,0.146,1448,1500,536,1448,372,8537446,6079,659,6077,98.2e6,20.105,1.25,2,190.0e6,127.2e6,95.6e6,820ms
1529689742.372552188,224,22.67,0.132,1448,1500,536,1448,372,8667766,6174,669,6172,98.2e6,20.105,1.25,2,190.1e6,127.2e6,95.7e6,828ms
1529689742.383910332,224,22.684,0.127,1448,1500,536,1448,372,8798086,6274,680,6272,98.3e6,20.105,1.25,2,190.0e6,127.3e6,94.7e6,840ms
1529689742.395087428,224,22.671,0.141,1448,1500,536,1448,372,8935646,6364,691,6362,98.3e6,20.105,1.25,2,190.1e6,127.3e6,93.1e6,852ms
1529689742.406415215,224,22.66,0.139,1448,1500,536,1448,372,9065966,6454,701,6452,98.3e6,20.105,1.25,2,190.2e6,127.3e6,93.1e6,864ms
1529689742.417706235,224,22.692,0.116,1448,1500,536,1448,372,9210766,6554,712,6552,98.3e6,20.105,1.25,2,189.9e6,127.3e6,95.6e6,876ms
1529689742.428865391,224,22.668,0.104,1448,1500,536,1448,372,9341086,6644,722,6642,98.3e6,20.105,1.25,2,190.1e6,127.3e6,95.6e6,884ms
1529689742.440347741,224,22.715,0.145,1448,1500,536,1448,372,9485886,6734,733,6732,98.4e6,20.105,1.25,2,189.7e6,127.5e6,98.4e6,896ms
1529689742.451630667,224,22.713,0.156,1448,1500,536,1448,372,9616206,6824,743,6822,98.4e6,20.105,1.25,2,189.7e6,127.5e6,98.4e6,908ms
1529689742.462992227,224,22.695,0.164,1448,1500,536,1448,372,9746526,6924,753,6922,98.4e6,20.105,1.25,2,189.9e6,127.5e6,95.8e6,920ms
1529689742.474276432,224,22.702,0.153,1448,1500,536,1448,372,9891326,7014,764,7012,98.4e6,20.105,1.25,2,189.8e6,127.5e6,93.8e6,932ms
1529689742.485439415,224,22.702,0.177,1448,1500,536,1448,372,10021646,7104,774,7102,98.4e6,20.105,1.25,2,189.8e6,127.5e6,93.9e6,944ms
1529689742.496796420,224,22.697,0.134,1448,1500,536,1448,372,10151966,7204,784,7202,98.4e6,20.105,1.25,2,189.9e6,127.5e6,93.8e6,952ms
1529689742.508155791,224,22.689,0.156,1448,1500,536,1448,372,10282286,7294,794,7292,98.4e6,20.105,1.25,2,189.9e6,127.5e6,93.8e6,964ms
1529689742.519448609,224,22.691,0.112,1448,1500,536,1448,372,10427086,7384,805,7382,98.4e6,20.105,1.25,2,189.9e6,127.5e6,95.3e6,976ms
1529689742.530758159,224,22.689,0.139,1448,1500,536,1448,372,10557406,7479,815,7477,98.4e6,20.105,1.25,2,189.9e6,127.5e6,95.4e6,988ms
1529689742.541954164,224,22.679,0.135,1448,1500,536,1448,372,10694966,7579,826,7577,98.4e6,20.105,1.25,2,190.0e6,127.5e6,93.2e6,1000ms
1529689742.553292142,224,22.66,0.156,1448,1500,536,1448,372,10825286,7669,836,7667,98.4e6,20.105,1.25,2,190.2e6,127.5e6,93.1e6,1012ms
1529689742.564441525,224,22.663,0.14,1448,1500,536,1448,372,10955606,7759,846,7757,98.4e6,20.105,1.25,2,190.1e6,127.5e6,93.1e6,1020ms
1529689742.575786103,224,22.644,0.109,1448,1500,536,1448,372,11100406,7859,857,7857,98.4e6,20.105,1.25,2,190.3e6,127.5e6,95.8e6,1032ms
1529689742.586961089,224,22.634,0.104,1448,1500,536,1448,372,11230726,7949,868,7947,98.4e6,20.105,1.25,2,190.4e6,127.5e6,95.9e6,1044ms
1529689742.598074880,224,22.656,0.121,1448,1500,536,1448,372,11361046,8039,878,8037,98.4e6,20.105,1.25,2,190.2e6,127.5e6,95.5e6,1056ms
1529689742.609322725,224,22.699,0.184,1448,1500,536,1448,372,11505846,8129,889,8127,98.4e6,20.105,1.25,2,189.8e6,127.5e6,95.5e6,1068ms
1529689742.620465155,224,22.698,0.169,1448,1500,536,1448,372,11636166,8219,899,8217,98.4e6,20.105,1.25,2,189.9e6,127.5e6,95.5e6,1076ms
1529689742.631623503,224,22.697,0.155,1448,1500,536,1448,372,11766486,8319,909,8317,98.4e6,20.105,1.25,2,189.9e6,127.5e6,95.6e6,1088ms
1529689742.642912574,224,22.697,0.16,1448,1500,536,1448,372,11896806,8409,919,8407,98.4e6,20.105,1.25,2,189.9e6,127.5e6,95.6e6,1100ms
1529689742.654059802,224,22.664,0.166,1448,1500,536,1448,372,12041606,8499,930,8497,98.4e6,20.105,1.25,2,190.1e6,127.5e6,93.9e6,1112ms
1529689742.665254814,224,22.674,0.173,1448,1500,536,1448,372,12171926,8589,940,8587,98.4e6,20.105,1.25,2,190.1e6,127.5e6,93.9e6,1124ms
1529689742.676644342,224,22.671,0.156,1448,1500,536,1448,372,12302246,8689,950,8687,98.4e6,20.105,1.25,2,190.1e6,127.5e6,94.1e6,1132ms
1529689742.688004195,224,22.668,0.168,1448,1500,536,1448,372,12432566,8779,960,8777,98.4e6,20.105,1.25,2,190.1e6,127.4e6,93.8e6,1144ms
1529689742.700029781,224,22.745,0.262,1448,1500,536,1448,372,12577366,8884,971,8882,98.4e6,20.105,1.25,2,189.5e6,127.4e6,95.2e6,1156ms
1529689742.711448592,224,22.658,0.153,1448,1500,536,1448,372,12714926,8974,983,8972,98.4e6,20.105,1.25,2,190.2e6,127.4e6,93.0e6,1168ms
1529689742.722774446,224,22.649,0.102,1448,1500,536,1448,372,12859726,9074,994,9072,98.4e6,20.105,1.25,2,190.3e6,127.4e6,95.8e6,1180ms
1529689742.733947205,224,22.64,0.101,1448,1500,536,1448,372,12990046,9164,1004,9162,98.4e6,20.105,1.25,2,190.3e6,127.4e6,95.8e6,1192ms
1529689742.745073985,224,22.758,0.277,1448,1500,536,1448,372,13120366,9254,1014,9252,98.4e6,20.105,1.25,2,189.4e6,127.4e6,96.1e6,1204ms
1529689742.756311608,224,22.674,0.123,1448,1500,536,1448,372,13250686,9344,1024,9342,98.4e6,20.105,1.25,2,190.1e6,127.4e6,95.7e6,1212ms
1529689742.767741902,224,22.782,0.289,1448,1500,536,1448,370,13395486,9434,1035,9432,97.9e6,20.105,1.25,2,188.1e6,126.8e6,95.5e6,1224ms
1529689742.779011112,224,22.695,0.164,1448,1500,536,1448,370,13525806,9534,1045,9532,97.9e6,20.105,1.25,2,188.9e6,126.8e6,95.9e6,1236ms
1529689742.790315368,224,22.689,0.154,1448,1500,536,1448,370,13656126,9624,1055,9622,97.9e6,20.105,1.25,2,188.9e6,126.8e6,95.8e6,1248ms
1529689742.801792151,224,22.677,0.155,1448,1500,536,1448,370,13800926,9724,1066,9722,97.9e6,20.105,1.25,2,189.0e6,126.8e6,93.9e6,1260ms
1529689742.812783240,224,22.656,0.152,1448,1500,536,1448,370,13931246,9814,1076,9812,97.9e6,20.105,1.25,2,189.2e6,126.8e6,93.8e6,1268ms
1529689742.823942409,224,22.649,0.145,1448,1500,536,1448,370,14061566,9904,1088,9902,97.9e6,20.105,1.25,2,189.2e6,126.8e6,93.9e6,1280ms
1529689742.835066102,224,22.657,0.174,1448,1500,536,1448,364,14191886,9994,1098,9992,96.1e6,20.105,1.25,2,186.1e6,124.5e6,94.1e6,1292ms
1529689742.846419571,224,22.666,0.124,1448,1500,536,1448,372,14336686,10084,1110,10082,98.2e6,20.105,1.25,2,190.1e6,127.2e6,95.7e6,1304ms
1529689742.857727936,224,22.65,0.146,1448,1500,536,1448,372,14467006,10179,1120,10177,98.2e6,20.105,1.25,2,190.3e6,127.2e6,95.6e6,1316ms
1529689742.868627875,224,22.68,0.206,1448,1500,536,1448,372,14597326,10269,1130,10267,98.2e6,20.105,1.25,2,190.0e6,127.2e6,95.7e6,1324ms
1529689742.879899660,224,22.686,0.122,1448,1500,536,1448,372,14727646,10369,1140,10367,98.2e6,20.105,1.25,2,190.0e6,127.2e6,95.2e6,1336ms
1529689742.891142216,224,22.647,0.124,1448,1500,536,1448,372,14865206,10459,1151,10457,98.2e6,20.105,1.25,2,190.3e6,127.2e6,93.1e6,1348ms
1529689742.902236548,224,22.638,0.149,1448,1500,536,1448,372,14995526,10549,1161,10547,98.2e6,20.105,1.25,2,190.4e6,127.2e6,93.1e6,1360ms
1529689742.913420388,224,22.641,0.1,1448,1500,536,1448,372,15140326,10649,1172,10647,98.2e6,20.105,1.25,2,190.3e6,127.2e6,95.6e6,1372ms
1529689742.924625089,224,22.636,0.093,1448,1500,536,1448,372,15270646,10739,1182,10737,98.2e6,20.105,1.25,2,190.4e6,127.2e6,95.7e6,1380ms
1529689742.935783246,224,22.661,0.123,1448,1500,536,1448,372,15400966,10829,1193,10827,98.2e6,20.105,1.25,2,190.2e6,127.2e6,95.2e6,1392ms
1529689742.946967276,224,22.627,0.117,1448,1500,536,1448,372,15531286,10919,1203,10917,98.2e6,20.105,1.25,2,190.4e6,127.2e6,95.9e6,1404ms
1529689742.958061306,224,22.684,0.119,1448,1500,536,1448,372,15676086,11009,1215,11007,98.5e6,20.105,1.25,2,190.0e6,127.5e6,98.5e6,1416ms
1529689742.969213115,224,22.683,0.152,1448,1500,536,1448,372,15806406,11099,1225,11097,98.5e6,20.105,1.25,2,190.0e6,127.5e6,95.8e6,1428ms
