ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1529941823.484311461,264,60.295,22.616,1448,1500,536,1448,11,38,3,2,1,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,60ms
1529941823.495013531,264,60.295,22.616,1448,1500,536,1448,11,38,3,2,1,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,60ms
1529941823.505588559,264,60.295,22.616,1448,1500,536,1448,11,38,3,2,1,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,60ms
1529941823.516342009,264,60.295,22.616,1448,1500,536,1448,11,38,3,2,1,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,60ms
1529941823.526914428,264,60.295,22.616,1448,1500,536,1448,11,38,3,2,1,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,60ms
1529941823.537801154,264,60.295,22.616,1448,1500,536,1448,11,38,3,2,1,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,60ms
1529941823.548406867,264,60.295,22.616,1448,1500,536,1448,11,38,7,2,5,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,64ms
1529941823.559659013,264,60.295,22.616,1448,1500,536,1448,11,38,11,2,9,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,76ms
1529941823.570836454,264,60.295,22.616,1448,1500,536,1448,11,38,14,2,12,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,88ms
1529941823.581603071,264,60.295,22.616,1448,1500,536,1448,11,38,14,2,12,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,96ms
1529941823.592569443,264,60.295,22.616,1448,1500,536,1448,11,38,14,2,12,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,108ms
1529941823.603414443,264,60.295,22.616,1448,1500,536,1448,11,38,14,2,12,191.9e3,60.278,2.88672,2.88672,2.1e6,5.7e6,192.2e3,120ms
1529941823.614319359,264,60.302,9.572,1448,1500,536,1448,17,8726,21,5,19,1.0e6,60.242,2.88672,2.88672,3.3e6,5.7e6,1.0e6,132ms
1529941823.625435528,264,60.31,4.051,1448,1500,536,1448,22,15966,25,8,23,1.6e6,60.242,2.88672,2.88672,4.2e6,5.7e6,1.6e6,140ms
1529941823.636221128,264,60.31,4.051,1448,1500,536,1448,22,15966,31,8,29,1.6e6,60.242,2.88672,2.88672,4.2e6,5.7e6,1.6e6,152ms
1529941823.646925871,264,60.31,4.051,1448,1500,536,1448,22,15966,35,8,33,1.6e6,60.242,2.88672,2.88672,4.2e6,5.7e6,1.6e6,164ms
1529941823.657727737,264,60.31,4.051,1448,1500,536,1448,22,15966,36,8,34,1.6e6,60.242,2.88672,2.88672,4.2e6,5.7e6,1.6e6,172ms
1529941823.668505755,264,60.308,2.289,1448,1500,536,1448,25,20310,40,10,38,2.2e6,60.242,2.88672,2.88672,4.8e6,6.7e6,2.2e6,184ms
1529941823.679465172,264,60.31,0.977,1448,1500,536,1448,31,28998,45,13,43,2.2e6,60.242,2.88672,2.88672,6.0e6,6.7e6,2.2e6,196ms
1529941823.690121462,264,60.318,0.563,1448,1500,536,1448,35,34790,51,15,49,2.4e6,60.242,2.88672,2.88672,6.7e6,7.2e6,2.4e6,208ms
1529941823.700795946,264,60.331,0.257,1448,1500,536,1448,41,43478,59,18,57,2.9e6,60.242,2.88672,2.88672,7.9e6,8.8e6,2.9e6,216ms
1529941823.711691285,264,60.336,0.154,1448,1500,536,1448,44,47822,67,20,65,3.1e6,60.242,2.88672,2.88672,8.4e6,9.2e6,3.1e6,228ms
1529941823.722830044,264,60.336,0.154,1448,1500,536,1448,44,47822,75,20,73,3.1e6,60.242,2.88672,2.88672,8.4e6,9.2e6,3.1e6,240ms
1529941823.733666804,264,60.332,0.097,1448,1500,536,1448,50,56510,87,23,85,4.4e6,60.225,2.88672,2.88672,9.6e6,13.2e6,4.3e6,248ms
1529941823.744407576,264,60.317,0.07,1448,1500,536,1448,55,63750,99,26,97,4.5e6,60.225,2.88672,2.88672,10.6e6,13.3e6,4.5e6,260ms
1529941823.755548428,264,60.31,0.044,1448,1500,536,1448,63,75334,111,30,109,4.7e6,60.199,2.88672,2.88672,12.1e6,14.2e6,4.7e6,272ms
1529941823.766275821,264,60.312,0.018,1448,1500,536,1448,71,86918,125,34,123,5.2e6,60.199,2.88672,2.88672,13.6e6,15.5e6,5.2e6,284ms
1529941823.776867057,264,60.305,0.022,1448,1500,536,1448,79,98502,139,38,137,5.9e6,60.199,2.88672,2.88672,15.2e6,17.7e6,5.9e6,292ms
1529941823.787713720,264,60.311,0.023,1448,1500,536,1448,87,110086,155,42,153,7.7e6,60.199,2.88672,2.88672,16.7e6,23.0e6,7.7e6,304ms
1529941823.798509138,264,60.286,0.029,1448,1500,536,1448,99,127462,177,48,175,8.9e6,60.199,2.88672,2.88672,19.0e6,26.5e6,8.9e6,316ms
1529941823.809728104,264,60.275,0.033,1448,1500,536,1448,111,144838,203,54,201,9.9e6,60.199,2.88672,2.88672,21.3e6,29.6e6,9.9e6,324ms
1529941823.820240815,264,60.248,0.03,1448,1500,536,1448,125,165110,231,61,229,11.1e6,60.161,2.88672,2.88672,24.0e6,33.3e6,11.1e6,336ms
1529941823.831331471,264,60.259,0.044,1448,1500,536,1448,139,185382,263,68,261,12.2e6,60.161,2.88672,2.88672,26.7e6,36.5e6,12.2e6,348ms
1529941823.841957584,264,60.273,0.033,1448,1500,536,1448,155,208550,297,76,295,13.7e6,60.161,2.88672,2.88672,29.8e6,41.1e6,13.7e6,360ms
1529941823.852644765,264,60.277,0.024,1448,1500,536,1448,173,234614,333,85,331,15.3e6,60.161,2.88672,2.88672,33.2e6,45.8e6,15.3e6,368ms
1529941823.863705927,264,60.257,0.021,1448,1500,536,1448,197,269366,377,97,375,17.5e6,60.147,2.88672,2.88672,37.9e6,52.5e6,17.5e6,380ms
1529941823.874585174,264,60.252,0.038,1448,1500,536,1448,225,309910,432,111,430,20.4e6,60.147,2.88672,2.88672,43.3e6,60.9e6,20.4e6,392ms
1529941823.885499995,264,60.254,0.025,1448,1500,536,1448,253,350454,489,125,487,23.3e6,60.147,2.88672,2.88672,48.6e6,69.6e6,23.3e6,400ms
1529941823.896002728,264,60.243,0.027,1448,1500,536,1448,283,393894,555,136,553,26.4e6,60.147,2.88672,2.88672,54.4e6,79.0e6,26.4e6,412ms
1529941823.907208169,264,60.233,0.031,1448,1500,536,1448,320,447470,629,149,627,30.4e6,60.14,2.88672,2.88672,61.5e6,91.0e6,30.4e6,424ms
1529941823.917784911,264,60.237,0.037,1448,1500,536,1448,360,505390,708,162,706,34.0e6,60.14,2.88672,2.88672,69.2e6,101.6e6,34.0e6,432ms
1529941823.928494644,264,60.243,0.049,1448,1500,536,1448,409,576342,801,175,799,38.4e6,60.14,2.88672,2.88672,78.6e6,114.8e6,38.4e6,444ms
1529941823.939247701,264,60.23,0.041,1448,1500,536,1448,460,650190,902,187,900,43.2e6,60.121,2.88672,2.88672,88.5e6,129.2e6,43.2e6,456ms
1529941823.949911968,264,60.255,0.064,1448,1500,536,1448,524,742862,999,200,997,49.5e6,60.121,2.88672,2.88672,100.7e6,148.0e6,49.5e6,468ms
1529941823.960472759,264,60.252,0.037,1448,1500,536,1448,592,841326,1083,212,1081,56.3e6,60.121,2.88672,2.88672,113.8e6,168.4e6,56.3e6,476ms
1529941823.971474228,264,60.247,0.042,1448,1500,536,1448,669,952822,1179,224,1177,64.0e6,60.121,2.88672,2.88672,128.6e6,191.3e6,64.0e6,488ms
1529941823.982624596,264,60.262,0.044,1448,1500,536,1448,753,1074454,1286,235,1284,72.2e6,60.121,2.88672,2.88672,144.7e6,215.9e6,72.2e6,500ms
1529941823.993564651,264,60.725,0.44,1448,1500,536,1448,846,1209118,1359,247,1357,79.5e6,60.121,2.88672,2.88672,161.4e6,237.6e6,79.5e6,508ms
1529941824.004359979,264,61.824,0.949,1448,1500,536,1448,928,1327854,1470,256,1468,85.1e6,60.121,2.88672,2.88672,173.9e6,254.5e6,85.1e6,520ms
1529941824.015361982,264,62.645,0.852,1448,1500,536,1448,1019,1459622,1561,264,1559,89.0e6,60.121,2.88672,2.88672,188.4e6,266.3e6,89.0e6,532ms
1529941824.026502369,264,63.256,0.467,1448,1500,536,1448,1111,1592838,1652,273,1650,93.2e6,60.121,2.88672,2.88672,203.5e6,278.6e6,93.2e6,544ms
1529941824.037356110,264,63.576,0.305,1448,1500,536,1448,1202,1724606,1742,281,1740,95.9e6,60.121,2.88672,2.88672,219.0e6,286.9e6,95.7e6,552ms
1529941824.048150508,268,64.227,0.728,1448,1500,536,1448,1294,1857822,1833,287,1831,97.3e6,60.121,2.88672,2.88672,233.4e6,291.1e6,97.3e6,564ms
1529941824.059192461,268,64.48,0.741,1448,1500,536,1448,1387,1992486,1923,293,1921,97.3e6,60.121,2.88672,2.88672,249.2e6,291.1e6,97.1e6,576ms
1529941824.070106930,268,64.451,0.802,1448,1500,536,1448,1478,2124254,2013,299,2011,97.4e6,60.121,2.88672,2.88672,265.6e6,291.3e6,97.3e6,588ms
1529941824.081138462,268,65.003,0.679,1448,1500,536,1448,1544,2254574,2103,305,2101,97.6e6,60.121,2.88672,2.88672,275.2e6,291.9e6,97.6e6,596ms
1529941824.092131743,268,65.513,0.388,1448,1500,536,1448,1554,2387790,2193,313,2191,98.3e6,60.121,2.88672,2.88672,274.8e6,294.1e6,98.3e6,608ms
1529941824.102995612,268,66.104,0.951,1448,1500,536,1448,1554,2518110,2283,319,2281,98.3e6,60.121,2.88672,2.88672,272.3e6,294.1e6,96.7e6,620ms
1529941824.113688024,268,66.713,1.105,1448,1500,536,1448,1554,2649878,2373,325,2371,98.3e6,60.121,2.88672,2.88672,269.8e6,294.1e6,96.5e6,628ms
1529941824.124353947,268,66.628,0.952,1448,1500,536,1448,1554,2778750,2463,333,2461,98.3e6,60.121,2.88672,2.88672,270.2e6,294.1e6,96.1e6,640ms
1529941824.135088984,268,67.004,0.901,1448,1500,536,1448,1554,2910518,2553,340,2551,98.3e6,60.121,2.88672,2.88672,268.7e6,294.1e6,96.1e6,652ms
1529941824.145683639,268,66.955,0.713,1448,1500,536,1448,1554,3040838,2643,346,2641,98.3e6,60.121,2.88672,2.88672,268.9e6,294.1e6,95.9e6,660ms
1529941824.156557249,268,66.8,0.742,1448,1500,536,1448,1554,3171158,2733,353,2731,98.3e6,60.121,2.88672,2.88672,269.5e6,294.1e6,95.7e6,672ms
1529941824.167442627,268,66.601,0.936,1448,1500,536,1448,1554,3301478,2823,362,2821,98.3e6,60.121,2.88672,2.88672,270.3e6,294.1e6,95.8e6,684ms
1529941824.178330847,268,66.522,0.992,1448,1500,536,1448,1554,3431798,2913,372,2911,98.3e6,60.121,2.88672,2.88672,270.6e6,294.1e6,95.8e6,696ms
1529941824.188918644,268,66.937,1.116,1448,1500,536,1448,1554,3562118,3003,380,3001,98.3e6,60.121,2.88672,2.88672,268.9e6,294.1e6,95.8e6,704ms
1529941824.199557221,268,66.781,0.852,1448,1500,536,1448,1554,3692438,3093,387,3091,98.3e6,60.121,2.88672,2.88672,269.6e6,294.1e6,95.9e6,716ms
1529941824.210374574,268,67.029,1.118,1448,1500,536,1448,1554,3801038,3183,393,3181,98.3e6,60.121,2.88672,2.88672,268.6e6,294.1e6,93.7e6,728ms
1529941824.221316090,268,66.79,0.78,1448,1500,536,1448,1554,3925566,3273,400,3271,98.3e6,60.121,2.88672,2.88672,269.5e6,294.1e6,92.9e6,736ms
1529941824.232126493,268,66.6,0.804,1448,1500,536,1448,1554,4055886,3363,408,3361,98.3e6,60.121,2.88672,2.88672,270.3e6,294.1e6,92.9e6,748ms
1529941824.242911013,268,66.54,0.944,1448,1500,536,1448,1046,4178966,3408,416,3406,98.3e6,60.121,1,2,182.1e6,101.9e6,92.8e6,760ms
1529941824.253572256,268,66.412,0.906,1448,1500,536,1448,1046,4309286,3498,424,3496,98.3e6,60.121,1,2,182.4e6,101.9e6,93.0e6,768ms
1529941824.264303602,268,66.631,0.861,1448,1500,536,1448,1046,4439606,3580,435,3578,98.3e6,60.121,1,2,181.9e6,101.9e6,92.8e6,780ms
1529941824.275114868,268,67.139,1.586,1448,1500,536,1448,1046,4569926,3670,444,3668,98.3e6,60.121,1,2,180.5e6,101.9e6,93.0e6,792ms
1529941824.285746750,268,66.737,0.982,1448,1500,536,1448,1046,4700246,3760,453,3758,98.3e6,60.121,1,2,181.6e6,101.9e6,92.8e6,800ms
1529941824.296226736,268,66.5,0.876,1448,1500,536,1448,1046,4830566,3850,461,3848,98.3e6,60.121,1,2,182.2e6,101.9e6,92.8e6,812ms
1529941824.307008470,268,64.481,1.246,1448,1500,536,1448,1046,4953646,3932,470,3930,98.3e6,60.121,1,2,187.9e6,101.9e6,85.8e6,824ms
1529941824.317517622,264,62.528,0.859,1448,1500,536,1448,1046,5083966,4022,482,4020,98.3e6,60.121,1,2,193.8e6,101.9e6,85.9e6,832ms
1529941824.328531844,264,62.181,0.205,1448,1500,536,1448,1046,5214286,4112,494,4110,98.3e6,60.121,1,2,194.9e6,101.9e6,86.0e6,844ms
1529941824.339234271,264,62.078,0.055,1448,1500,536,1448,1046,5333022,4202,505,4200,98.3e6,60.121,1,2,195.2e6,101.9e6,85.9e6,856ms
1529941824.349818905,264,62.107,0.071,1448,1500,536,1448,1046,5463342,4292,518,4290,98.3e6,60.121,1,2,195.1e6,101.9e6,85.9e6,868ms
1529941824.360746153,264,62.092,0.049,1448,1500,536,1448,1046,5593662,4382,530,4380,98.3e6,60.121,1,2,195.1e6,101.9e6,85.7e6,876ms
1529941824.371634316,264,62.05,0.022,1448,1500,536,1448,1046,5723982,4472,542,4470,98.3e6,60.121,1,2,195.3e6,101.9e6,95.6e6,888ms
1529941824.382313130,264,62.097,0.056,1448,1500,536,1448,1046,5854302,4562,554,4560,98.3e6,60.121,1,2,195.1e6,101.9e6,95.6e6,900ms
1529941824.393517091,264,62.101,0.043,1448,1500,536,1448,1046,5984622,4652,566,4650,98.3e6,60.121,1,2,195.1e6,101.9e6,95.7e6,908ms
1529941824.404324123,264,62.074,0.027,1448,1500,536,1448,1046,6114942,4742,578,4740,98.3e6,60.121,1,2,195.2e6,101.9e6,95.6e6,920ms
1529941824.415263784,264,62.078,0.034,1448,1500,536,1448,1046,6245262,4832,591,4830,98.3e6,60.121,1,2,195.2e6,101.9e6,95.6e6,932ms
1529941824.425819061,264,62.072,0.049,1448,1500,536,1448,1052,6375582,4924,604,4922,98.3e6,60.121,1.25,2,196.3e6,127.4e6,95.7e6,944ms
1529941824.436665705,264,62.099,0.065,1448,1500,536,1448,1052,6505902,5014,616,5012,98.3e6,60.121,1.25,2,196.2e6,127.4e6,95.7e6,952ms
1529941824.447449729,264,62.093,0.075,1448,1500,536,1448,1052,6636222,5104,628,5102,98.3e6,60.121,1.25,2,196.3e6,127.4e6,95.5e6,964ms
1529941824.458266430,264,62.1,0.063,1448,1500,536,1448,1052,6766542,5194,640,5192,98.3e6,60.121,1.25,2,196.2e6,127.4e6,95.8e6,976ms
1529941824.469099735,264,62.086,0.061,1448,1500,536,1448,1052,6885278,5284,651,5282,98.3e6,60.121,1.25,2,196.3e6,127.4e6,96.1e6,984ms
1529941824.480072049,264,62.086,0.048,1448,1500,536,1448,1052,7015598,5374,664,5372,98.3e6,60.121,1.25,2,196.3e6,127.4e6,96.0e6,996ms
