ts,rto,rtt,rttvar,s,pmtu,rcvs,advs,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530026207.310147447,204,2.104,1.268,1448,1500,536,1448,83,104294,147,11,144,266.9e6,0.217,2.88672,2.88672,457.0e6,4,24,4
1530026207.321419723,212,8.309,1.547,1448,1500,536,1448,80,249094,287,31,284,266.9e6,0.217,1,2,111.5e6,276.5e6,96.9e6,36
1530026207.332301753,216,15.417,1.796,1448,1500,536,1448,98,396790,324,73,321,266.9e6,0.217,1.25,2,73.6e6,345.6e6,95.3e6,44
1530026207.343537643,208,5.659,1.647,1448,1500,536,1448,98,511182,398,102,395,266.9e6,0.217,1.25,2,200.6e6,345.6e6,81.8e6,56
1530026207.354339759,208,6.457,1.018,1448,1500,536,1448,98,635710,488,123,485,266.9e6,0.217,1.25,2,175.8e6,345.6e6,109.8e6,68
1530026207.365490044,208,7.294,0.505,1448,1500,536,1448,98,766030,594,143,591,266.9e6,0.217,1.25,2,155.6e6,345.6e6,103.5e6,80
1530026207.376819197,208,7.155,0.436,1448,1500,536,1448,44,919518,684,164,681,120.5e6,0.217,1.25,2,71.2e6,156.1e6,68.4e6,88
1530026207.388233067,208,4.482,0.974,1448,1500,536,1448,48,1045494,757,180,754,132.0e6,0.217,1.25,2,124.1e6,171.0e6,92.7e6,100
1530026207.399251982,204,3.397,0.632,1448,1500,536,1448,48,1175814,847,188,844,132.0e6,0.217,1.25,2,163.7e6,171.0e6,129.6e6,112
1530026207.410037900,204,2.754,0.586,1448,1500,536,1448,48,1306134,937,198,934,132.0e6,0.217,1.25,2,201.9e6,171.0e6,129.5e6,124
1530026207.421049232,204,2.675,0.651,1448,1500,536,1448,48,1436454,1027,206,1024,132.0e6,0.217,1.25,2,207.9e6,171.0e6,91.1e6,132
1530026207.432126638,204,2.657,0.683,1448,1500,536,1448,48,1566774,1117,214,1114,129.6e6,0.217,1.25,2,209.3e6,167.9e6,128.7e6,144
1530026207.443303501,204,2.64,0.698,1448,1500,536,1448,48,1697094,1207,222,1204,129.5e6,0.217,1.25,2,210.6e6,167.7e6,91.2e6,156
1530026207.454195881,204,2.73,0.634,1448,1500,536,1448,48,1827414,1297,229,1294,128.7e6,0.217,1.25,2,203.7e6,166.7e6,94.7e6,168
1530026207.465027242,204,2.606,0.68,1448,1500,536,1448,48,1957734,1387,238,1384,128.7e6,0.217,1.25,2,213.4e6,166.7e6,90.4e6,176
1530026207.476399056,204,2.543,0.679,1448,1500,536,1448,48,2092398,1477,247,1474,130.0e6,0.217,1.25,2,218.7e6,168.4e6,46.3e6,188
1530026207.487585914,204,2.463,0.682,1448,1500,536,1448,48,2242990,1581,256,1578,130.0e6,0.217,1.25,2,225.8e6,168.4e6,80.5e6,200
1530026207.498761355,204,2.458,0.675,1448,1500,536,1448,48,2373310,1671,264,1668,130.9e6,0.217,1.25,2,226.2e6,169.5e6,56.1e6,212
1530026207.509997624,204,2.469,0.676,1448,1500,536,1448,48,2503630,1761,272,1758,130.9e6,0.217,1.25,2,225.2e6,169.5e6,79.9e6,224
1530026207.521010034,204,2.48,0.683,1448,1500,536,1448,48,2633950,1851,280,1848,130.9e6,0.217,1.25,2,224.2e6,169.5e6,79.9e6,232
1530026207.532355367,204,2.493,0.678,1448,1500,536,1448,48,2764270,1941,288,1938,130.9e6,0.217,1.25,2,223.0e6,169.5e6,80.0e6,244
1530026207.543667035,204,2.503,0.653,1448,1500,536,1448,48,2894590,2031,296,2028,129.4e6,0.217,1.25,2,222.1e6,167.6e6,80.4e6,256
1530026207.554936325,204,2.53,0.554,1448,1500,536,1448,48,3045182,2121,305,2118,130.3e6,0.217,1.25,2,219.8e6,168.7e6,80.0e6,268
1530026207.565877747,204,2.529,0.539,1448,1500,536,1448,48,3175502,2211,313,2208,131.7e6,0.217,1.25,2,219.9e6,170.5e6,79.4e6,280
1530026207.577105436,204,2.444,0.59,1448,1500,536,1448,48,3305822,2301,322,2298,131.7e6,0.217,1.25,2,227.5e6,170.5e6,79.6e6,288
1530026207.588176759,204,2.469,0.576,1448,1500,536,1448,48,3436142,2391,330,2388,131.7e6,0.217,1.25,2,225.2e6,170.5e6,80.2e6,300
