ts,backlog_in_bytes, backlog_in_packets
1530072761.688740702,0,0
1530072761.701547058,0,0
1530072761.714065689,0,0
1530072761.726859523,0,0
1530072761.739438757,0,0
1530072761.751823736,0,0
1530072761.764167187,0,0
1530072761.776486554,0,0
1530072761.788853329,0,0
1530072761.801389609,0,0
1530072761.813814370,0,0
1530072761.826261051,0,0
1530072761.838669010,0,0
1530072761.851445925,0,0
1530072761.863910495,0,0
1530072761.876356843,0,0
1530072761.888936128,0,0
1530072761.901541655,0,0
1530072761.913951848,0,0
1530072761.926426742,0,0
1530072761.938893718,0,0
1530072761.951432356,0,0
1530072761.964003507,0,0
1530072761.976506509,0,0
1530072761.988940550,0,0
1530072762.001265640,0,0
1530072762.013740410,0,0
1530072762.026244290,0,0
1530072762.038740631,0,0
1530072762.051411000,0,0
1530072762.063982918,0,0
1530072762.076362413,0,0
1530072762.088713479,0,0
1530072762.101212249,0,0
1530072762.113722616,0,0
1530072762.126404158,0,0
1530072762.139073670,0,0
1530072762.151822693,0,0
1530072762.164520265,0,0
1530072762.177072184,0,0
1530072762.189649743,0,0
1530072762.202174211,0,0
1530072762.214792123,0,0
1530072762.227475792,0,0
1530072762.240207924,0,0
1530072762.252682593,0,0
1530072762.265155809,0,0
1530072762.277622941,0,0
1530072762.290289778,0,0
1530072762.303070464,0,0
1530072762.315702791,0,0
1530072762.328303786,0,0
1530072762.340916089,0,0
1530072762.353721320,0,0
1530072762.366401188,0,0
1530072762.378983623,0,0
1530072762.391824303,0,0
1530072762.404498522,0,0
1530072762.417022671,0,0
1530072762.429510138,0,0
1530072762.442142125,0,0
1530072762.454965028,0,0
1530072762.467672711,0,0
1530072762.480286032,0,0
1530072762.493042355,0,0
1530072762.505536496,0,0
1530072762.517976181,0,0
1530072762.530559962,0,0
1530072762.543247889,0,0
1530072762.555971882,0,0
1530072762.568534794,0,0
1530072762.581157594,0,0
1530072762.593680837,0,0
1530072762.606381435,0,0
1530072762.619069075,0,0
1530072762.631742028,0,0
1530072762.644250199,0,0
1530072762.656837470,0,0
1530072762.669305202,0,0
1530072762.682014322,0,0
1530072762.694786243,0,0
1530072762.707291114,0,0
1530072762.720044841,0,0
1530072762.732724255,0,0
1530072762.745431378,0,0
1530072762.757974297,0,0
1530072762.770656373,0,0
1530072762.783428958,0,0
1530072762.796064785,0,0
1530072762.808639674,0,0
1530072762.821342729,0,0
1530072762.833882938,0,0
1530072762.846293441,0,0
1530072762.859038744,0,0
1530072762.871755374,0,0
1530072762.884391429,0,0
1530072762.896991835,0,0
1530072762.909608940,0,0
1530072762.922359428,0,0
1530072762.934925757,0,0
1530072762.947726992,0,0
1530072762.960245894,0,0
1530072762.972707324,0,0
1530072762.985369466,0,0
1530072762.997805671,0,0
1530072763.010353364,0,0
1530072763.023038855,0,0
1530072763.035819575,0,0
1530072763.048516206,0,0
1530072763.061135281,0,0
1530072763.073634918,0,0
1530072763.086279404,0,0
1530072763.098929005,0,0
1530072763.111760120,0,0
1530072763.124224549,0,0
1530072763.136640215,0,0
1530072763.149388859,0,0
1530072763.161836519,0,0
1530072763.174228869,0,0
1530072763.186606809,0,0
1530072763.198984789,0,0
1530072763.211521788,0,0
1530072763.224112051,0,0
1530072763.236515083,0,0
1530072763.248844910,0,0
1530072763.261222631,0,0
1530072763.273774625,0,0
1530072763.286302368,0,0
1530072763.298735081,0,0
1530072763.311278403,0,0
1530072763.323868593,0,0
1530072763.336138789,0,0
1530072763.348491864,0,0
1530072763.360853303,0,0
1530072763.373202729,0,0
1530072763.385479203,0,0
1530072763.397904393,0,0
1530072763.410578347,0,0
1530072763.423161626,0,0
1530072763.435537460,0,0
1530072763.447887988,0,0
1530072763.460242117,0,0
1530072763.472856772,0,0
1530072763.485134172,0,0
1530072763.497410754,0,0
1530072763.509776655,0,0
1530072763.522318889,0,0
1530072763.534627873,0,0
1530072763.547056425,0,0
1530072763.559389829,0,0
1530072763.571796350,0,0
1530072763.584177534,0,0
1530072763.596660004,0,0
1530072763.608986653,0,0
1530072763.621247849,0,0
1530072763.633443782,0,0
1530072763.645645090,0,0
1530072763.657807310,0,0
1530072763.670168042,0,0
1530072763.682604830,0,0
1530072763.694911586,0,0
1530072763.707196251,0,0
1530072763.719533709,0,0
1530072763.732043580,0,0
1530072763.744366650,0,0
1530072763.756765847,0,0
1530072763.769482055,0,0
1530072763.782021643,0,0
