ts,backlog in bytes, backlog in packets
1530074042.415547516,0b,0p
1530074042.428112453,0b,0p
1530074042.440690458,0b,0p
1530074042.453226441,0b,0p
1530074042.465805461,0b,0p
1530074042.478449865,0b,0p
1530074042.491106731,0b,0p
1530074042.503802629,0b,0p
1530074042.516175567,0b,0p
1530074042.528671331,0b,0p
1530074042.541236442,0b,0p
1530074042.553750725,0b,0p
1530074042.566257719,0b,0p
1530074042.578930280,0b,0p
1530074042.591600378,0b,0p
1530074042.604227891,0b,0p
1530074042.616895472,0b,0p
1530074042.629491567,0b,0p
1530074042.641895099,0b,0p
1530074042.654574286,0b,0p
1530074042.667313252,0b,0p
1530074042.679847213,0b,0p
1530074042.692471553,0b,0p
1530074042.704878526,0b,0p
1530074042.717353186,0b,0p
1530074042.729847032,0b,0p
1530074042.742470748,0b,0p
1530074042.755036315,0b,0p
1530074042.767763712,0b,0p
1530074042.780113071,0b,0p
1530074042.792715616,0b,0p
1530074042.805297698,0b,0p
1530074042.817842190,0b,0p
1530074042.830425906,0b,0p
1530074042.843013236,0b,0p
1530074042.855541957,0b,0p
1530074042.868059605,0b,0p
1530074042.880496355,0b,0p
1530074042.892997972,0b,0p
1530074042.905509389,0b,0p
1530074042.917972080,0b,0p
1530074042.930643175,0b,0p
1530074042.943246268,0b,0p
1530074042.955973953,0b,0p
1530074042.968564811,0b,0p
1530074042.981011774,0b,0p
1530074042.993654902,0b,0p
1530074043.006221554,0b,0p
1530074043.018954285,0b,0p
1530074043.031627738,0b,0p
1530074043.044071721,0b,0p
1530074043.056547985,0b,0p
1530074043.068989789,0b,0p
1530074043.081540414,0b,0p
1530074043.094205490,0b,0p
1530074043.106929193,0b,0p
1530074043.119698195,0b,0p
1530074043.132173586,0b,0p
1530074043.144749331,0b,0p
1530074043.157573175,0b,0p
1530074043.170081835,0b,0p
1530074043.182902904,0b,0p
1530074043.195546020,0b,0p
1530074043.208083686,0b,0p
1530074043.220626768,0b,0p
1530074043.233064537,0b,0p
1530074043.245484586,0b,0p
1530074043.258052120,0b,0p
1530074043.270563535,0b,0p
1530074043.283314456,0b,0p
1530074043.296035940,0b,0p
1530074043.308603100,0b,0p
1530074043.321193907,0b,0p
1530074043.333753265,0b,0p
1530074043.346343953,0b,0p
1530074043.358900574,0b,0p
1530074043.371606866,0b,0p
1530074043.384317103,0b,0p
1530074043.396954923,0b,0p
1530074043.409373776,0b,0p
1530074043.421775788,0b,0p
1530074043.434308829,0b,0p
1530074043.446756030,0b,0p
1530074043.459190076,0b,0p
1530074043.471851472,0b,0p
1530074043.484354460,0b,0p
1530074043.496977749,0b,0p
1530074043.509407417,0b,0p
1530074043.521921576,0b,0p
1530074043.534633462,0b,0p
1530074043.547220078,0b,0p
1530074043.559839239,0b,0p
1530074043.572340291,0b,0p
1530074043.584799473,0b,0p
1530074043.597254159,0b,0p
1530074043.609960439,0b,0p
1530074043.622537182,0b,0p
1530074043.635268757,0b,0p
1530074043.647878790,0b,0p
1530074043.660569361,0b,0p
1530074043.673008676,0b,0p
1530074043.685665145,0b,0p
1530074043.698307000,0b,0p
1530074043.710829132,0b,0p
1530074043.723298730,0b,0p
1530074043.735861658,0b,0p
1530074043.748432523,0b,0p
1530074043.761103712,0b,0p
1530074043.773480380,0b,0p
1530074043.785979759,0b,0p
1530074043.798625789,0b,0p
1530074043.811281386,0b,0p
1530074043.823984437,0b,0p
1530074043.836361138,0b,0p
1530074043.848915997,0b,0p
1530074043.861531188,0b,0p
1530074043.874077707,0b,0p
1530074043.886830558,0b,0p
1530074043.899647026,0b,0p
1530074043.912155979,0b,0p
1530074043.924715057,0b,0p
1530074043.937251447,0b,0p
1530074043.949645860,0b,0p
1530074043.962244903,0b,0p
1530074043.974903745,0b,0p
1530074043.987539477,0b,0p
1530074044.000008155,0b,0p
1530074044.012681459,0b,0p
1530074044.025220113,0b,0p
1530074044.037670365,0b,0p
1530074044.050069222,0b,0p
1530074044.062759789,0b,0p
1530074044.075421560,0b,0p
1530074044.088001528,0b,0p
1530074044.100439658,0b,0p
1530074044.112824705,0b,0p
1530074044.125445769,0b,0p
1530074044.137847466,0b,0p
1530074044.150544031,0b,0p
1530074044.163033467,0b,0p
1530074044.175739342,0b,0p
1530074044.188251134,0b,0p
1530074044.200866629,0b,0p
1530074044.213380159,0b,0p
1530074044.225895364,0b,0p
1530074044.238320844,0b,0p
1530074044.250988695,0b,0p
1530074044.263594134,0b,0p
1530074044.276108597,0b,0p
1530074044.288812886,0b,0p
1530074044.301198278,0b,0p
1530074044.313861956,0b,0p
1530074044.326376616,0b,0p
1530074044.339057779,0b,0p
1530074044.351741265,0b,0p
1530074044.364127802,0b,0p
1530074044.376731141,0b,0p
1530074044.389174918,0b,0p
1530074044.401726286,0b,0p
1530074044.414255621,0b,0p
1530074044.426957046,0b,0p
1530074044.439574715,0b,0p
1530074044.452255504,0b,0p
1530074044.464707857,0b,0p
1530074044.477117065,0b,0p
1530074044.489569969,0b,0p
1530074044.502138338,0b,0p
1530074044.514951154,0b,0p
1530074044.527692413,0b,0p
1530074044.540107825,0b,0p
1530074044.552714090,0b,0p
1530074044.565156989,0b,0p
1530074044.577568038,0b,0p
1530074044.590078842,0b,0p
1530074044.602826282,0b,0p
1530074044.615504087,0b,0p
1530074044.628280558,0b,0p
1530074044.640933196,0b,0p
1530074044.653374838,0b,0p
1530074044.665990676,0b,0p
1530074044.678631964,0b,0p
1530074044.691325384,0b,0p
1530074044.704044427,0b,0p
1530074044.716657028,0b,0p
1530074044.729029537,0b,0p
1530074044.741463253,0b,0p
1530074044.754162849,0b,0p
1530074044.766813148,0b,0p
1530074044.779296628,0b,0p
1530074044.791942037,0b,0p
1530074044.804420593,0b,0p
1530074044.817021469,0b,0p
1530074044.829457113,0b,0p
1530074044.841999739,0b,0p
1530074044.854559702,0b,0p
1530074044.867106417,0b,0p
1530074044.879738220,0b,0p
1530074044.892120483,0b,0p
1530074044.904698470,0b,0p
1530074044.917161299,0b,0p
1530074044.929687227,0b,0p
1530074044.942224992,0b,0p
1530074044.954722871,0b,0p
1530074044.967461482,0b,0p
1530074044.980053958,0b,0p
1530074044.992473504,0b,0p
1530074045.004913300,0b,0p
1530074045.017387253,0b,0p
1530074045.029817960,0b,0p
1530074045.042481346,0b,0p
1530074045.054984759,0b,0p
1530074045.067563191,0b,0p
1530074045.080136406,0b,0p
1530074045.092585636,0b,0p
1530074045.105246511,0b,0p
1530074045.117733836,0b,0p
1530074045.130236609,0b,0p
1530074045.142874235,0b,0p
1530074045.155588449,0b,0p
1530074045.168201445,0b,0p
1530074045.180676402,0b,0p
1530074045.193258024,0b,0p
1530074045.205721184,0b,0p
1530074045.218259866,0b,0p
1530074045.231003377,0b,0p
1530074045.243753113,0b,0p
1530074045.256242013,0b,0p
1530074045.268930687,0b,0p
1530074045.281405260,0b,0p
1530074045.293877205,0b,0p
1530074045.306374521,0b,0p
1530074045.318868452,0b,0p
1530074045.331475775,0b,0p
1530074045.343984598,0b,0p
1530074045.356370704,0b,0p
1530074045.368812340,0b,0p
1530074045.381274246,0b,0p
1530074045.393887466,0b,0p
1530074045.406508400,0b,0p
1530074045.419198650,0b,0p
1530074045.431989370,0b,0p
1530074045.444409591,0b,0p
1530074045.456915540,0b,0p
1530074045.469293737,0b,0p
1530074045.481802153,0b,0p
1530074045.494480410,0b,0p
1530074045.507111047,0b,0p
1530074045.519729391,0b,0p
1530074045.532189403,0b,0p
1530074045.544682972,0b,0p
1530074045.557106436,0b,0p
1530074045.569550968,0b,0p
1530074045.582101747,0b,0p
1530074045.594735660,0b,0p
1530074045.607257452,0b,0p
1530074045.619882417,0b,0p
1530074045.632402054,0b,0p
1530074045.644770892,0b,0p
1530074045.657458018,0b,0p
1530074045.670131448,0b,0p
1530074045.682627108,0b,0p
1530074045.695325778,0b,0p
1530074045.708016909,0b,0p
