ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530074041.470962186,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.481609618,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.492446060,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.503160402,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.513870054,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.524353144,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.535165675,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.545751818,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.556141384,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.566876458,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.577638061,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.587958166,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.598938904,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.609631461,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.620270934,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.630935725,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
1530074041.641494009,204,0.177,0.104,1448,1500,536,1448,11,38,4,2,2,55.2e3,0,2.88672,2.88672,719.9e6,1706.4e6,55.6e3,212ms
