ts,in_queue.size, in_queue.number
1530550643.381078612,330,5
1530550643.393621200,330,5
1530550643.406355262,330,5
1530550643.418716598,264,4
1530550643.431095562,264,4
1530550643.443791461,264,4
1530550643.456526906,330,5
1530550643.469096287,264,4
1530550643.481473864,330,5
1530550643.494168900,330,5
1530550643.506739632,396,6
1530550643.519362798,330,5
1530550643.531935299,264,4
1530550643.544471384,264,4
1530550643.557131665,264,4
1530550643.569569380,330,5
1530550643.582253557,264,4
1530550643.594906081,264,4
1530550643.607555655,330,5
1530550643.620127554,330,5
1530550643.632554046,264,4
1530550643.645186883,330,5
1530550643.657829249,330,5
1530550643.670445107,396,6
1530550643.683221281,330,5
1530550643.695732506,264,4
1530550643.708195330,396,6
1530550643.720808246,330,5
1530550643.733315430,330,5
1530550643.745806267,264,4
1530550643.758465830,264,4
1530550643.771145783,330,5
1530550643.783761712,396,6
1530550643.796195708,330,5
1530550643.808677140,264,4
1530550643.821117936,264,4
1530550643.833636528,330,5
1530550643.846334101,330,5
1530550643.859131311,264,4
1530550643.871691784,330,5
1530550643.884321292,330,5
1530550643.896897307,330,5
1530550643.909308286,330,5
1530550643.921958820,264,4
1530550643.934534287,396,6
1530550643.947205119,330,5
1530550643.959684419,264,4
1530550643.972186298,330,5
1530550643.984798005,330,5
1530550643.997443570,330,5
1530550644.009923010,330,5
1530550644.022531555,264,4
1530550644.035349304,330,5
1530550644.047794426,330,5
1530550644.060483789,330,5
1530550644.073003940,264,4
1530550644.085443600,396,6
1530550644.097902857,330,5
1530550644.110489251,330,5
1530550644.123179492,264,4
1530550644.135674101,264,4
1530550644.148371532,330,5
1530550644.160750208,330,5
1530550644.173186270,396,6
1530550644.185864563,396,6
1530550644.198443515,264,4
1530550644.211157271,264,4
1530550644.223721926,330,5
1530550644.236188556,330,5
1530550644.248597765,264,4
1530550644.261053928,330,5
1530550644.273490049,264,4
1530550644.285918913,330,5
1530550644.298738395,330,5
1530550644.311284408,330,5
1530550644.323787245,264,4
1530550644.336237212,264,4
1530550644.348877474,330,5
1530550644.361341539,330,5
1530550644.374064043,264,4
1530550644.386747527,264,4
1530550644.399435751,330,5
1530550644.411990953,264,4
1530550644.424554210,330,5
1530550644.437132365,264,4
1530550644.449749412,330,5
1530550644.462504008,330,5
1530550644.474967985,330,5
1530550644.487689034,330,5
1530550644.500063350,264,4
1530550644.512673212,330,5
1530550644.525053854,330,5
1530550644.537744840,330,5
1530550644.550311142,330,5
1530550644.562985021,396,6
1530550644.575523694,264,4
1530550644.588075321,264,4
1530550644.600578487,264,4
1530550644.613004882,330,5
1530550644.625461202,330,5
1530550644.637959850,330,5
1530550644.650510328,264,4
1530550644.663113069,396,6
1530550644.675557458,264,4
1530550644.688117917,396,6
1530550644.700564207,330,5
1530550644.712960066,330,5
1530550644.725407633,330,5
1530550644.737824630,264,4
1530550644.750595418,264,4
1530550644.763209678,330,5
1530550644.775635725,330,5
1530550644.788008849,264,4
1530550644.800502514,330,5
1530550644.812894979,264,4
1530550644.825504703,330,5
1530550644.838052940,396,6
1530550644.850762082,330,5
1530550644.863520835,396,6
1530550644.875885358,264,4
1530550644.888423807,330,5
1530550644.900970288,396,6
1530550644.913516236,264,4
1530550644.926079119,264,4
1530550644.938750486,330,5
1530550644.951438715,264,4
1530550644.963889355,330,5
1530550644.976423854,264,4
1530550644.988890100,330,5
1530550645.001401294,264,4
1530550645.013904852,330,5
1530550645.026433346,330,5
1530550645.039144744,330,5
1530550645.051597757,264,4
1530550645.064002587,330,5
1530550645.076521465,330,5
1530550645.089037567,330,5
1530550645.101669808,264,4
1530550645.114310000,330,5
1530550645.126975034,330,5
1530550645.139661470,330,5
1530550645.152118482,462,7
1530550645.164586695,198,3
1530550645.177093982,264,4
1530550645.189635297,264,4
1530550645.202343296,396,6
1530550645.214998751,264,4
1530550645.227731193,330,5
1530550645.240333126,264,4
1530550645.252871538,330,5
1530550645.265342017,264,4
1530550645.277863681,330,5
1530550645.290569567,330,5
1530550645.303374326,264,4
1530550645.315975298,330,5
1530550645.328595689,330,5
1530550645.341135290,396,6
1530550645.353854243,330,5
1530550645.366396043,264,4
1530550645.378928457,330,5
1530550645.391503191,330,5
1530550645.404087465,264,4
1530550645.416678725,264,4
1530550645.429280530,330,5
1530550645.441712862,396,6
1530550645.454290732,462,7
1530550645.466744576,396,6
1530550645.479284962,264,4
1530550645.491747471,264,4
1530550645.504382696,396,6
1530550645.516919252,330,5
1530550645.529313390,330,5
1530550645.541887402,396,6
1530550645.554534653,330,5
1530550645.567231477,264,4
1530550645.579787511,330,5
1530550645.592170844,396,6
1530550645.604688933,330,5
1530550645.617368809,264,4
1530550645.629802772,330,5
1530550645.642453391,264,4
1530550645.654983239,330,5
1530550645.667651759,264,4
1530550645.680046296,330,5
1530550645.692496637,330,5
1530550645.704966149,330,5
1530550645.717597762,264,4
1530550645.730079654,330,5
1530550645.742759328,330,5
1530550645.755244781,330,5
1530550645.767729850,330,5
1530550645.780184674,264,4
1530550645.792731186,264,4
1530550645.805238786,372,6
1530550645.817637197,396,6
1530550645.830157518,330,5
1530550645.842824297,330,5
1530550645.855495484,330,5
1530550645.868010878,264,4
1530550645.880595669,330,5
1530550645.892969482,330,5
1530550645.905532300,330,5
1530550645.918042804,264,4
1530550645.930742264,330,5
1530550645.943472418,264,4
1530550645.955882686,330,5
1530550645.968441697,264,4
1530550645.980983182,330,5
1530550645.993374449,264,4
1530550646.005979475,330,5
1530550646.018612545,264,4
1530550646.031188849,330,5
1530550646.043710007,264,4
1530550646.056172549,330,5
1530550646.068565987,330,5
1530550646.080966983,330,5
1530550646.093452047,396,6
1530550646.105912572,264,4
1530550646.118577604,264,4
1530550646.131066962,330,5
1530550646.143506050,330,5
1530550646.155885916,330,5
1530550646.168486005,330,5
1530550646.180893060,330,5
1530550646.193412018,330,5
1530550646.205838274,330,5
1530550646.218259043,330,5
1530550646.230729243,330,5
1530550646.243429540,264,4
1530550646.255894489,330,5
1530550646.268422753,264,4
1530550646.280822752,462,7
1530550646.293458343,330,5
1530550646.306018883,330,5
1530550646.318605904,264,4
1530550646.331064242,264,4
1530550646.343632596,330,5
1530550646.356172363,330,5
1530550646.368848689,264,4
1530550646.381257385,264,4
1530550646.393789953,264,4
1530550646.406532746,330,5
1530550646.419191080,330,5
1530550646.431720423,264,4
1530550646.444081464,264,4
1530550646.456501181,264,4
1530550646.469016870,330,5
1530550646.481609805,330,5
1530550646.494240929,264,4
1530550646.506957757,264,4
1530550646.519459319,330,5
1530550646.531973161,330,5
1530550646.544537798,330,5
1530550646.557130304,330,5
1530550646.569583401,330,5
1530550646.582090002,264,4
1530550646.594712483,330,5
1530550646.607408926,264,4
1530550646.619991815,264,4
1530550646.632489719,264,4
1530550646.644985372,330,5
1530550646.657543530,264,4
1530550646.670037523,330,5
1530550646.682628405,264,4
1530550646.695115236,330,5
1530550646.707795871,330,5
1530550646.720222198,330,5
1530550646.732814517,264,4
1530550646.745285502,264,4
1530550646.757942837,330,5
1530550646.770586179,330,5
1530550646.783232667,264,4
1530550646.795761192,264,4
1530550646.808146782,396,6
1530550646.820597405,330,5
1530550646.833042628,396,6
1530550646.845620565,330,5
1530550646.858146906,264,4
1530550646.870669996,264,4
1530550646.883100856,264,4
1530550646.895626847,462,7
1530550646.908001654,330,5
1530550646.920639995,330,5
1530550646.933223469,264,4
1530550646.945892821,330,5
1530550646.958675923,330,5
1530550646.971224705,264,4
1530550646.983707180,330,5
1530550646.996390290,264,4
1530550647.009033521,330,5
1530550647.021429071,264,4
1530550647.034108799,264,4
1530550647.046703483,330,5
1530550647.059327501,330,5
1530550647.071859703,264,4
1530550647.084691688,312,4
1530550647.111657615,66,1
1530550647.124329666,726,11
1530550647.137022482,528,8
1530550647.149513407,726,11
1530550647.162097399,594,9
1530550647.174775353,594,9
1530550647.187438642,792,12
1530550647.200024580,462,7
1530550647.212585636,726,11
1530550647.225116319,594,9
1530550647.237710445,726,11
1530550647.250311940,726,11
1530550647.262949394,462,7
1530550647.275668213,594,9
1530550647.288080191,462,7
1530550647.300796020,660,10
1530550647.313426770,726,11
1530550647.326157423,462,7
1530550647.338826569,726,11
1530550647.351514841,660,10
1530550647.363903813,528,8
1530550647.376493191,726,11
1530550647.388962703,396,6
1530550647.401610051,594,9
1530550647.414278231,660,10
1530550647.426946339,462,7
1530550647.439612517,726,11
1530550647.452016761,462,7
1530550647.464629846,462,7
1530550647.477118881,726,11
1530550647.489622628,462,7
1530550647.502151400,660,10
1530550647.514801820,528,8
1530550647.527392017,396,6
1530550647.539832419,726,11
1530550647.552477160,462,7
1530550647.565035151,792,12
1530550647.577542449,594,9
1530550647.590052195,396,6
1530550647.602706582,792,12
1530550647.615378784,528,8
1530550647.627906197,660,10
1530550647.640412933,462,7
1530550647.652907631,396,6
1530550647.665510817,726,11
1530550647.678173663,462,7
1530550647.690879754,660,10
1530550647.703373927,660,10
1530550647.715732945,330,5
1530550647.728114531,858,13
1530550647.740445381,330,5
1530550647.752821277,726,11
1530550647.765452939,726,11
1530550647.777974128,396,6
1530550647.790552973,726,11
1530550647.803044858,396,6
1530550647.815564963,594,9
1530550647.827885493,660,10
1530550647.840329138,396,6
1530550647.852665149,792,12
1530550647.865113671,462,7
1530550647.877560540,726,11
1530550647.890050239,594,9
1530550647.902659463,462,7
1530550647.915248618,792,12
1530550647.927984200,330,5
1530550647.940571831,792,12
1530550647.953069486,528,8
1530550647.965634820,462,7
1530550647.978320942,726,11
1530550647.990771714,462,7
1530550648.003248301,792,12
1530550648.015685906,462,7
1530550648.028177055,462,7
1530550648.040728475,792,12
1530550648.053140281,462,7
1530550648.065555413,726,11
1530550648.078222478,528,8
1530550648.090710819,528,8
1530550648.103304894,792,12
1530550648.115814048,462,7
1530550648.128500307,726,11
1530550648.140979541,462,7
1530550648.153576564,396,6
1530550648.166206450,660,10
1530550648.178841935,462,7
1530550648.191574388,660,10
1530550648.204071480,462,7
1530550648.216595313,660,10
1530550648.229088508,792,12
1530550648.241571332,594,9
1530550648.254115730,792,12
1530550648.266640698,528,8
1530550648.279282873,594,9
1530550648.291930698,792,12
1530550648.304453648,528,8
1530550648.317003425,858,13
1530550648.329684249,462,7
1530550648.342438651,528,8
1530550648.354927081,792,12
1530550648.367396721,396,6
1530550648.379899801,792,12
1530550648.415291562,594,9
1530550648.427819926,528,8
1530550648.440390317,660,10
1530550648.452972292,528,8
1530550648.465399532,726,11
1530550648.477822430,594,9
1530550648.490558411,462,7
1530550648.503219774,726,11
1530550648.515894437,462,7
1530550648.528443369,660,10
1530550648.540875808,660,10
1530550648.553355423,462,7
1530550648.565820030,594,9
1530550648.578461594,462,7
1530550648.591111356,594,9
1530550648.603729513,660,10
1530550648.616202814,462,7
1530550648.628914222,660,10
1530550648.641486023,330,5
1530550648.654221866,660,10
1530550648.666929143,528,8
1530550648.679786833,660,10
1530550648.692197142,792,12
1530550648.704748599,528,8
1530550648.717191082,660,10
1530550648.729871878,660,10
1530550648.742496932,660,10
1530550648.755123328,792,12
1530550648.767721288,528,8
1530550648.780231120,660,10
1530550648.792755227,594,9
1530550648.805356768,528,8
1530550648.817869308,858,13
1530550648.830625307,528,8
1530550648.843411844,594,9
1530550648.855870531,660,10
1530550648.868490469,594,9
1530550648.881070373,660,10
1530550648.893547937,462,7
1530550648.906089205,726,11
1530550648.918757648,594,9
1530550648.931471770,660,10
1530550648.943853118,660,10
1530550648.956570295,528,8
1530550648.968978799,660,10
1530550648.981607623,660,10
1530550648.994120726,594,9
1530550649.006825398,726,11
1530550649.019400278,594,9
1530550649.031890444,528,8
1530550649.044306840,660,10
1530550649.056754320,462,7
1530550649.069179154,726,11
1530550649.081838862,594,9
1530550649.094401070,396,6
1530550649.107205490,594,9
1530550649.119858399,462,7
1530550649.132340360,660,10
1530550649.144921458,528,8
1530550649.157398347,462,7
1530550649.169945762,594,9
1530550649.182480939,462,7
1530550649.194958321,528,8
1530550649.207739848,528,8
1530550649.220394293,462,7
1530550649.232992569,528,8
1530550649.245439931,462,7
1530550649.258030569,528,8
1530550649.270705723,528,8
1530550649.283501121,528,8
1530550649.296247375,594,9
1530550649.308807051,594,9
1530550649.321320998,462,7
1530550649.334021593,528,8
1530550649.346677136,330,5
1530550649.359255700,528,8
1530550649.371747687,396,6
1530550649.384323123,528,8
1530550649.396892958,396,6
1530550649.409561192,462,7
1530550649.422068378,528,8
1530550649.434672515,330,5
1530550649.447155872,462,7
1530550649.459736012,396,6
1530550649.472253431,462,7
1530550649.484883557,462,7
1530550649.497538641,330,5
1530550649.510212405,462,7
1530550649.522973742,462,7
1530550649.535685310,396,6
1530550649.548139839,462,7
1530550649.560852890,396,6
1530550649.573276975,462,7
1530550649.585982475,462,7
1530550649.598660386,396,6
1530550649.611196758,462,7
1530550649.623698896,462,7
1530550649.636227918,396,6
1530550649.648701187,396,6
1530550649.661127502,462,7
1530550649.673586102,396,6
1530550649.686179768,462,7
1530550649.698852580,396,6
1530550649.711429149,462,7
1530550649.723822189,396,6
1530550649.736396187,462,7
1530550649.748958620,462,7
1530550649.761626432,396,6
1530550649.774185561,396,6
1530550649.786732570,330,5
1530550649.799412137,462,7
1530550649.811874220,396,6
1530550649.824514926,462,7
1530550649.836943288,462,7
1530550649.849617329,330,5
1530550649.862132564,462,7
1530550649.874866697,396,6
1530550649.887607382,396,6
1530550649.900258983,396,6
1530550649.912987214,396,6
1530550649.925609234,396,6
