ts,rto,rtt,rttvar,s,pmtu,rcvs,advs,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530550640.730541922,212,10.291,3.868,1448,1500,536,1448,11,38,3,2,1,1.1e6,10.265,2.88672,2.88672,12.4e6,33.6e6,1.1e6,8
1530550640.741605176,212,10.291,3.868,1448,1500,536,1448,11,38,3,2,1,1.1e6,10.265,2.88672,2.88672,12.4e6,33.6e6,1.1e6,8
1530550640.752442400,212,10.291,3.868,1448,1500,536,1448,11,38,7,2,5,1.1e6,10.265,2.88672,2.88672,12.4e6,33.6e6,1.1e6,8
1530550640.763604221,212,10.289,1.643,1448,1500,536,1448,17,8726,21,5,19,5.9e6,10.265,2.88672,2.88672,19.1e6,33.6e6,5.9e6,20
1530550640.774969558,212,10.263,0.19,1448,1500,536,1448,31,28998,48,13,46,13.0e6,10.215,2.88672,2.88672,35.0e6,39.0e6,13.0e6,32
1530550640.785669197,212,10.278,0.028,1448,1500,536,1448,56,65198,103,25,101,27.3e6,10.215,2.88672,2.88672,63.1e6,81.6e6,27.3e6,44
1530550640.796309155,212,10.227,0.028,1448,1500,536,1448,111,144838,211,38,209,58.8e6,10.109,2.88672,2.88672,125.7e6,175.7e6,58.8e6,52
1530550640.807592426,212,10.585,0.551,1448,1500,536,1448,205,280950,323,50,321,96.3e6,10.109,2.88672,2.88672,224.3e6,288.0e6,96.3e6,64
1530550640.818636828,216,13.016,2.383,1448,1500,536,1448,309,431542,440,58,438,103.2e6,10.109,2.88672,2.88672,275.0e6,308.7e6,102.7e6,76
1530550640.829684178,216,15.368,1.58,1448,1500,536,1448,348,550278,530,69,528,103.2e6,10.109,2.88672,2.88672,262.3e6,308.7e6,94.4e6,88
1530550640.840531509,220,16.769,1.088,1448,1500,536,1448,348,693630,620,79,618,103.2e6,10.109,2.88672,2.88672,240.4e6,308.7e6,96.0e6,96
1530550640.851737385,220,16.809,0.659,1448,1500,536,1448,348,799334,710,89,708,103.2e6,10.109,2.88672,2.88672,239.8e6,308.7e6,88.2e6,108
1530550640.862495309,220,17.378,1.077,1448,1500,536,1448,208,942686,738,96,736,103.2e6,10.109,1,2,138.7e6,106.9e6,92.7e6,120
1530550640.873245690,216,15.724,1.032,1448,1500,536,1448,208,1064318,837,103,835,103.2e6,10.109,1,2,153.2e6,106.9e6,65.7e6,132
1530550640.884176492,216,12.833,1.214,1448,1500,536,1448,208,1194638,927,113,925,103.2e6,10.109,1,2,187.8e6,106.9e6,87.4e6,140
1530550640.895310768,216,12.442,0.209,1448,1500,536,1448,214,1324958,1021,124,1019,103.2e6,10.109,1.25,2,199.2e6,133.7e6,95.0e6,152
1530550640.906639610,216,12.458,0.318,1448,1500,536,1448,214,1458174,1111,133,1109,103.2e6,10.109,1.25,2,199.0e6,133.7e6,93.2e6,164
1530550640.917277502,216,12.121,0.348,1448,1500,536,1448,214,1588494,1201,143,1199,103.2e6,10.109,1.25,2,204.5e6,133.7e6,87.2e6,176
1530550640.928184124,216,12.037,0.375,1448,1500,536,1448,214,1718814,1291,152,1289,103.2e6,10.109,1.25,2,205.9e6,133.7e6,88.8e6,184
1530550640.939420275,212,11.944,0.358,1448,1500,536,1448,214,1849134,1381,164,1379,103.2e6,10.109,1.25,2,207.5e6,133.7e6,88.0e6,196
1530550640.950087573,216,12.025,0.395,1448,1500,536,1448,214,1979454,1471,172,1469,103.2e6,10.109,1.25,2,206.2e6,133.7e6,88.3e6,208
1530550640.961021710,212,11.944,0.42,1448,1500,536,1448,202,2109774,1560,182,1558,97.6e6,10.109,1.25,2,195.9e6,126.3e6,87.9e6,220
1530550640.971896992,212,11.916,0.429,1448,1500,536,1448,202,2240094,1659,192,1657,97.6e6,10.109,1.25,2,196.4e6,126.3e6,87.8e6,228
