ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in, data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate
1529354907.157154924,204,0.21,0.12,1448,1500,536,1448,11,38,3,2,1,399.4e6,0.029,2.88672,2.88672,606.8e6,1467.8e6,399.4e6
1529354907.183961604,204,0.21,0.12,1448,1500,536,1448,11,38,3,2,1,399.4e6,0.029,2.88672,2.88672,606.8e6,1467.8e6,399.4e6
1529354907.211541322,204,0.175,0.157,1448,1500,536,1448,186,23605334,16392,1134,16390,10043.9e6,0.029,1.25,2,12312.1e6,13005.8e6,9858.7e6
1529354907.239557279,204,0.214,0.015,1448,1500,536,1448,194,49457926,34347,3081,34345,12087.7e6,0.028,1,2,10501.4e6,12521.7e6,9752.1e6
1529354907.267201383,204,0.214,0.013,1448,1500,536,1448,192,76884494,53247,5592,53245,11584.0e6,0.028,1,2,10393.1e6,12000.0e6,8801.8e6
1529354907.297658769,204,0.184,0.014,1448,1500,536,1448,180,105989294,73362,8353,73360,10371.7e6,0.025,1,2,11332.2e6,10744.2e6,9642.2e6
1529354907.326629546,204,0.088,0.013,1448,1500,536,1448,178,136230774,94197,11273,94195,9834.3e6,0.025,1.25,2,23431.3e6,12734.4e6,8658.7e6
1529354907.357229902,204,0.115,0.02,1448,1500,536,1448,180,163437246,113007,13862,113005,10385.7e6,0.025,1.25,2,18131.5e6,13448.3e6,9507.6e6
1529354907.386100137,204,0.199,0.015,1448,1500,536,1448,182,191684830,132537,16657,132535,11584.0e6,0.023,1,2,10594.4e6,12000.0e6,9093.4e6
1529354907.416024983,204,0.082,0.017,1448,1500,536,1448,180,220830174,152562,19492,152560,11373.4e6,0.022,1.25,2,25428.3e6,14727.3e6,9701.6e6
1529354907.443106237,204,0.191,0.015,1448,1500,536,1448,180,248136558,171507,22233,171505,11429.5e6,0.022,1,2,10916.9e6,11840.0e6,9438.8e6
1529354907.468932737,204,0.172,0.01,1448,1500,536,1448,176,274057206,189417,24877,189415,10530.9e6,0.022,1,2,11853.4e6,13636.4e6,9901.4e6
1529354907.497490319,204,0.229,0.08,1448,1500,536,1448,176,302908606,209262,25610,209260,10564.6e6,0.022,1.25,2,8903.0e6,13680.0e6,4222.9e6
1529354907.526940261,204,0.249,0.052,1448,1500,536,1448,180,332014854,229422,26138,229420,11294.4e6,0.022,1.25,2,8374.0e6,11918.9e6,2413.3e6
1529354907.554915777,204,0.19,0.032,1448,1500,536,1448,182,359234358,248232,26630,248230,12204.6e6,0.022,1,2,11096.3e6,12642.9e6,9511.1e6
1529354907.585694725,204,0.156,0.02,1448,1500,536,1448,178,387195238,267537,27142,267535,11239.9e6,0.022,1,2,13217.6e6,11643.6e6,8431.0e6
1529354907.615320982,204,0.223,0.061,1448,1500,536,1448,178,416189990,287562,27655,287560,10830.0e6,0.022,1.25,2,9246.4e6,14023.7e6,4088.5e6
1529354907.649956592,204,0.188,0.028,1448,1500,536,1448,180,445568462,307857,28189,307855,11511.1e6,0.022,1,2,11091.1e6,11924.5e6,10127.7e6
1529354907.677665467,204,0.18,0.017,1448,1500,536,1448,174,473448254,327072,28678,327070,10183.7e6,0.022,1.25,2,11197.9e6,13186.8e6,6876.1e6
1529354907.707276730,204,0.182,0.012,1448,1500,536,1448,174,499855430,345342,29151,345340,9884.2e6,0.022,1.25,2,11074.8e6,12798.9e6,9821.2e6
1529354907.737582037,204,0.232,0.053,1448,1500,536,1448,176,529242590,365637,29677,365635,10432.4e6,0.022,1,2,8787.9e6,10807.0e6,6560.5e6
1529354907.765756816,204,0.18,0.074,1448,1500,536,1448,174,557920230,385392,30195,385390,9867.9e6,0.022,1.25,2,11197.9e6,12777.8e6,7857.0e6
1529354907.798902351,204,0.245,0.062,1448,1500,536,1448,174,586844030,405417,30717,405415,9768.1e6,0.022,1.25,2,8227.0e6,10118.9e6,3620.0e6
1529354907.826470747,204,0.265,0.096,1448,1500,536,1448,176,613364150,423687,31182,423685,10477.7e6,0.022,1,2,7693.5e6,10853.9e6,4912.6e6
1529354907.854734196,204,0.198,0.021,1448,1500,536,1448,178,639300726,441687,31647,441685,10811.7e6,0.022,1,2,10413.9e6,11200.0e6,6601.6e6
1529354907.886316234,204,0.211,0.032,1448,1500,536,1448,178,668461998,461757,32173,461755,11308.2e6,0.022,1.25,2,9772.3e6,14642.9e6,5892.7e6
1529354907.916820107,204,0.201,0.024,1448,1500,536,1448,174,696257806,481017,32679,481015,9920.9e6,0.022,1,2,10027.9e6,10277.2e6,7495.5e6
1529354907.949375815,204,0.189,0.048,1448,1500,536,1448,172,726496390,501852,33232,501850,9290.7e6,0.022,1,2,10542.1e6,9624.4e6,8775.8e6
1529354907.977948037,204,0.181,0.026,1448,1500,536,1448,174,752111510,519582,33690,519580,9880.5e6,0.022,0.75,2,11136.0e6,7676.5e6,8227.3e6
1529354908.010174704,204,0.228,0.081,1448,1500,536,1448,176,779730662,538662,34176,538660,10495.6e6,0.022,1,2,8942.0e6,10872.5e6,8337.9e6
1529354908.039991731,204,0.199,0.05,1448,1500,536,1448,174,808165038,558282,34691,558280,10188.3e6,0.022,1,2,10128.7e6,10554.2e6,8193.6e6
1529354908.067442135,204,0.203,0.023,1448,1500,536,1448,176,834631582,576552,35153,576550,10761.5e6,0.022,1.25,2,10043.3e6,13934.9e6,9373.9e6
1529354908.097232105,204,0.228,0.092,1448,1500,536,1448,182,862670654,595947,35640,595945,12227.6e6,0.022,1,2,9246.9e6,12666.7e6,10706.4e6
1529354908.124976486,204,0.222,0.079,1448,1500,536,1448,178,889255934,614262,36107,614260,9882.9e6,0.022,1,2,9288.1e6,14019.6e6,7316.2e6
1529354908.155257363,204,0.315,0.198,1448,1500,536,1448,168,916944590,633420,36601,633418,8605.3e6,0.022,1.25,2,6178.1e6,11142.9e6,1247.1e6
1529354908.190865459,204,0.246,0.054,1448,1500,536,1448,174,944572430,652377,37086,652375,10020.5e6,0.022,1.25,2,8193.6e6,12975.5e6,6469.6e6
1529354908.221795419,204,0.288,0.183,1448,1500,536,1448,176,976037470,674157,37638,674155,10563.6e6,0.022,1,2,7079.1e6,13678.8e6,7592.5e6
1529354908.251281455,204,0.166,0.025,1448,1500,536,1448,178,1003213534,692967,38132,692965,11075.9e6,0.022,1.25,2,12421.4e6,11473.7e6,8366.2e6
1529354908.281801412,204,0.195,0.036,1448,1500,536,1448,178,1031828910,712722,38637,712720,11276.5e6,0.022,1.25,2,10574.1e6,14601.8e6,7093.6e6
1529354908.311485055,204,0.312,0.121,1448,1500,536,1448,174,1058602430,731127,39105,731125,10089.3e6,0.022,1.25,2,6460.3e6,13064.5e6,4385.4e6
1529354908.342208793,204,0.189,0.02,1448,1500,536,1448,178,1087488582,751152,39620,751150,11028.6e6,0.022,1.25,2,10909.8e6,14280.8e6,6742.0e6
1529354908.374054871,204,0.203,0.08,1448,1500,536,1448,172,1117460734,771852,40157,771850,9691.2e6,0.022,1,2,9815.0e6,10039.2e6,8688.0e6
