ts,in_queue (size), in_queue (number)
1530632135.748832894,0,0
1530632135.761675511,0,0
1530632135.774271173,0,0
1530632135.787038699,0,0
1530632135.799709827,0,0
1530632135.812355380,0,0
1530632135.825062511,0,0
1530632135.837604246,0,0
1530632135.850227012,0,0
1530632135.862915322,0,0
1530632135.875560335,0,0
1530632135.888060894,0,0
1530632135.900806179,0,0
1530632135.913466853,0,0
1530632135.926381406,0,0
1530632135.939330271,0,0
1530632135.951966637,0,0
1530632135.964482024,0,0
1530632135.976994762,0,0
1530632135.989625350,0,0
1530632136.002286528,0,0
1530632136.015157898,0,0
1530632136.027936683,0,0
1530632136.040502563,0,0
1530632136.053168360,0,0
1530632136.065671996,0,0
1530632136.078232269,0,0
1530632136.091111109,0,0
1530632136.103799781,0,0
1530632136.116430093,0,0
1530632136.128974352,0,0
1530632136.141713124,0,0
1530632136.154439797,0,0
1530632136.167062901,0,0
1530632136.179786034,0,0
1530632136.192576757,0,0
1530632136.205095530,0,0
1530632136.217659072,0,0
1530632136.230215865,0,0
1530632136.242823963,0,0
1530632136.255409227,0,0
1530632136.268132031,0,0
1530632136.280700372,0,0
1530632136.293304598,0,0
1530632136.305871253,0,0
1530632136.318606214,0,0
1530632136.331230487,0,0
1530632136.343874901,0,0
1530632136.356318317,0,0
1530632136.368947876,0,0
1530632136.381531152,0,0
1530632136.394230509,0,0
1530632136.406745766,0,0
1530632136.419558665,0,0
1530632136.432048438,0,0
1530632136.444746148,0,0
1530632136.457193390,0,0
1530632136.470038171,0,0
1530632136.482642342,0,0
1530632136.495291428,0,0
1530632136.507827642,0,0
1530632136.520546764,0,0
1530632136.533021301,0,0
1530632136.545743286,0,0
1530632136.558634726,0,0
1530632136.571275245,0,0
1530632136.583873438,0,0
1530632136.596425939,0,0
1530632136.608951368,0,0
1530632136.621682637,0,0
1530632136.634447965,0,0
1530632136.647236981,0,0
1530632136.659975132,0,0
1530632136.672550679,0,0
1530632136.685212297,0,0
1530632136.697820821,0,0
1530632136.710582269,0,0
1530632136.723211252,0,0
1530632136.735767825,0,0
1530632136.748462796,0,0
1530632136.761096173,0,0
1530632136.773960260,0,0
1530632136.786517412,0,0
1530632136.799273142,0,0
1530632136.811994757,0,0
1530632136.824573784,0,0
1530632136.837149739,0,0
1530632136.849921167,0,0
1530632136.862507896,0,0
1530632136.875187304,0,0
1530632136.887705250,0,0
1530632136.900369998,0,0
1530632136.912874509,0,0
1530632136.925579196,0,0
1530632136.938193224,0,0
1530632136.950819774,0,0
1530632136.963445042,0,0
1530632136.976024781,0,0
1530632136.988825329,0,0
1530632137.001447471,0,0
1530632137.014062434,0,0
1530632137.026836919,0,0
1530632137.039453522,0,0
1530632137.052010283,0,0
1530632137.064840970,0,0
1530632137.077557974,0,0
1530632137.090238420,0,0
1530632137.103051944,0,0
1530632137.115775022,0,0
1530632137.128311754,0,0
1530632137.140909101,0,0
1530632137.153428645,0,0
1530632137.166139318,0,0
1530632137.178793872,0,0
1530632137.191498404,0,0
1530632137.204299292,0,0
1530632137.217002261,0,0
1530632137.229576540,0,0
1530632137.242168799,0,0
1530632137.254955628,0,0
1530632137.267652425,0,0
1530632137.280140602,0,0
1530632137.292600655,0,0
1530632137.305132798,0,0
1530632137.317743403,0,0
1530632137.330381473,0,0
1530632137.343176548,0,0
1530632137.355819574,0,0
1530632137.368577346,0,0
1530632137.381236091,0,0
