ts,in_queue (size), in_queue (number)
1530634604.795126548,0,0
1530634604.807908728,0,0
1530634604.820495906,0,0
1530634604.833341895,0,0
1530634604.846133038,0,0
1530634604.859120334,0,0
1530634604.871781343,0,0
1530634604.884464455,0,0
1530634604.897018018,0,0
1530634604.909624054,0,0
1530634604.922310222,0,0
1530634604.935190991,0,0
1530634604.947904329,0,0
1530634604.960676101,0,0
1530634604.973223776,0,0
1530634604.985977564,0,0
1530634604.998715556,0,0
1530634605.011458017,0,0
1530634605.024098158,0,0
1530634605.036673842,0,0
1530634605.049348453,0,0
1530634605.062002222,0,0
1530634605.074706073,0,0
1530634605.087562531,0,0
1530634605.100182988,0,0
1530634605.112991462,0,0
1530634605.125567590,0,0
1530634605.138387797,0,0
1530634605.151054166,0,0
1530634605.163879350,0,0
1530634605.176593550,0,0
1530634605.189152673,0,0
1530634605.201682722,0,0
1530634605.214289542,0,0
1530634605.227038392,0,0
1530634605.239845283,0,0
1530634605.252481975,0,0
1530634605.265100032,0,0
1530634605.277741102,0,0
1530634605.290605409,0,0
1530634605.303609196,0,0
1530634605.316353725,0,0
1530634605.328995768,0,0
1530634605.341767434,0,0
1530634605.354473337,0,0
1530634605.367226923,0,0
1530634605.379849208,0,0
1530634605.392520874,0,0
1530634605.405090534,0,0
1530634605.417958365,0,0
1530634605.430768183,0,0
1530634605.443584054,0,0
1530634605.456154452,0,0
1530634605.469001035,0,0
1530634605.481629642,0,0
1530634605.494345038,0,0
1530634605.507031166,0,0
1530634605.519710246,0,0
1530634605.532385849,0,0
1530634605.545020818,0,0
1530634605.557717678,0,0
1530634605.570539884,0,0
1530634605.583448427,0,0
1530634605.595989873,0,0
1530634605.608882253,0,0
1530634605.621502588,0,0
1530634605.634180788,0,0
1530634605.646847057,0,0
1530634605.659473986,0,0
1530634605.671949552,0,0
1530634605.684475804,0,0
1530634605.697226686,0,0
1530634605.710009319,0,0
1530634605.722861371,0,0
1530634605.735571012,0,0
1530634605.748231847,0,0
1530634605.760835610,0,0
1530634605.773540547,0,0
1530634605.786251149,0,0
1530634605.798927953,0,0
1530634605.811684866,0,0
1530634605.824199232,0,0
1530634605.836787908,0,0
1530634605.849403850,0,0
1530634605.861967752,0,0
1530634605.874725658,0,0
1530634605.887368569,0,0
1530634605.900268114,0,0
1530634605.912997828,0,0
1530634605.925742949,0,0
1530634605.938561960,0,0
1530634605.951502795,0,0
1530634605.964123549,0,0
1530634605.976801907,0,0
1530634605.989390003,0,0
1530634606.002172335,0,0
1530634606.015103568,0,0
1530634606.027734869,0,0
1530634606.040445275,0,0
1530634606.052991563,0,0
1530634606.065716767,0,0
1530634606.078360737,0,0
1530634606.091047161,0,0
1530634606.103698526,0,0
1530634606.116352366,0,0
1530634606.129194825,0,0
1530634606.141871320,0,0
1530634606.154636441,0,0
1530634606.167240038,0,0
1530634606.179859281,0,0
1530634606.192502074,0,0
1530634606.205109478,0,0
1530634606.217655991,0,0
1530634606.230363268,0,0
1530634606.243158110,0,0
1530634606.255735912,0,0
1530634606.268462799,0,0
1530634606.281074121,0,0
1530634606.293800797,0,0
1530634606.306671011,0,0
1530634606.319474745,0,0
1530634606.332337896,0,0
1530634606.344951319,0,0
1530634606.357783107,0,0
1530634606.370637870,0,0
1530634606.383470763,0,0
1530634606.396397497,0,0
1530634606.408926022,0,0
1530634606.421664203,0,0
1530634606.434317904,0,0
1530634606.447064107,0,0
1530634606.459699343,0,0
1530634606.472485271,0,0
1530634606.485162861,0,0
1530634606.497944066,0,0
1530634606.510764350,0,0
1530634606.523451326,0,0
1530634606.536291561,0,0
1530634606.548884014,0,0
1530634606.561520338,0,0
1530634606.574182883,0,0
1530634606.586973302,0,0
1530634606.599750799,0,0
1530634606.612450626,0,0
1530634606.625073351,0,0
1530634606.637640959,0,0
1530634606.650480410,0,0
1530634606.663272233,0,0
1530634606.675869752,0,0
1530634606.688655307,0,0
1530634606.701195438,0,0
1530634606.714135556,0,0
1530634606.726806833,0,0
1530634606.739465624,0,0
1530634606.752304646,0,0
1530634606.764891688,0,0
1530634606.777665818,0,0
1530634606.790317726,0,0
1530634606.802912915,0,0
1530634606.815538395,74,1
1530634606.828129446,66,1
1530634606.840764375,66,1
1530634606.853374282,66,1
1530634606.866132747,0,0
1530634606.878825711,74,1
1530634606.891552872,103,1
1530634606.904142731,103,1
1530634606.916891921,66,1
1530634606.929405833,66,1
1530634606.942032813,13626,5
1530634606.954754191,21196,8
1530634606.967585993,25738,10
1530634606.980214844,25738,10
1530634606.992987597,22710,9
1530634607.005643931,25738,10
1530634607.018566647,28766,11
1530634607.031343124,25738,10
1530634607.044053392,25738,10
1530634607.056756828,25738,10
1530634607.069503837,31794,13
1530634607.082120215,34e3,15
1530634607.095107216,34e3,15
1530634607.107925019,37850,16
1530634607.120699851,36336,16
1530634607.133439596,36336,16
1530634607.146237050,33308,15
1530634607.159223416,31794,14
1530634607.171851796,30280,13
1530634607.184451557,30280,13
1530634607.197158393,31794,14
1530634607.209867602,31794,14
1530634607.222548447,31794,14
1530634607.235301614,28766,13
1530634607.248031969,28766,13
1530634607.260559766,27252,12
1530634607.273437825,27252,12
1530634607.286171700,24224,11
1530634607.299001822,24224,11
