ts,in_queue.size, in_queue.number
1530568193.863962350,0,0
1530568193.876665737,0,0
1530568193.889495430,0,0
1530568193.902164090,0,0
1530568193.914910489,0,0
1530568193.927532455,0,0
1530568193.940387446,0,0
1530568193.952965803,0,0
1530568193.965676009,0,0
1530568193.978506119,0,0
1530568193.991155760,0,0
1530568194.004055947,0,0
1530568194.016758132,0,0
1530568194.029325080,0,0
1530568194.042012399,0,0
1530568194.054677292,0,0
1530568194.067375502,0,0
1530568194.080159731,0,0
1530568194.092774236,0,0
1530568194.105459998,0,0
1530568194.118132826,0,0
1530568194.130713013,0,0
1530568194.143340342,0,0
1530568194.155955943,0,0
1530568194.168696673,0,0
1530568194.181436460,0,0
1530568194.194043718,0,0
1530568194.206724478,0,0
1530568194.219492110,0,0
1530568194.232037449,0,0
1530568194.244612670,0,0
1530568194.257282240,0,0
1530568194.269912868,0,0
1530568194.282681109,0,0
1530568194.295280790,0,0
1530568194.307854495,0,0
1530568194.320544999,0,0
1530568194.333229477,0,0
1530568194.345835541,0,0
1530568194.358382984,0,0
1530568194.371044143,0,0
1530568194.383778983,0,0
1530568194.396401953,0,0
1530568194.409288126,0,0
1530568194.421925373,0,0
1530568194.434595575,0,0
1530568194.447228112,0,0
1530568194.459818693,0,0
1530568194.472355257,0,0
1530568194.485052113,0,0
1530568194.497578380,0,0
1530568194.510245212,0,0
1530568194.522811939,0,0
1530568194.535607239,0,0
1530568194.548121175,0,0
1530568194.560935189,0,0
1530568194.573514677,0,0
1530568194.586323707,0,0
1530568194.598878593,0,0
1530568194.611599429,0,0
1530568194.624126962,0,0
1530568194.636705007,0,0
1530568194.649502639,0,0
1530568194.662139451,0,0
1530568194.674792181,0,0
1530568194.687406849,0,0
1530568194.700216271,0,0
1530568194.712759697,0,0
1530568194.725307524,0,0
1530568194.738085265,0,0
1530568194.750614342,0,0
1530568194.763374655,0,0
1530568194.775856755,0,0
1530568194.788325898,0,0
1530568194.800786272,0,0
1530568194.813452423,0,0
1530568194.826136488,0,0
1530568194.838798541,0,0
1530568194.851626861,0,0
1530568194.864265098,0,0
1530568194.876686379,0,0
1530568194.889543383,0,0
1530568194.902233001,0,0
1530568194.914778837,0,0
1530568194.927439436,0,0
1530568194.940060696,0,0
1530568194.952508460,0,0
1530568194.965070600,0,0
1530568194.977602781,0,0
1530568194.990126583,0,0
1530568195.002691197,0,0
1530568195.015289550,0,0
1530568195.027934832,0,0
1530568195.040441250,0,0
1530568195.053073518,0,0
1530568195.065647170,0,0
1530568195.078194308,0,0
1530568195.090718237,0,0
1530568195.103355518,0,0
1530568195.116021813,0,0
1530568195.128582337,0,0
1530568195.141252031,0,0
1530568195.153765958,0,0
1530568195.166433804,0,0
1530568195.179243222,0,0
1530568195.191755779,0,0
1530568195.204383947,0,0
1530568195.216952491,0,0
1530568195.229302062,0,0
1530568195.241890182,0,0
1530568195.254354834,0,0
1530568195.266853584,0,0
1530568195.279195945,0,0
1530568195.291826909,0,0
1530568195.304489135,0,0
1530568195.316899416,0,0
1530568195.329217023,0,0
1530568195.341492019,0,0
1530568195.353915239,0,0
1530568195.366478381,0,0
1530568195.379080857,0,0
1530568195.391696797,0,0
1530568195.404416203,0,0
1530568195.416928247,0,0
1530568195.429315742,0,0
1530568195.441799643,0,0
1530568195.454294145,0,0
1530568195.466929325,0,0
1530568195.479318559,0,0
1530568195.491714371,0,0
1530568195.504337617,0,0
1530568195.516760223,0,0
1530568195.529109841,0,0
1530568195.541599210,0,0
1530568195.554152977,0,0
1530568195.566782585,0,0
1530568195.579576332,0,0
1530568195.591900942,0,0
1530568195.604435856,0,0
1530568195.616869488,0,0
1530568195.629217460,0,0
1530568195.641730320,0,0
1530568195.654074193,0,0
1530568195.666550562,0,0
1530568195.678943483,0,0
1530568195.691453801,0,0
1530568195.703752448,0,0
1530568195.716340324,0,0
1530568195.728661621,0,0
1530568195.741155487,0,0
1530568195.753586092,0,0
1530568195.766149557,0,0
1530568195.778582925,0,0
1530568195.791174195,0,0
1530568195.803831257,0,0
