ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530597562.732767656,204,0.9,1.545,1448,1500,536,1448,11,38,3,3,1,1.9e6,0.157,2.88672,2.88672,141.6e6,2206.4e6,1.9e6,8ms
1530597562.744469157,204,0.9,1.545,1448,1500,536,1448,11,38,3,3,1,1.9e6,0.157,2.88672,2.88672,141.6e6,2206.4e6,1.9e6,8ms
1530597562.755539251,204,0.9,1.545,1448,1500,536,1448,11,38,3,3,1,1.9e6,0.157,2.88672,2.88672,141.6e6,2206.4e6,1.9e6,8ms
1530597562.766374993,204,0.9,1.545,1448,1500,536,1448,11,38,3,3,1,1.9e6,0.157,2.88672,2.88672,141.6e6,2206.4e6,1.9e6,8ms
1530597562.777211974,204,2.854,2.84,1448,1500,536,1448,21,8726,33,14,30,136.3e6,0.157,2.88672,2.88672,85.2e6,2206.4e6,9.5e6,16ms
1530597562.788017044,208,7.856,7.224,1448,1500,536,1448,22,8726,51,20,48,136.3e6,0.157,2.88672,2.88672,32.4e6,2206.4e6,9.5e6,28ms
1530597562.799106347,216,15.321,10.795,1448,1500,536,1448,33,39134,64,27,61,136.3e6,0.157,2.88672,2.88672,25.0e6,2206.4e6,9.6e6,40ms
1530597562.809815300,220,18.689,6.436,1448,1500,536,1448,40,43478,83,35,80,136.3e6,0.157,2.88672,2.88672,24.8e6,2206.4e6,9.6e6,52ms
1530597562.820755614,228,25.889,11.032,1448,1500,536,1448,52,50718,94,44,91,136.3e6,0.157,2.88672,2.88672,23.3e6,2206.4e6,9.6e6,60ms
1530597562.832025039,232,29.695,6.799,1448,1500,536,1448,9,69542,125,55,122,136.3e6,0.157,1.25,2,3.5e6,176.5e6,10.1e6,72ms
1530597562.842840686,236,33.085,7.426,1448,1500,536,1448,8,79678,135,65,132,11.2e6,0.157,1,2,2.8e6,11.6e6,8.3e6,84ms
1530597562.853354527,240,37.655,8.92,1448,1500,536,1448,8,92710,144,71,141,9.0e6,0.157,1,2,2.5e6,9.3e6,1.4e6,92ms
1530597562.864241087,244,43.751,9.951,1448,1500,536,1448,8,101398,152,82,149,9.0e6,0.157,1,2,2.1e6,9.3e6,6.8e6,104ms
