ts, Backlog in Bytes, Backlog in packets
1530893183.822481713,0,0
1530893183.835539194,0,0
1530893183.848308928,0,0
1530893183.861173429,0,0
1530893183.873931598,0,0
1530893183.886591907,0,0
1530893183.899576545,0,0
1530893183.912560542,0,0
1530893183.925220812,0,0
1530893183.938167127,0,0
1530893183.950958099,0,0
1530893183.963753734,0,0
1530893183.976524038,0,0
1530893183.989240509,0,0
1530893184.002063844,0,0
1530893184.014914462,0,0
1530893184.027655433,0,0
1530893184.040520060,0,0
1530893184.053262710,0,0
1530893184.066099998,0,0
1530893184.078902159,0,0
1530893184.091904346,0,0
1530893184.104770252,0,0
1530893184.117648125,0,0
1530893184.130542210,0,0
1530893184.143468950,0,0
1530893184.156240003,0,0
1530893184.169068250,0,0
1530893184.181816509,0,0
1530893184.194562031,0,0
1530893184.207408570,0,0
1530893184.220141115,0,0
1530893184.233000646,0,0
1530893184.245788280,0,0
1530893184.258508327,0,0
1530893184.271424727,0,0
1530893184.284318072,0,0
1530893184.297131922,0,0
1530893184.309959785,0,0
1530893184.322751459,0,0
1530893184.335474254,0,0
1530893184.348270451,0,0
1530893184.360960736,0,0
1530893184.373712921,0,0
1530893184.386513481,0,0
1530893184.399158373,0,0
1530893184.412062748,0,0
1530893184.424968519,0,0
1530893184.437530938,0,0
1530893184.450194621,0,0
1530893184.463110990,0,0
1530893184.475945174,0,0
1530893184.488661379,0,0
1530893184.501243576,0,0
1530893184.513998387,0,0
1530893184.526615387,0,0
1530893184.539223987,0,0
1530893184.551870405,0,0
1530893184.564759335,0,0
1530893184.577206598,0,0
1530893184.589795803,0,0
1530893184.602507602,0,0
1530893184.615219132,0,0
1530893184.628001467,0,0
1530893184.640598582,0,0
1530893184.653128299,0,0
1530893184.665820264,0,0
1530893184.678480561,0,0
1530893184.690921749,0,0
1530893184.703474473,0,0
1530893184.716035356,0,0
1530893184.728635418,0,0
1530893184.741168345,0,0
1530893184.753727721,0,0
1530893184.766239377,0,0
1530893184.778562432,0,0
1530893184.791048068,0,0
1530893184.803513395,0,0
1530893184.816102139,0,0
1530893184.828604215,0,0
1530893184.841054191,0,0
1530893184.853323379,0,0
1530893184.865744991,0,0
1530893184.878219109,0,0
1530893184.890770997,0,0
1530893184.903063036,0,0
1530893184.915517041,0,0
1530893184.928027613,0,0
1530893184.940505446,0,0
1530893184.952855428,0,0
1530893184.965043339,0,0
1530893184.977246061,0,0
1530893184.989650426,0,0
1530893185.001937773,0,0
1530893185.014184316,0,0
1530893185.026695089,0,0
1530893185.038960030,0,0
1530893185.051423577,0,0
1530893185.063719419,0,0
1530893185.076110657,0,0
1530893185.088291816,0,0
1530893185.100503170,0,0
1530893185.113013429,0,0
1530893185.125232141,0,0
1530893185.137397888,0,0
1530893185.149662556,0,0
1530893185.161795984,0,0
1530893185.173986588,0,0
1530893185.186272693,0,0
1530893185.198421187,0,0
1530893185.210605007,0,0
1530893185.222897305,0,0
1530893185.235339095,0,0
1530893185.247650391,0,0
1530893185.259845073,0,0
1530893185.272054414,0,0
1530893185.284389311,0,0
1530893185.296586947,0,0
1530893185.308946740,0,0
1530893185.321243609,0,0
1530893185.333620794,0,0
1530893185.345772670,0,0
1530893185.357882120,0,0
1530893185.370163667,0,0
1530893185.382624808,0,0
1530893185.395119150,0,0
1530893185.407368404,0,0
1530893185.419811780,0,0
1530893185.431971655,0,0
1530893185.444155939,0,0
1530893185.456350758,0,0
1530893185.468528366,0,0
1530893185.480984043,0,0
1530893185.493074387,0,0
1530893185.505429255,0,0
1530893185.517738441,0,0
1530893185.529981843,0,0
1530893185.542285119,0,0
1530893185.554564434,0,0
1530893185.566786613,0,0
1530893185.579151410,0,0
1530893185.591252996,0,0
1530893185.603456010,0,0
1530893185.615656041,0,0
1530893185.627876304,0,0
1530893185.640039588,0,0
1530893185.652160698,0,0
1530893185.664524129,0,0
1530893185.676840624,0,0
1530893185.688992206,0,0
1530893185.701106777,0,0
1530893185.713246722,0,0
1530893185.725595463,0,0
1530893185.737755129,0,0
1530893185.750074219,0,0
1530893185.762250000,0,0
1530893185.774613718,0,0
1530893185.787029337,0,0
1530893185.799224692,0,0
1530893185.811356548,0,0
1530893185.823471984,0,0
1530893185.835597726,0,0
1530893185.848045397,0,0
1530893185.860384144,0,0
1530893185.872616133,0,0
1530893185.884825784,0,0
1530893185.896999895,0,0
1530893185.909107119,0,0
1530893185.921457716,0,0
1530893185.933646049,0,0
1530893185.945767296,0,0
1530893185.958113063,0,0
1530893185.970233331,0,0
1530893185.982629561,0,0
1530893185.994825922,0,0
1530893186.007157872,0,0
1530893186.019539780,0,0
1530893186.031719038,0,0
1530893186.044083458,0,0
1530893186.056262039,0,0
1530893186.068471791,0,0
1530893186.080638019,0,0
1530893186.092921236,0,0
1530893186.105022322,0,0
