ts,in_queue.size, in_queue.number
1530595132.420161729,0,0
1530595132.433390522,0,0
1530595132.446135838,0,0
1530595132.459026354,0,0
1530595132.471736379,0,0
1530595132.484359655,0,0
1530595132.496981586,0,0
1530595132.509605888,0,0
1530595132.522493359,0,0
1530595132.535238910,0,0
1530595132.548081376,0,0
1530595132.560821927,0,0
1530595132.573584379,0,0
1530595132.586433274,0,0
1530595132.599272259,0,0
1530595132.611894141,0,0
1530595132.624651495,0,0
1530595132.637519250,0,0
1530595132.650464216,0,0
1530595132.663460344,0,0
1530595132.676182695,0,0
1530595132.689059523,0,0
1530595132.701986990,0,0
1530595132.714831248,0,0
1530595132.727535208,0,0
1530595132.740389857,0,0
1530595132.753008948,0,0
1530595132.765595527,0,0
1530595132.778448504,0,0
1530595132.791206486,0,0
1530595132.804010933,0,0
1530595132.816722386,0,0
1530595132.829393633,0,0
1530595132.842023246,0,0
1530595132.854879068,0,0
1530595132.867762459,0,0
1530595132.880349415,0,0
1530595132.893085897,0,0
1530595132.905780939,0,0
1530595132.918617643,0,0
1530595132.931313074,0,0
1530595132.943972380,0,0
1530595132.956593585,0,0
1530595132.969236120,0,0
1530595132.982062185,0,0
1530595132.994725522,0,0
1530595133.007506161,0,0
1530595133.020090724,0,0
1530595133.032711550,0,0
1530595133.045499025,0,0
1530595133.058237794,0,0
1530595133.071015098,0,0
1530595133.083749411,0,0
1530595133.096553817,0,0
1530595133.109437802,0,0
1530595133.122140429,0,0
1530595133.135140151,0,0
1530595133.147792958,0,0
1530595133.160500887,0,0
1530595133.173321030,0,0
1530595133.185980876,0,0
1530595133.198729926,0,0
1530595133.211622275,0,0
1530595133.224291325,0,0
1530595133.236931741,0,0
1530595133.249657175,0,0
1530595133.262513934,0,0
1530595133.275484389,0,0
1530595133.288112463,0,0
1530595133.300862029,0,0
1530595133.313771075,0,0
1530595133.326612429,0,0
1530595133.339408607,0,0
1530595133.352143927,0,0
1530595133.364822991,0,0
1530595133.377543572,0,0
1530595133.390510019,0,0
1530595133.403372758,0,0
1530595133.416411768,0,0
1530595133.429409154,0,0
1530595133.442298490,0,0
1530595133.455011953,0,0
1530595133.467826742,0,0
1530595133.480538754,0,0
1530595133.493183500,0,0
1530595133.506068721,0,0
1530595133.518832041,0,0
1530595133.531710008,0,0
1530595133.544433302,0,0
1530595133.557257555,0,0
1530595133.570106034,0,0
1530595133.583017327,0,0
1530595133.595844178,0,0
1530595133.608597813,0,0
1530595133.621269661,0,0
1530595133.634016187,0,0
1530595133.646897881,0,0
1530595133.659798231,0,0
1530595133.672539011,0,0
1530595133.685133663,0,0
1530595133.697861190,0,0
1530595133.710531149,0,0
1530595133.723290363,0,0
1530595133.736019206,0,0
1530595133.748650979,0,0
1530595133.761537366,0,0
1530595133.774326076,0,0
1530595133.787002602,0,0
1530595133.799774874,0,0
1530595133.812683228,0,0
1530595133.825387616,0,0
1530595133.838141181,0,0
1530595133.851095368,0,0
1530595133.863814116,0,0
1530595133.876642250,0,0
1530595133.889358762,0,0
1530595133.902002338,0,0
1530595133.914825978,0,0
1530595133.927721986,0,0
1530595133.940430713,0,0
1530595133.953188547,0,0
1530595133.966119200,0,0
1530595133.979057970,0,0
1530595133.991771791,0,0
1530595134.004547864,0,0
1530595134.017228981,0,0
1530595134.030092954,0,0
1530595134.042849773,0,0
1530595134.055594713,0,0
1530595134.068392985,0,0
1530595134.081072339,0,0
1530595134.093902076,0,0
1530595134.106718596,0,0
1530595134.119503338,0,0
1530595134.132417086,0,0
1530595134.145105857,0,0
1530595134.157901623,0,0
1530595134.170576039,0,0
1530595134.183256847,0,0
1530595134.196028029,0,0
1530595134.208808673,0,0
1530595134.221607066,0,0
1530595134.234274409,0,0
1530595134.247160897,0,0
1530595134.259965277,0,0
1530595134.272604513,0,0
1530595134.285242450,0,0
1530595134.298017868,0,0
1530595134.310701424,0,0
1530595134.323491080,0,0
1530595134.336356797,0,0
1530595134.349117687,0,0
1530595134.362048751,0,0
1530595134.374998274,0,0
1530595134.387762003,0,0
1530595134.400629402,0,0
1530595134.413331951,0,0
1530595134.426094560,0,0
1530595134.438765977,0,0
1530595134.451583810,0,0
1530595134.464405815,0,0
1530595134.477068253,0,0
1530595134.489884894,0,0
1530595134.502699684,0,0
1530595134.515526279,0,0
1530595134.528176998,0,0
1530595134.540755664,0,0
1530595134.553552657,0,0
1530595134.566301014,0,0
1530595134.579230086,0,0
1530595134.592031568,0,0
1530595134.604953119,0,0
1530595134.617550791,0,0
1530595134.630265361,0,0
1530595134.642987930,0,0
1530595134.655752218,18168,11
1530595134.668512290,24224,15
1530595134.681128430,19682,11
1530595134.693706792,10598,6
1530595134.706292240,22710,15
