ts,rto,rtt,rttvar,s,pmtu,rcvs,advs,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530893186.157693065,204,3.082,3.469,1448,1500,536,1448,11,38,3,3,1,887.2e3,1.659,2.88672,2.88672,41.3e6,208.8e6,887.7e3,12
1530893186.168131488,204,3.082,3.469,1448,1500,536,1448,11,38,3,3,1,887.2e3,1.659,2.88672,2.88672,41.3e6,208.8e6,887.7e3,12
1530893186.178771565,204,3.082,3.469,1448,1500,536,1448,11,38,3,3,1,887.2e3,1.659,2.88672,2.88672,41.3e6,208.8e6,887.7e3,12
1530893186.189211458,204,3.082,3.469,1448,1500,536,1448,11,38,14,3,12,887.2e3,1.659,2.88672,2.88672,41.3e6,208.8e6,887.7e3,12
1530893186.199717093,204,3.538,3.914,1448,1500,536,1448,10,13070,36,9,34,41.1e6,0.33,2.88672,2.88672,32.7e6,208.8e6,40.9e6,24
1530893186.210457086,204,2.339,1.933,1448,1500,536,1448,5,30446,64,29,61,41.1e6,0,1,2,24.8e6,41.1e6,19.1e6,36
1530893186.221311847,204,1.946,1.323,1448,1500,536,1448,4,43478,87,52,84,33.7e6,0,1,2,23.8e6,33.7e6,2.8e6,44
1530893186.231814524,204,1.905,2.037,1448,1500,536,1448,3,68094,104,71,101,33.7e6,0,0.75,2,18.2e6,25.3e6,10.4e6,56
1530893186.242782398,204,2.727,2.596,1448,1500,536,1448,4,73886,110,85,107,33.7e6,0,1,2,17.0e6,33.7e6,4.0e6,68
1530893186.253198595,204,3.511,3.515,1448,1500,536,1448,6,82574,116,92,113,33.7e6,0,1,2,19.8e6,33.7e6,6.4e6,76
1530893186.263791646,204,3.511,3.515,1448,1500,536,1448,6,82574,116,95,113,33.7e6,0,1,2,19.8e6,33.7e6,6.4e6,88
1530893186.274750130,208,4.859,5.331,1448,1500,536,1448,6,85470,120,98,117,33.7e6,0,1,2,14.3e6,33.7e6,4.1e6,100
1530893186.285109437,212,8.275,8.668,1448,1500,536,1448,10,97054,128,101,125,32.6e6,0,1.25,2,14.0e6,40.7e6,4.4e6,108
1530893186.295729634,208,7.042,4.413,1448,1500,536,1448,3,105742,136,108,133,13.3e6,0,1,2,4.9e6,13.3e6,6.0e6,120
1530893186.306352773,208,7.582,4.39,1448,1500,536,1448,6,105742,141,113,138,13.3e6,0,1,2,9.2e6,13.3e6,4.0e6,132
1530893186.317497964,212,8.438,4.009,1448,1500,536,1448,6,123118,149,119,146,13.3e6,0,1.25,2,8.2e6,16.6e6,3.4e6,140
1530893186.328166837,208,7.051,3.134,1448,1500,536,1448,3,128910,156,125,153,14.7e6,0,1,2,4.9e6,14.7e6,14.7e6,152
1530893186.338749572,208,7.486,4.342,1448,1500,536,1448,2,134702,163,127,160,14.7e6,0,1,2,3.1e6,14.7e6,2.5e6,164
1530893186.349107947,208,7.568,3.841,1448,1500,536,1448,2,143390,171,132,168,14.7e6,0,1.25,2,3.1e6,18.3e6,1.8e6,172
1530893186.359352273,208,6.888,3.626,1448,1500,536,1448,6,152078,179,135,176,14.7e6,0,1.25,2,10.1e6,18.3e6,2.3e6,184
1530893186.369915823,208,6.969,2.881,1448,1500,536,1448,6,154974,181,138,178,14.7e6,0,1,2,10.0e6,14.7e6,4.6e6,192
1530893186.380458966,208,6.969,2.881,1448,1500,536,1448,6,154974,181,139,178,14.7e6,0,1,2,10.0e6,14.7e6,4.6e6,204
1530893186.390958603,212,8.433,7.473,1448,1500,536,1448,6,169454,191,144,188,14.7e6,0,1,2,8.2e6,14.7e6,13.6e6,216
1530893186.401385010,212,8.433,7.473,1448,1500,536,1448,6,169454,195,144,192,14.7e6,0,1,2,8.2e6,14.7e6,13.6e6,224
1530893186.412371725,212,9.603,8.113,1448,1500,536,1448,4,183934,209,150,206,32.7e6,0,0.75,2,4.8e6,24.6e6,24.6e6,236
1530893186.423181234,208,7.972,5.491,1448,1500,536,1448,6,196966,225,159,222,32.7e6,0,1,2,8.7e6,32.7e6,4.1e6,248
1530893186.434020108,208,6.103,4.955,1448,1500,536,1448,4,209998,238,168,235,10.2e6,0,1,2,7.6e6,10.2e6,4.3e6,256
1530893186.444499186,208,5.368,4.984,1448,1500,536,1448,6,209998,245,174,242,10.2e6,0,1,2,12.9e6,10.2e6,8.8e6,268
1530893186.455199525,208,5.868,4.739,1448,1500,536,1448,6,217238,249,184,246,10.2e6,0,1,2,11.8e6,10.2e6,7.5e6,280
1530893186.466046501,212,8.928,8.403,1448,1500,536,1448,6,230270,257,190,254,31.6e6,0,1,2,7.8e6,31.6e6,2.9e6,288
1530893186.476952427,208,7.681,5.396,1448,1500,536,1448,6,233166,265,195,262,11.7e6,0,1,2,9.0e6,11.7e6,5.5e6,300
1530893186.487748468,208,7.753,4.085,1448,1500,536,1448,10,253438,279,200,276,28.7e6,0,0.75,2,14.9e6,21.5e6,28.7e6,312
1530893186.498443711,212,8.224,4.006,1448,1500,536,1448,5,253438,282,203,279,28.7e6,0,1,2,7.0e6,28.7e6,2.8e6,324
1530893186.508944116,212,11.163,7.437,1448,1500,536,1448,6,267918,289,209,286,28.7e6,0,1,2,6.2e6,28.7e6,4.0e6,332
1530893186.519482474,212,9.903,5.153,1448,1500,536,1448,8,282398,300,217,297,28.7e6,0,1.25,2,9.4e6,35.9e6,3.9e6,344
1530893186.530302361,212,8.118,5.103,1448,1500,536,1448,6,285294,308,221,305,28.7e6,0,1,2,8.6e6,28.7e6,19.2e6,356
1530893186.541346477,212,10.071,5.41,1448,1500,536,1448,6,296878,311,226,308,28.7e6,0,1,2,6.9e6,28.7e6,7.7e6,364
1530893186.552277513,212,10.456,6.358,1448,1500,536,1448,2,304118,319,233,316,19.2e6,0,1.25,2,2.2e6,24.0e6,1.4e6,376
1530893186.562964477,212,9.274,6.455,1448,1500,536,1448,5,307014,324,235,321,19.2e6,0,1.25,2,6.2e6,24.0e6,13.6e6,388
1530893186.573413930,212,10.022,4.955,1448,1500,536,1448,6,315702,330,238,327,19.2e6,0,1.25,2,6.9e6,24.0e6,3.9e6,396
1530893186.584040323,212,11.067,4.934,1448,1500,536,1448,6,325838,336,242,333,19.2e6,0,1,2,6.3e6,19.2e6,4.4e6,408
1530893186.594697746,212,11.309,4.549,1448,1500,536,1448,4,325838,340,244,337,19.2e6,0,1,2,4.1e6,19.2e6,2.6e6,420
1530893186.605132640,212,10.849,5.36,1448,1500,536,1448,3,337422,348,249,345,13.6e6,0,0.75,2,3.2e6,10.2e6,7.3e6,428
1530893186.615921482,212,9.993,5.407,1448,1500,536,1448,6,346110,355,251,352,13.6e6,0,1,2,7.0e6,13.6e6,7.2e6,440
1530893186.626945529,212,8.813,4.216,1448,1500,536,1448,6,357694,361,256,358,7.3e6,0,1,2,7.9e6,7.3e6,3.4e6,452
1530893186.637429331,212,8.822,3.179,1448,1500,536,1448,6,363486,367,260,364,7.3e6,0,1,2,7.9e6,7.3e6,5.2e6,460
1530893186.648149791,212,8.822,3.179,1448,1500,536,1448,6,363486,369,261,366,7.3e6,0,1,2,7.9e6,7.3e6,5.2e6,472
1530893186.658970225,212,11.544,6.635,1448,1500,536,1448,6,375070,375,263,372,7.3e6,0,0.75,2,6.0e6,5.5e6,4.8e6,484
1530893186.669551045,212,11.285,5.493,1448,1500,536,1448,6,380862,379,267,376,7.3e6,0,1,2,6.2e6,7.3e6,6.5e6,492
1530893186.680121128,212,11.399,4.347,1448,1500,536,1448,6,383758,385,269,382,7.3e6,0,1,2,6.1e6,7.3e6,3.9e6,504
1530893186.690769346,212,11.441,4.888,1448,1500,536,1448,6,389550,391,272,388,7.2e6,0,1,2,6.1e6,7.2e6,4.3e6,516
1530893186.701394323,216,12.872,4.948,1448,1500,536,1448,6,401134,395,275,392,6.5e6,0,1,2,5.4e6,6.5e6,4.2e6,524
1530893186.712259265,216,12.713,4.029,1448,1500,536,1448,6,404030,399,276,396,6.5e6,0,1.25,2,5.5e6,8.2e6,5.0e6,536
1530893186.722932003,216,12.824,3.243,1448,1500,536,1448,4,404030,401,278,398,6.5e6,0,0.75,2,3.6e6,4.9e6,3.3e6,548
1530893186.733303378,216,12.198,3.339,1448,1500,536,1448,4,404030,407,280,404,6.5e6,0,1,2,3.8e6,6.5e6,1.5e6,556
1530893186.743880443,216,15.173,8.455,1448,1500,536,1448,6,415614,411,282,408,6.5e6,0,1,2,4.6e6,6.5e6,5.2e6,568
1530893186.754631726,216,13.511,7.121,1448,1500,536,1448,5,418510,417,286,414,6.6e6,0,1,2,4.3e6,6.6e6,6.6e6,580
1530893186.765082411,216,13.754,8.254,1448,1500,536,1448,4,427198,420,288,417,6.6e6,0,1.25,2,3.4e6,8.2e6,3.9e6,588
1530893186.775733156,212,11.593,8.109,1448,1500,536,1448,6,434438,426,292,423,6.6e6,0,1,2,6.0e6,6.6e6,4.9e6,600
1530893186.786455811,212,11.701,6.297,1448,1500,536,1448,6,443126,433,294,429,6.6e6,0,1,2,5.9e6,6.6e6,6.0e6,612
1530893186.796931335,212,11.456,5.212,1448,1500,536,1448,6,446022,437,297,433,6.6e6,0,1,2,6.1e6,6.6e6,2.4e6,620
1530893186.807624816,212,10.478,4.919,1448,1500,536,1448,2,451814,441,299,437,6.6e6,0,1,2,2.2e6,6.6e6,1.6e6,632
1530893186.818247082,212,11.543,5.82,1448,1500,536,1448,6,457606,445,301,441,6.6e6,0,1.25,2,6.0e6,8.2e6,2.2e6,644
1530893186.829119255,212,10.641,5.864,1448,1500,536,1448,5,457606,451,303,447,6.6e6,0,1,2,5.4e6,6.6e6,4.8e6,652
1530893186.839515714,212,10.641,5.864,1448,1500,536,1448,5,457606,452,303,448,6.6e6,0,1,2,5.4e6,6.6e6,4.8e6,664
1530893186.850215659,216,13.309,7.992,1448,1500,536,1448,6,467742,458,306,454,6.6e6,0,1,2,5.2e6,6.6e6,2.6e6,676
1530893186.860952836,212,10.408,8.213,1448,1500,536,1448,6,474982,463,310,459,6.0e6,0,1,2,6.7e6,6.0e6,5.0e6,684
1530893186.871708961,212,10.386,6.202,1448,1500,536,1448,6,477878,469,312,465,6.0e6,0,1.25,2,6.7e6,7.4e6,3.4e6,696
1530893186.882589596,212,9.482,5.612,1448,1500,536,1448,8,489462,473,317,469,120.0e6,0,1,2,9.8e6,120.0e6,120.0e6,708
1530893186.893431622,208,5.186,4.635,1448,1500,536,1448,4,495254,496,323,492,120.0e6,0,0.75,2,8.9e6,90.0e6,5.6e6,716
1530893186.904013582,208,4.663,4.523,1448,1500,536,1448,4,496702,501,329,497,120.0e6,0,1,2,9.9e6,120.0e6,3.7e6,728
1530893186.914782497,204,3.755,3.332,1448,1500,536,1448,6,499598,517,341,513,35.3e6,0,1,2,18.5e6,35.3e6,35.3e6,740
1530893186.925344994,204,2.957,4.044,1448,1500,536,1448,7,530006,542,355,538,49.4e6,0,1,2,27.4e6,49.4e6,10.0e6,748
1530893186.935926957,204,2.021,2.381,1448,1500,536,1448,8,541590,568,372,564,49.4e6,0,1,2,45.9e6,49.4e6,44.8e6,760
1530893186.946719411,204,2.547,2.902,1448,1500,536,1448,6,563310,576,387,572,12.2e6,0,1,2,27.3e6,12.2e6,19.1e6,772
1530893186.957424730,204,2.445,2.498,1448,1500,536,1448,6,563310,587,395,583,12.2e6,0,1,2,28.4e6,12.2e6,7.1e6,780
1530893186.968202127,204,2.814,1.984,1448,1500,536,1448,6,563310,597,405,593,12.2e6,0,1,2,24.7e6,12.2e6,6.6e6,792
1530893186.978848811,204,3.348,3.348,1448,1500,536,1448,4,563310,603,412,599,12.2e6,0,1,2,13.8e6,12.2e6,2.2e6,804
1530893186.989736813,204,3.604,3.021,1448,1500,536,1448,6,563310,611,417,607,12.2e6,0,1,2,19.3e6,12.2e6,4.5e6,812
1530893187.000599972,204,3.228,3.016,1448,1500,536,1448,6,563310,620,420,616,12.2e6,0,1,2,21.5e6,12.2e6,7.9e6,824
1530893187.011051426,208,4.307,4.421,1448,1500,536,1448,6,563310,623,422,619,12.2e6,0,1,2,16.1e6,12.2e6,4.1e6,836
1530893187.021617159,208,6.215,5.62,1448,1500,536,1448,6,563310,629,427,625,12.2e6,0,1,2,11.2e6,12.2e6,6.3e6,844
1530893187.032115816,208,5.017,4.186,1448,1500,536,1448,6,563310,641,434,637,12.2e6,0,1,2,13.9e6,12.2e6,7.6e6,856
1530893187.042702363,208,4.809,3.029,1448,1500,536,1448,6,563310,651,438,647,12.2e6,0,1,2,14.5e6,12.2e6,10.1e6,868
1530893187.053518755,208,4.834,2.32,1448,1500,536,1448,6,563310,659,443,655,12.2e6,0,1,2,14.4e6,12.2e6,3.0e6,876
1530893187.064125966,208,5.747,2.825,1448,1500,536,1448,6,563310,665,446,661,12.2e6,0,1,2,12.1e6,12.2e6,3.0e6,888
1530893187.074837227,208,5.582,2.45,1448,1500,536,1448,6,563310,672,449,668,12.2e6,0,1,2,12.5e6,12.2e6,4.7e6,900
1530893187.085259097,208,6.461,3.596,1448,1500,536,1448,6,563310,676,451,672,12.2e6,0,1,2,10.8e6,12.2e6,1.8e6,908
1530893187.095704679,208,6.228,3.164,1448,1500,536,1448,6,563310,684,454,680,12.2e6,0,1,2,11.2e6,12.2e6,4.7e6,920
1530893187.106250958,208,6.228,3.164,1448,1500,536,1448,6,563310,688,456,684,12.2e6,0,1,2,11.2e6,12.2e6,3.7e6,932
