ts,rto,rtt,rttvar,s,pmtu,rcvs,advs,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530580389.678228685,220,19.046,10.738,1448,1500,536,1448,11,38,3,2,1,2.5e6,4.627,2.88672,2.88672,6.7e6,16.4e6,2.5e6,4
1530580389.691058051,220,19.046,10.738,1448,1500,536,1448,11,38,3,3,1,2.5e6,4.627,2.88672,2.88672,6.7e6,16.4e6,2.5e6,4
1530580389.703294040,216,14.903,11.096,1448,1500,536,1448,2,2934,11,5,9,8.7e6,0.249,2.88672,2.88672,1.6e6,26.1e6,6.0e6,8
1530580389.715088258,216,13.04,11.215,1448,1500,536,1448,4,5830,17,7,15,25.2e6,0,2.88672,2.88672,3.6e6,75.2e6,25.2e6,20
1530580389.726778494,208,5.365,7.896,1448,1500,536,1448,11,26102,48,16,46,55.9e6,0,2.88672,2.88672,23.8e6,167.1e6,23.5e6,32
1530580389.738461979,204,2.073,2.934,1448,1500,536,1448,9,44926,91,38,88,44.8e6,0,1,2,50.3e6,46.5e6,26.6e6,44
1530580389.749990672,204,1.45,1.258,1448,1500,536,1448,10,44926,127,65,124,46.2e6,0,1,2,79.9e6,47.8e6,17.7e6,56
1530580389.761644114,204,0.883,0.756,1448,1500,536,1448,5,44926,175,96,172,40.4e6,0,1,2,65.6e6,41.9e6,10.7e6,64
1530580389.773133441,204,0.977,0.669,1448,1500,536,1448,10,44926,207,120,204,35.9e6,0,1,2,118.6e6,37.2e6,24.6e6,76
1530580389.784801825,204,2.412,2.896,1448,1500,536,1448,9,44926,227,131,224,35.9e6,0,1,2,43.2e6,37.2e6,14.9e6,88
1530580389.796564798,204,2.412,2.896,1448,1500,536,1448,4,44926,234,136,231,35.9e6,0,1,2,19.2e6,37.2e6,2.8e6,100
1530580389.808158834,208,4.457,6.369,1448,1500,536,1448,10,44926,246,141,243,35.9e6,0,1,2,26.0e6,37.2e6,2.4e6,112
