ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1531235506.253419944,236,32.083,16.888,1448,1500,536,1448,11,38,3,2,1,218.2e3,29.094,2.88672,2.88672,4.0e6,11.9e6,218.5e3,56
1531235506.275063074,228,25.554,17.457,1448,1500,536,1448,4,8726,27,5,25,8.9e6,0.194,2.88672,2.88672,1.8e6,26.7e6,4.0e6,76
1531235506.291739158,224,21.858,16.145,1448,1500,536,1448,17,31894,46,11,43,8.9e6,0.194,2.88672,2.88672,9.0e6,26.7e6,7.0e6,92
1531235506.311283410,216,14.991,10.446,1448,1500,536,1448,8,57958,65,23,62,9.7e6,0.194,1.25,2,6.2e6,12.6e6,5.1e6,112
1531235506.330220289,216,14.522,8.773,1448,1500,536,1448,4,57958,73,31,70,9.7e6,0.194,0.75,2,3.2e6,7.6e6,748.7e3,132
1531235506.349111653,216,14.471,8.185,1448,1500,536,1448,6,70990,87,37,84,19.8e6,0.194,1,2,4.8e6,20.5e6,19.6e6,148
1531235506.372208442,216,14.985,5.835,1448,1500,536,1448,8,84022,97,44,94,19.8e6,0.194,1,2,6.2e6,20.5e6,3.3e6,172
1531235506.395155811,224,20.124,10.75,1448,1500,536,1448,8,89814,107,52,104,19.8e6,0.194,1.25,2,4.6e6,25.6e6,7.1e6,196
1531235506.414554150,224,21.909,11.633,1448,1500,536,1448,8,95606,109,54,106,19.8e6,0.194,0.75,2,4.2e6,15.4e6,4.2e6,216
1531235506.435332379,220,18.521,8.873,1448,1500,536,1448,4,108638,123,61,120,19.8e6,0.194,1,2,2.5e6,20.5e6,2.5e6,236
1531235506.456931448,216,13.615,7.028,1448,1500,536,1448,18,128910,142,71,139,123.9e6,0.187,1.25,2,15.3e6,160.4e6,9.3e6,256
1531235506.477626573,216,13.895,5.202,1448,1500,536,1448,16,137598,167,75,164,123.9e6,0.187,0.75,2,13.3e6,96.3e6,11.9e6,276
1531235506.500008603,216,15.549,9.62,1448,1500,536,1448,24,188278,229,78,226,123.9e6,0,1,2,17.9e6,128.3e6,31.5e6,300
1531235506.521795169,212,10.964,8.142,1448,1500,536,1448,24,188278,302,86,299,123.9e6,0,0.75,2,25.4e6,96.3e6,32.5e6,320
1531235506.543125463,212,10.759,6.517,1448,1500,536,1448,11,188278,319,94,316,45.0e6,0,1.25,2,11.8e6,58.3e6,22.8e6,344
1531235506.564021296,212,10.346,6.978,1448,1500,536,1448,6,188278,335,105,332,23.1e6,0,1,2,6.7e6,23.9e6,2.3e6,364
