ts, Backlog in Bytes, Backlog in packets
1531192919.073377158,0,0
1531192919.178912492,0,0
1531192919.284214596,0,0
1531192919.389443255,0,0
1531192919.494613152,0,0
1531192919.599794063,0,0
1531192919.705015247,0,0
1531192919.810200158,0,0
1531192919.915356849,0,0
1531192920.020534298,0,0
1531192920.125687719,0,0
1531192920.230836298,0,0
1531192920.336032555,0,0
1531192920.441255611,0,0
1531192920.546419857,0,0
1531192920.651586852,0,0
1531192920.756834333,0,0
1531192920.862027242,0,0
1531192920.967183483,0,0
1531192921.072343115,0,0
1531192921.177481911,0,0
1531192921.282649449,0,0
1531192921.387820779,66,1
1531192921.493030305,0,0
1531192921.598193329,772,10
1531192921.703433052,2868,32
1531192921.808678284,628,8
1531192921.913852402,974,11
1531192922.019032626,838,11
1531192922.124256792,820,10
1531192922.229396676,830,11
1531192922.334562807,386,5
1531192922.439689777,792,10
1531192922.544904633,566,7
1531192922.650060209,722,9
1531192922.755203428,874,11
1531192922.860356495,866,11
1531192922.965564731,1174,15
1531192923.070724651,862,11
1531192923.175883167,566,7
1531192923.281047086,932,12
1531192923.386177197,668,8
1531192923.491354158,960,12
1531192923.596544361,648,8
1531192923.701683109,870,11
1531192923.806833599,608,8
1531192923.911987885,648,8
1531192924.017169678,890,11
1531192924.122310525,922,11
1531192924.227464537,632,8
1531192924.332626745,722,9
1531192924.437795212,584,8
1531192924.542959579,884,12
1531192924.648123321,680,8
1531192924.753295771,776,10
1531192924.858432358,538,7
1531192924.963596063,754,9
1531192925.068792321,616,8
1531192925.173941491,788,10
1531192925.279105724,1062,13
1531192925.384260301,964,12
1531192925.489442211,960,12
1531192925.594565505,1338,15
1531192925.699743348,812,10
1531192925.805064447,1076,12
1531192925.910352293,886,11
1531192926.015531579,674,9
1531192926.120713004,648,8
1531192926.225844311,706,9
1531192926.330978301,714,9
1531192926.436151460,744,10
1531192926.541343009,812,10
1531192926.646504961,806,11
1531192926.751647074,992,12
1531192926.856836592,796,10
1531192926.961945929,946,11
1531192927.067081500,970,11
1531192927.172235154,848,10
1531192927.277360785,1040,14
1531192927.382562201,790,9
1531192927.487724687,816,10
1531192927.592912200,676,8
1531192927.698018994,596,8
1531192927.803188334,792,10
1531192927.908334146,546,7
1531192928.013487847,584,8
1531192928.118613721,592,8
1531192928.223781543,602,7
1531192928.328940955,988,12
1531192928.434076983,678,9
1531192928.539301389,596,8
1531192928.644459802,608,8
1531192928.749614476,964,12
1531192928.854789482,576,8
1531192928.959939985,714,9
1531192929.065128664,824,10
1531192929.170258220,792,10
1531192929.275445546,818,11
1531192929.380650709,780,10
1531192929.485800911,698,9
1531192929.590950065,710,9
1531192929.696107175,800,10
1531192929.801282007,738,9
1531192929.906400042,620,8
1531192930.011569047,576,8
1531192930.116752146,682,9
1531192930.221859692,706,9
1531192930.327016892,842,11
1531192930.432171261,654,9
1531192930.537350016,690,9
1531192930.642488632,530,7
1531192930.747683643,702,9
1531192930.852880208,734,9
1531192930.958004370,682,9
1531192931.063149612,940,12
1531192931.168305304,800,10
1531192931.273451374,1010,13
1531192931.378619885,694,9
1531192931.483821521,772,10
1531192931.589044598,906,11
1531192931.694196905,608,8
1531192931.799339349,366,5
1531192931.904488590,800,10
1531192932.009619155,718,9
1531192932.114781991,738,9
1531192932.219979953,566,7
1531192932.325210534,0,0
1531192932.430377297,0,0
1531192932.535544351,66,1
