ts,in_queue (size), in_queue (number)
1530618400.649674153,0,0
1530618400.662446001,0,0
1530618400.675018473,0,0
1530618400.687536560,0,0
1530618400.700110397,0,0
1530618400.712699337,0,0
1530618400.725300722,0,0
1530618400.738194346,0,0
1530618400.750813862,0,0
1530618400.763423104,0,0
1530618400.776167249,0,0
1530618400.788858088,0,0
1530618400.801527699,0,0
1530618400.814132801,0,0
1530618400.826863261,0,0
1530618400.839590971,0,0
1530618400.852044857,0,0
1530618400.864600551,0,0
1530618400.877189032,0,0
1530618400.889908265,0,0
1530618400.902710093,0,0
1530618400.915471039,0,0
1530618400.928080828,0,0
1530618400.940739084,0,0
1530618400.953455690,0,0
1530618400.966112411,0,0
1530618400.978782826,0,0
1530618400.991585174,0,0
1530618401.004155320,0,0
1530618401.016852580,0,0
1530618401.029440286,0,0
1530618401.042111243,0,0
1530618401.054714171,0,0
1530618401.067363368,0,0
1530618401.079809376,0,0
1530618401.092331382,0,0
1530618401.104911943,0,0
1530618401.117441838,0,0
1530618401.129952460,0,0
1530618401.142661357,0,0
1530618401.155289551,0,0
1530618401.167826243,0,0
1530618401.180568331,0,0
1530618401.193062151,0,0
1530618401.205862561,0,0
1530618401.218610861,0,0
1530618401.231252735,0,0
1530618401.243835000,0,0
1530618401.256410059,0,0
1530618401.268914341,0,0
1530618401.281533097,0,0
1530618401.294309332,0,0
1530618401.307063488,0,0
1530618401.319733507,0,0
1530618401.332404710,0,0
1530618401.345061806,0,0
1530618401.357699893,0,0
1530618401.370277422,0,0
1530618401.383138758,0,0
1530618401.395945609,0,0
1530618401.408558066,0,0
1530618401.421223405,0,0
1530618401.433840707,0,0
1530618401.446527710,0,0
1530618401.459317737,0,0
1530618401.471993464,0,0
1530618401.484502926,0,0
1530618401.497136565,0,0
1530618401.509649006,0,0
1530618401.522278403,0,0
1530618401.534847276,0,0
1530618401.547428093,0,0
1530618401.560180863,0,0
1530618401.572646128,0,0
1530618401.585181804,0,0
1530618401.597704070,0,0
1530618401.610520918,0,0
1530618401.623117656,0,0
1530618401.635977510,0,0
1530618401.648573426,0,0
1530618401.661158150,0,0
1530618401.673931668,0,0
1530618401.686615611,0,0
1530618401.699236351,0,0
1530618401.711975374,0,0
1530618401.724723038,0,0
1530618401.737425007,0,0
1530618401.750114692,0,0
1530618401.762967516,0,0
1530618401.775888294,0,0
1530618401.788624899,0,0
1530618401.801308535,0,0
1530618401.814237393,0,0
1530618401.827103519,0,0
1530618401.839892440,0,0
1530618401.852687250,0,0
1530618401.865555832,0,0
1530618401.878238825,0,0
1530618401.890954223,0,0
1530618401.903817232,0,0
1530618401.916520424,0,0
1530618401.929297969,0,0
1530618401.942063134,0,0
1530618401.954774133,0,0
1530618401.967588565,0,0
1530618401.980506325,0,0
1530618401.993164477,0,0
1530618402.005776964,0,0
1530618402.018389414,0,0
1530618402.031199201,0,0
1530618402.043858837,0,0
1530618402.056478891,0,0
1530618402.069087631,0,0
1530618402.081751461,0,0
1530618402.094425945,0,0
1530618402.107275990,0,0
1530618402.119882555,0,0
1530618402.132538811,0,0
1530618402.145180035,0,0
1530618402.157803699,0,0
1530618402.170373555,0,0
1530618402.183070940,0,0
1530618402.195697153,0,0
1530618402.208426783,0,0
1530618402.221061892,0,0
1530618402.233700972,0,0
1530618402.246516432,0,0
1530618402.259170255,0,0
1530618402.271719191,0,0
