ts,rto,rtt,rttvar,s,pmtu,rcvs,advs,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530618402.642588982,204,0.716,1.174,1448,1500,536,1448,14,4382,20,4,18,181.0e6,0.064,2.88672,2.88672,226.5e6,2086.8e6,181.0e6,12
1530618402.653363613,204,2.723,4.894,1448,1500,536,1448,15,5830,22,5,20,181.0e6,0.064,2.88672,2.88672,63.8e6,2086.8e6,181.0e6,24
1530618402.664309714,208,5.993,10.211,1448,1500,536,1448,16,7278,24,6,22,181.0e6,0.064,2.88672,2.88672,30.9e6,2086.8e6,181.0e6,32
1530618402.674976425,212,10.367,16.406,1448,1500,536,1448,17,8726,26,7,24,181.0e6,0.064,2.88672,2.88672,19.0e6,2086.8e6,181.0e6,44
1530618402.685787678,216,15.705,22.98,1448,1500,536,1448,18,10174,28,8,26,181.0e6,0.064,2.88672,2.88672,13.3e6,2086.8e6,181.0e6,56
1530618402.696636678,224,21.884,29.593,1448,1500,536,1448,19,11622,30,9,28,181.0e6,0.064,2.88672,2.88672,10.1e6,2086.8e6,181.0e6,64
1530618402.707558400,232,28.806,36.039,1448,1500,536,1448,20,13070,32,10,30,181.0e6,0.064,2.88672,2.88672,8.0e6,2086.8e6,181.0e6,76
1530618402.718391839,232,28.806,36.039,1448,1500,536,1448,20,13070,32,10,30,181.0e6,0.064,2.88672,2.88672,8.0e6,2086.8e6,181.0e6,88
1530618402.729512803,240,36.373,42.162,1448,1500,536,1448,21,14518,34,11,32,181.0e6,0.064,2.88672,2.88672,6.7e6,2086.8e6,181.0e6,100
1530618402.740292911,248,44.511,47.899,1448,1500,536,1448,22,15966,36,12,34,181.0e6,0.064,2.88672,2.88672,5.7e6,2086.8e6,181.0e6,108
1530618402.751444181,268,53.135,53.173,1448,1500,536,1448,23,17414,38,13,36,181.0e6,0.064,2.88672,2.88672,5.0e6,2086.8e6,1.0e6,120
1530618402.762242898,296,62.199,58.006,1448,1500,536,1448,24,18862,40,14,38,181.0e6,0.064,2.88672,2.88672,4.5e6,2086.8e6,1.0e6,132
