ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate,busy
1530619254.687676044,204,0.14,0.077,1448,1500,536,1448,11,38,14,2,12,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,tt
1530619254.698494899,204,0.14,0.077,1448,1500,536,1448,11,38,14,2,12,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,12ms
1530619254.709196032,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,20ms
1530619254.720182481,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,32ms
1530619254.730939396,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,44ms
1530619254.741599065,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,52ms
1530619254.752214364,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,64ms
1530619254.763182139,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,76ms
1530619254.774008292,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,88ms
1530619254.785040912,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,96ms
1530619254.795782344,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,108ms
1530619254.806731385,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,120ms
1530619254.817688996,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,128ms
1530619254.828507890,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,140ms
1530619254.839355834,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,152ms
1530619254.850170957,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,164ms
1530619254.861058563,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,172ms
1530619254.872007603,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,184ms
1530619254.883124699,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,196ms
1530619254.893979262,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,208ms
1530619254.904911969,204,0.14,0.077,1448,1500,536,1448,11,38,15,2,13,227.1e6,0.051,2.88672,2.88672,910.2e6,2264.1e6,227.1e6,216ms
1530619254.915724083,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,228ms
1530619254.926925336,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,240ms
1530619254.938041491,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,252ms
1530619254.948847734,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,260ms
1530619254.959993750,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,272ms
1530619254.970928672,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,284ms
1530619254.981893470,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,292ms
1530619254.992798844,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,304ms
1530619255.003990258,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,316ms
1530619255.014798298,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,328ms
1530619255.025589188,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,336ms
1530619255.036713056,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,348ms
1530619255.048043725,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,360ms
1530619255.059205821,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,372ms
1530619255.069696482,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,380ms
1530619255.080276374,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,392ms
1530619255.091341374,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,404ms
1530619255.101857642,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,412ms
1530619255.112693886,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,424ms
1530619255.123524254,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,436ms
1530619255.134103963,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,448ms
1530619255.144700440,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,456ms
1530619255.155552978,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,468ms
1530619255.166252735,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,480ms
1530619255.177080921,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,488ms
1530619255.187955034,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,500ms
1530619255.198754543,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,512ms
1530619255.209343235,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,520ms
1530619255.220012073,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,532ms
1530619255.230641312,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,544ms
1530619255.241438204,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,552ms
1530619255.252283321,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,564ms
1530619255.263125892,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,576ms
1530619255.273626538,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,584ms
1530619255.284314660,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,596ms
1530619255.294946377,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,608ms
1530619255.305664195,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,616ms
1530619255.316462017,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,628ms
1530619255.327396521,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,640ms
1530619255.338387351,408,0.14,0.077,1448,1500,536,1448,1,38,16,2,14,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,652ms
1530619255.349397276,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,660ms
1530619255.360328939,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,672ms
1530619255.371170726,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,684ms
1530619255.382129448,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,696ms
1530619255.392854494,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,704ms
1530619255.403567796,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,716ms
1530619255.414100653,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,728ms
1530619255.424942354,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,736ms
1530619255.435771339,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,748ms
1530619255.446766296,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,760ms
1530619255.457910222,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,768ms
1530619255.468400863,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,780ms
1530619255.479444105,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,792ms
1530619255.490235108,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,804ms
1530619255.501662866,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,812ms
1530619255.512544470,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,824ms
1530619255.523390469,816,0.14,0.077,1448,1500,536,1448,1,38,17,2,15,227.1e6,0.051,2.88672,2.88672,82.7e6,2264.1e6,227.1e6,836ms
